Russian Federation, Crude birth rate by birth order
Last modified: 22/10/2020
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1959    23.61     9.91     6.60     3.19     1.69     2.21
1960    23.16     9.58     6.61     3.18     1.65     2.15
1961    21.86     9.31     6.24     2.88     1.47     1.96
1962    20.14     8.48     5.87     2.64     1.35     1.81
1963    18.72     7.67     5.63     2.49     1.23     1.69
1964    16.88     6.96     5.11     2.16     1.09     1.55
1965    15.71     6.38     4.80     2.02     1.03     1.48
1966    15.35     6.31     4.71     1.91     0.97     1.44
1967    14.42     6.18     4.40     1.69     0.85     1.30
1968    14.07     6.30     4.22     1.55     0.78     1.23
1969    14.24     6.72     4.29     1.45     0.70     1.09
1970    14.61     7.44     4.19     1.37     0.61     0.99
1971    15.08     7.87     4.38     1.34     0.59     0.89
1972    15.30     8.04     4.57     1.30     0.54     0.84
1973    15.06     7.99     4.57     1.23     0.49     0.77
1974    15.61     8.39     4.78     1.23     0.48     0.73
1975    15.71     8.48     4.91     1.19     0.46     0.67
1976    15.90     8.60     5.07     1.18     0.43     0.62
1977    15.86     8.54     5.18     1.17     0.41     0.56
1978    15.91     8.63     5.25     1.16     0.38     0.50
1979    15.81     8.63     5.23     1.13     0.37     0.46
1980    15.91     8.60     5.41     1.14     0.35     0.41
1981    16.07     8.32     5.75     1.23     0.37     0.40
1982    16.63     8.16     6.24     1.43     0.41     0.40
1983    17.57     8.03     7.01     1.67     0.45     0.41
1984    16.97     7.81     6.58     1.71     0.46     0.40
1985    16.61     7.49     6.43     1.79     0.49     0.42
1986    17.25     7.30     6.88     2.07     0.55     0.45
1987    17.20     7.19     6.85     2.14     0.56     0.46
1988    16.03     7.01     6.14     1.91     0.52     0.44
1989    14.66     6.81     5.35     1.63     0.46     0.40
1990    13.44     6.65     4.60     1.41     0.42     0.36
1991    12.09     6.35     3.86     1.19     0.37     0.32
1992    10.69     5.96     3.20     0.95     0.31     0.27
1993     9.38     5.50     2.71     0.74     0.23     0.19
1994     9.59     5.72     2.73     0.73     0.22     0.18
1995     9.27     5.54     2.65     0.70     0.22     0.17
1996     8.88     5.28     2.56     0.68     0.21     0.16
1997     8.59     5.03     2.52     0.67     0.21     0.16
1998     8.76     5.15     2.57     0.67     0.21     0.16
1999     8.32     4.94     2.41     0.63     0.19     0.14
2000     8.70     5.20     2.53     0.65     0.19     0.13
2001     9.05     5.45     2.64     0.64     0.19     0.13
2002     9.69     5.77     2.87     0.71     0.20     0.14
2003    10.21     6.07     3.05     0.75     0.21     0.13
2004    10.43     6.20     3.14     0.76     0.21     0.13
2005    10.16     6.03     3.07     0.74     0.20     0.12
2006    10.35     6.16     3.14     0.75     0.20     0.11
2007    11.28     6.25     3.70     0.94     0.25     0.15
2008    12.02     6.45     4.05     1.09     0.28     0.15
2009    12.35     6.53     4.25     1.13     0.29     0.16
2010    12.54     6.34     4.52     1.21     0.30     0.16
2011    12.59     6.18     4.62     1.29     0.32     0.17
2012    13.31     6.24     5.00     1.50     0.37     0.20
2013    13.24     6.06     5.02     1.58     0.38     0.20
2014    13.34     5.78     5.23     1.69     0.42     0.22
2015    13.30     5.49     5.41     1.74     0.44     0.22
2016    12.93     5.14     5.31     1.78     0.46     0.24
2017    11.57     4.57     4.55     1.74     0.47     0.24
2018    11.00     4.14     4.27     1.78     0.52     0.28
