Russian Federation, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 22/10/2020
Cohort  Age     CCFR
1944    12         .
1944    13         .
1944    14         .
1944    15     0.000
1944    16     0.001
1944    17     0.004
1944    18     0.019
1944    19     0.066
1944    20     0.155
1944    21     0.289
1944    22     0.433
1944    23     0.587
1944    24     0.736
1944    25     0.878
1944    26     1.009
1944    27     1.125
1944    28     1.234
1944    29     1.332
1944    30     1.416
1944    31     1.494
1944    32     1.558
1944    33     1.612
1944    34     1.657
1944    35     1.692
1944    36     1.721
1944    37     1.744
1944    38     1.763
1944    39     1.779
1944    40     1.791
1944    41     1.800
1944    42     1.806
1944    43     1.810
1944    44     1.813
1944    45     1.814
1944    46     1.815
1944    47     1.815
1944    48     1.815
1944    49     1.815
1944    50     1.815
1944    51     1.815
1944    52     1.815
1944    53     1.815
1944    54     1.815
1944    55     1.815
1945    12         .
1945    13         .
1945    14     0.000
1945    15     0.000
1945    16     0.001
1945    17     0.004
1945    18     0.019
1945    19     0.066
1945    20     0.154
1945    21     0.288
1945    22     0.432
1945    23     0.585
1945    24     0.735
1945    25     0.877
1945    26     1.004
1945    27     1.119
1945    28     1.224
1945    29     1.317
1945    30     1.400
1945    31     1.473
1945    32     1.534
1945    33     1.585
1945    34     1.626
1945    35     1.659
1945    36     1.686
1945    37     1.710
1945    38     1.730
1945    39     1.745
1945    40     1.757
1945    41     1.766
1945    42     1.772
1945    43     1.776
1945    44     1.779
1945    45     1.780
1945    46     1.781
1945    47     1.781
1945    48     1.781
1945    49     1.781
1945    50     1.781
1945    51     1.781
1945    52     1.781
1945    53     1.781
1945    54     1.781
1945    55     1.781
1946    12         .
1946    13     0.000
1946    14     0.000
1946    15     0.000
1946    16     0.001
1946    17     0.004
1946    18     0.019
1946    19     0.064
1946    20     0.152
1946    21     0.287
1946    22     0.432
1946    23     0.591
1946    24     0.749
1946    25     0.896
1946    26     1.028
1946    27     1.147
1946    28     1.256
1946    29     1.353
1946    30     1.439
1946    31     1.514
1946    32     1.576
1946    33     1.628
1946    34     1.669
1946    35     1.704
1946    36     1.735
1946    37     1.761
1946    38     1.782
1946    39     1.798
1946    40     1.811
1946    41     1.821
1946    42     1.828
1946    43     1.832
1946    44     1.834
1946    45     1.835
1946    46     1.836
1946    47     1.836
1946    48     1.836
1946    49     1.836
1946    50     1.836
1946    51     1.836
1946    52     1.836
1946    53     1.836
1946    54     1.836
1946    55     1.836
1947    12     0.000
1947    13     0.000
1947    14     0.000
1947    15     0.000
1947    16     0.001
1947    17     0.003
1947    18     0.016
1947    19     0.055
1947    20     0.135
1947    21     0.257
1947    22     0.396
1947    23     0.551
1947    24     0.704
1947    25     0.845
1947    26     0.972
1947    27     1.088
1947    28     1.194
1947    29     1.289
1947    30     1.372
1947    31     1.445
1947    32     1.504
1947    33     1.553
1947    34     1.595
1947    35     1.631
1947    36     1.664
1947    37     1.691
1947    38     1.712
1947    39     1.729
1947    40     1.743
1947    41     1.753
1947    42     1.759
1947    43     1.762
1947    44     1.764
1947    45     1.765
1947    46     1.766
1947    47     1.766
1947    48     1.766
1947    49     1.766
1947    50     1.766
1947    51     1.766
1947    52     1.766
1947    53     1.766
1947    54     1.766
1947    55     1.766
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.000
1948    16     0.001
1948    17     0.003
1948    18     0.016
1948    19     0.056
1948    20     0.136
1948    21     0.263
1948    22     0.413
1948    23     0.575
1948    24     0.729
1948    25     0.867
1948    26     0.994
1948    27     1.110
1948    28     1.215
1948    29     1.308
1948    30     1.389
1948    31     1.460
1948    32     1.517
1948    33     1.566
1948    34     1.610
1948    35     1.649
1948    36     1.682
1948    37     1.709
1948    38     1.731
1948    39     1.750
1948    40     1.764
1948    41     1.772
1948    42     1.778
1948    43     1.781
1948    44     1.782
1948    45     1.783
1948    46     1.784
1948    47     1.784
1948    48     1.784
1948    49     1.784
1948    50     1.784
1948    51     1.784
1948    52     1.784
1948    53     1.784
1948    54     1.784
1948    55     1.784
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.000
1949    16     0.001
1949    17     0.003
1949    18     0.016
1949    19     0.058
1949    20     0.141
1949    21     0.277
1949    22     0.442
1949    23     0.614
1949    24     0.773
1949    25     0.919
1949    26     1.053
1949    27     1.175
1949    28     1.284
1949    29     1.381
1949    30     1.465
1949    31     1.537
1949    32     1.598
1949    33     1.652
1949    34     1.702
1949    35     1.746
1949    36     1.781
1949    37     1.811
1949    38     1.837
1949    39     1.857
1949    40     1.870
1949    41     1.879
1949    42     1.884
1949    43     1.887
1949    44     1.888
1949    45     1.889
1949    46     1.889
1949    47     1.889
1949    48     1.889
1949    49     1.889
1949    50     1.889
1949    51     1.889
1949    52     1.889
1949    53     1.889
1949    54     1.890
1949    55     1.890
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.000
1950    16     0.001
1950    17     0.003
1950    18     0.016
1950    19     0.057
1950    20     0.143
1950    21     0.282
1950    22     0.446
1950    23     0.610
1950    24     0.765
1950    25     0.908
1950    26     1.037
1950    27     1.155
1950    28     1.260
1950    29     1.352
1950    30     1.431
1950    31     1.502
1950    32     1.564
1950    33     1.622
1950    34     1.672
1950    35     1.714
1950    36     1.751
1950    37     1.784
1950    38     1.809
1950    39     1.826
1950    40     1.837
1950    41     1.845
1950    42     1.849
1950    43     1.851
1950    44     1.853
1950    45     1.853
1950    46     1.854
1950    47     1.854
1950    48     1.854
1950    49     1.854
1950    50     1.854
1950    51     1.854
1950    52     1.854
1950    53     1.854
1950    54     1.854
1950    55     1.854
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.000
1951    16     0.001
1951    17     0.004
1951    18     0.016
1951    19     0.058
1951    20     0.150
1951    21     0.295
1951    22     0.460
1951    23     0.627
1951    24     0.785
1951    25     0.929
1951    26     1.059
1951    27     1.177
1951    28     1.281
1951    29     1.371
1951    30     1.452
1951    31     1.527
1951    32     1.595
1951    33     1.656
1951    34     1.706
1951    35     1.752
1951    36     1.792
1951    37     1.825
1951    38     1.848
1951    39     1.864
1951    40     1.874
1951    41     1.881
1951    42     1.885
1951    43     1.887
1951    44     1.888
1951    45     1.888
1951    46     1.889
1951    47     1.889
1951    48     1.889
1951    49     1.889
1951    50     1.889
1951    51     1.889
1951    52     1.889
1951    53     1.889
1951    54     1.889
1951    55     1.889
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.000
1952    16     0.001
1952    17     0.004
1952    18     0.016
1952    19     0.060
1952    20     0.153
1952    21     0.295
1952    22     0.460
1952    23     0.627
1952    24     0.784
1952    25     0.926
1952    26     1.053
1952    27     1.166
1952    28     1.267
1952    29     1.358
1952    30     1.442
1952    31     1.522
1952    32     1.592
1952    33     1.650
1952    34     1.703
1952    35     1.752
1952    36     1.792
1952    37     1.820
1952    38     1.841
1952    39     1.854
1952    40     1.863
1952    41     1.868
1952    42     1.871
1952    43     1.873
1952    44     1.874
1952    45     1.875
1952    46     1.875
1952    47     1.875
1952    48     1.876
1952    49     1.876
1952    50     1.876
1952    51     1.876
1952    52     1.876
1952    53     1.876
1952    54     1.876
1952    55     1.876
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.000
1953    16     0.001
1953    17     0.004
1953    18     0.018
1953    19     0.063
1953    20     0.158
1953    21     0.302
1953    22     0.468
1953    23     0.634
1953    24     0.787
1953    25     0.925
1953    26     1.048
1953    27     1.158
1953    28     1.259
1953    29     1.353
1953    30     1.442
1953    31     1.523
1953    32     1.590
1953    33     1.651
1953    34     1.707
1953    35     1.754
1953    36     1.790
1953    37     1.814
1953    38     1.832
1953    39     1.843
1953    40     1.850
1953    41     1.855
1953    42     1.858
1953    43     1.859
1953    44     1.861
1953    45     1.861
1953    46     1.862
1953    47     1.862
1953    48     1.862
1953    49     1.862
1953    50     1.862
1953    51     1.862
1953    52     1.862
1953    53     1.862
1953    54     1.862
1953    55     1.862
1954    12     0.000
1954    13     0.000
1954    14     0.000
1954    15     0.000
1954    16     0.001
1954    17     0.004
1954    18     0.019
1954    19     0.066
1954    20     0.166
1954    21     0.316
1954    22     0.486
1954    23     0.654
1954    24     0.806
1954    25     0.943
1954    26     1.066
1954    27     1.178
1954    28     1.283
1954    29     1.385
1954    30     1.478
1954    31     1.557
1954    32     1.628
1954    33     1.694
1954    34     1.750
1954    35     1.792
1954    36     1.823
1954    37     1.845
1954    38     1.860
1954    39     1.870
1954    40     1.876
1954    41     1.880
1954    42     1.883
1954    43     1.885
1954    44     1.886
1954    45     1.887
1954    46     1.887
1954    47     1.887
1954    48     1.887
1954    49     1.887
1954    50     1.887
1954    51     1.887
1954    52     1.887
1954    53     1.887
1954    54     1.887
1954    55     1.887
1955    12     0.000
1955    13     0.000
1955    14     0.000
1955    15     0.000
1955    16     0.001
1955    17     0.004
1955    18     0.019
1955    19     0.065
1955    20     0.167
1955    21     0.317
1955    22     0.484
1955    23     0.648
1955    24     0.796
1955    25     0.930
1955    26     1.052
1955    27     1.167
1955    28     1.278
1955    29     1.380
1955    30     1.468
1955    31     1.550
1955    32     1.625
1955    33     1.687
1955    34     1.736
1955    35     1.772
1955    36     1.799
1955    37     1.817
1955    38     1.829
1955    39     1.837
1955    40     1.842
1955    41     1.847
1955    42     1.849
1955    43     1.851
1955    44     1.852
1955    45     1.853
1955    46     1.853
1955    47     1.853
1955    48     1.854
1955    49     1.854
1955    50     1.854
1955    51     1.854
1955    52     1.854
1955    53     1.854
1955    54     1.854
1955    55     1.854
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.000
1956    16     0.001
1956    17     0.005
1956    18     0.020
1956    19     0.067
1956    20     0.171
1956    21     0.322
1956    22     0.488
1956    23     0.652
1956    24     0.799
1956    25     0.934
1956    26     1.060
1956    27     1.182
1956    28     1.296
1956    29     1.394
1956    30     1.485
1956    31     1.571
1956    32     1.643
1956    33     1.699
1956    34     1.742
1956    35     1.773
1956    36     1.795
1956    37     1.810
1956    38     1.820
