Russian Federation, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 22/10/2020
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1944    12         .         .         .         .         .         .
1944    13         .         .         .         .         .         .
1944    14         .         .         .         .         .         .
1944    15     0.000     0.000     0.000     0.000     0.000     0.000
1944    16     0.001     0.001     0.000     0.000     0.000     0.000
1944    17     0.004     0.004     0.000     0.000     0.000     0.000
1944    18     0.019     0.019     0.000     0.000     0.000     0.000
1944    19     0.066     0.065     0.001     0.000     0.000     0.000
1944    20     0.155     0.145     0.010     0.001     0.000     0.000
1944    21     0.289     0.264     0.024     0.002     0.000     0.000
1944    22     0.433     0.382     0.046     0.005     0.000     0.000
1944    23     0.587     0.498     0.078     0.009     0.001     0.000
1944    24     0.736     0.598     0.120     0.016     0.002     0.000
1944    25     0.878     0.674     0.173     0.026     0.005     0.001
1944    26     1.009     0.736     0.227     0.036     0.007     0.002
1944    27     1.125     0.780     0.282     0.048     0.011     0.004
1944    28     1.234     0.814     0.336     0.061     0.016     0.006
1944    29     1.332     0.840     0.389     0.074     0.020     0.009
1944    30     1.416     0.857     0.435     0.088     0.025     0.012
1944    31     1.494     0.871     0.476     0.101     0.030     0.016
1944    32     1.558     0.882     0.507     0.113     0.035     0.021
1944    33     1.612     0.890     0.533     0.124     0.039     0.026
1944    34     1.657     0.897     0.553     0.133     0.043     0.031
1944    35     1.692     0.903     0.567     0.140     0.046     0.037
1944    36     1.721     0.907     0.578     0.146     0.049     0.041
1944    37     1.744     0.911     0.586     0.151     0.051     0.046
1944    38     1.763     0.913     0.593     0.155     0.053     0.050
1944    39     1.779     0.915     0.597     0.159     0.054     0.053
1944    40     1.791     0.917     0.601     0.161     0.056     0.056
1944    41     1.800     0.918     0.603     0.163     0.057     0.059
1944    42     1.806     0.919     0.604     0.165     0.058     0.061
1944    43     1.810     0.919     0.605     0.166     0.058     0.062
1944    44     1.813     0.920     0.605     0.166     0.059     0.063
1944    45     1.814     0.920     0.606     0.167     0.059     0.064
1944    46     1.815     0.920     0.606     0.167     0.059     0.064
1944    47     1.815     0.920     0.606     0.167     0.059     0.064
1944    48     1.815     0.920     0.606     0.167     0.059     0.064
1944    49     1.815     0.920     0.606     0.167     0.059     0.064
1944    50     1.815     0.920     0.606     0.167     0.059     0.064
1944    51     1.815     0.920     0.606     0.167     0.059     0.064
1944    52     1.815     0.920     0.606     0.167     0.059     0.064
1944    53     1.815     0.920     0.606     0.167     0.059     0.064
1944    54     1.815     0.920     0.606     0.167     0.059     0.064
1944    55     1.815     0.920     0.606     0.167     0.059     0.064
1945    12         .         .         .         .         .         .
1945    13         .         .         .         .         .         .
1945    14     0.000     0.000     0.000     0.000     0.000     0.000
1945    15     0.000     0.000     0.000     0.000     0.000     0.000
1945    16     0.001     0.001     0.000     0.000     0.000     0.000
1945    17     0.004     0.004     0.000     0.000     0.000     0.000
1945    18     0.019     0.019     0.000     0.000     0.000     0.000
1945    19     0.066     0.065     0.000     0.000     0.000     0.000
1945    20     0.154     0.145     0.009     0.001     0.000     0.000
1945    21     0.288     0.263     0.022     0.002     0.000     0.000
1945    22     0.432     0.384     0.043     0.004     0.000     0.000
1945    23     0.585     0.500     0.075     0.009     0.001     0.000
1945    24     0.735     0.601     0.117     0.015     0.002     0.000
1945    25     0.877     0.678     0.170     0.024     0.004     0.001
1945    26     1.004     0.738     0.223     0.034     0.007     0.002
1945    27     1.119     0.782     0.278     0.045     0.010     0.004
1945    28     1.224     0.815     0.332     0.057     0.014     0.006
1945    29     1.317     0.839     0.383     0.069     0.018     0.008
1945    30     1.400     0.856     0.427     0.082     0.022     0.011
1945    31     1.473     0.870     0.466     0.095     0.027     0.015
1945    32     1.534     0.881     0.496     0.106     0.031     0.020
1945    33     1.585     0.889     0.521     0.115     0.035     0.024
1945    34     1.626     0.896     0.540     0.123     0.038     0.028
1945    35     1.659     0.902     0.554     0.130     0.041     0.033
1945    36     1.686     0.906     0.565     0.136     0.043     0.037
1945    37     1.710     0.909     0.574     0.141     0.045     0.041
1945    38     1.730     0.912     0.580     0.146     0.048     0.044
1945    39     1.745     0.914     0.585     0.149     0.049     0.047
1945    40     1.757     0.916     0.588     0.152     0.050     0.050
1945    41     1.766     0.917     0.591     0.154     0.052     0.052
1945    42     1.772     0.918     0.592     0.156     0.052     0.054
1945    43     1.776     0.918     0.593     0.157     0.053     0.055
1945    44     1.779     0.918     0.594     0.158     0.053     0.056
1945    45     1.780     0.919     0.594     0.158     0.053     0.056
1945    46     1.781     0.919     0.594     0.158     0.053     0.057
1945    47     1.781     0.919     0.594     0.158     0.053     0.057
1945    48     1.781     0.919     0.594     0.158     0.053     0.057
1945    49     1.781     0.919     0.594     0.158     0.053     0.057
1945    50     1.781     0.919     0.594     0.158     0.054     0.057
1945    51     1.781     0.919     0.594     0.158     0.054     0.057
1945    52     1.781     0.919     0.594     0.158     0.054     0.057
1945    53     1.781     0.919     0.594     0.158     0.054     0.057
1945    54     1.781     0.919     0.594     0.158     0.054     0.057
1945    55     1.781     0.919     0.594     0.158     0.054     0.057
1946    12         .         .         .         .         .         .
1946    13     0.000     0.000     0.000     0.000     0.000     0.000
1946    14     0.000     0.000     0.000     0.000     0.000     0.000
1946    15     0.000     0.000     0.000     0.000     0.000     0.000
1946    16     0.001     0.001     0.000     0.000     0.000     0.000
1946    17     0.004     0.004     0.000     0.000     0.000     0.000
1946    18     0.019     0.019     0.000     0.000     0.000     0.000
1946    19     0.064     0.063     0.000     0.000     0.000     0.000
1946    20     0.152     0.145     0.006     0.000     0.000     0.000
1946    21     0.287     0.265     0.020     0.002     0.000     0.000
1946    22     0.432     0.386     0.041     0.004     0.000     0.000
1946    23     0.591     0.509     0.073     0.008     0.001     0.000
1946    24     0.749     0.617     0.116     0.014     0.002     0.000
1946    25     0.896     0.699     0.169     0.022     0.004     0.001
1946    26     1.028     0.761     0.226     0.032     0.007     0.002
1946    27     1.147     0.807     0.284     0.044     0.010     0.004
1946    28     1.256     0.841     0.341     0.055     0.013     0.005
1946    29     1.353     0.866     0.395     0.068     0.017     0.008
1946    30     1.439     0.884     0.441     0.081     0.022     0.011
1946    31     1.514     0.898     0.481     0.094     0.026     0.015
1946    32     1.576     0.909     0.513     0.105     0.030     0.019
1946    33     1.628     0.918     0.539     0.114     0.034     0.023
1946    34     1.669     0.925     0.558     0.122     0.037     0.027
1946    35     1.704     0.931     0.573     0.130     0.039     0.031
1946    36     1.735     0.935     0.585     0.137     0.042     0.035
1946    37     1.761     0.939     0.595     0.143     0.045     0.039
1946    38     1.782     0.942     0.603     0.149     0.047     0.042
1946    39     1.798     0.944     0.608     0.153     0.049     0.046
1946    40     1.811     0.946     0.611     0.156     0.050     0.048
1946    41     1.821     0.947     0.614     0.158     0.051     0.051
1946    42     1.828     0.948     0.616     0.160     0.052     0.052
1946    43     1.832     0.948     0.617     0.161     0.053     0.053
1946    44     1.834     0.949     0.617     0.162     0.053     0.054
1946    45     1.835     0.949     0.617     0.162     0.053     0.055
1946    46     1.836     0.949     0.617     0.162     0.053     0.055
1946    47     1.836     0.949     0.617     0.162     0.053     0.055
1946    48     1.836     0.949     0.617     0.162     0.053     0.055
1946    49     1.836     0.949     0.617     0.162     0.053     0.055
1946    50     1.836     0.949     0.617     0.162     0.053     0.055
1946    51     1.836     0.949     0.617     0.162     0.053     0.055
1946    52     1.836     0.949     0.617     0.162     0.053     0.055
1946    53     1.836     0.949     0.617     0.162     0.053     0.055
1946    54     1.836     0.949     0.617     0.162     0.053     0.055
1946    55     1.836     0.949     0.617     0.162     0.053     0.055
1947    12     0.000     0.000     0.000     0.000     0.000     0.000
1947    13     0.000     0.000     0.000     0.000     0.000     0.000
1947    14     0.000     0.000     0.000     0.000     0.000     0.000
1947    15     0.000     0.000     0.000     0.000     0.000     0.000
1947    16     0.001     0.001     0.000     0.000     0.000     0.000
1947    17     0.003     0.003     0.000     0.000     0.000     0.000
1947    18     0.016     0.016     0.000     0.000     0.000     0.000
1947    19     0.055     0.054     0.001     0.000     0.000     0.000
1947    20     0.135     0.129     0.006     0.000     0.000     0.000
1947    21     0.257     0.238     0.018     0.001     0.000     0.000
1947    22     0.396     0.355     0.038     0.003     0.000     0.000
1947    23     0.551     0.478     0.066     0.007     0.000     0.000
1947    24     0.704     0.584     0.107     0.012     0.001     0.000
1947    25     0.845     0.664     0.157     0.020     0.003     0.001
1947    26     0.972     0.723     0.212     0.029     0.006     0.002
1947    27     1.088     0.767     0.269     0.039     0.009     0.003
1947    28     1.194     0.800     0.326     0.051     0.012     0.005
1947    29     1.289     0.824     0.379     0.063     0.016     0.007
1947    30     1.372     0.842     0.425     0.075     0.020     0.010
1947    31     1.445     0.857     0.464     0.087     0.024     0.013
1947    32     1.504     0.868     0.495     0.097     0.027     0.017
1947    33     1.553     0.876     0.520     0.106     0.030     0.021
1947    34     1.595     0.883     0.539     0.114     0.033     0.025
1947    35     1.631     0.889     0.556     0.122     0.036     0.028
1947    36     1.664     0.893     0.569     0.130     0.039     0.032
1947    37     1.691     0.897     0.580     0.137     0.042     0.036
1947    38     1.712     0.900     0.587     0.142     0.044     0.039
1947    39     1.729     0.902     0.592     0.147     0.045     0.042
1947    40     1.743     0.904     0.596     0.150     0.047     0.045
1947    41     1.753     0.905     0.599     0.153     0.048     0.047
1947    42     1.759     0.906     0.600     0.154     0.049     0.049
1947    43     1.762     0.907     0.601     0.155     0.050     0.050
1947    44     1.764     0.907     0.601     0.155     0.050     0.051
1947    45     1.765     0.907     0.602     0.156     0.050     0.051
1947    46     1.766     0.907     0.602     0.156     0.050     0.051
1947    47     1.766     0.907     0.602     0.156     0.050     0.051
1947    48     1.766     0.907     0.602     0.156     0.050     0.051
1947    49     1.766     0.907     0.602     0.156     0.050     0.051
1947    50     1.766     0.907     0.602     0.156     0.050     0.051
1947    51     1.766     0.907     0.602     0.156     0.050     0.051
1947    52     1.766     0.907     0.602     0.156     0.050     0.051
