Russian Federation, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 22/10/2020
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1959    12     0.000     0.000     0.000     0.000     0.000     0.000
1959    13     0.000     0.000     0.000     0.000     0.000     0.000
1959    14     0.000     0.000     0.000     0.000     0.000     0.000
1959    15     0.000     0.000     0.000     0.000     0.000     0.000
1959    16     0.001     0.001     0.000     0.000     0.000     0.000
1959    17     0.003     0.003     0.000     0.000     0.000     0.000
1959    18     0.013     0.013     0.000     0.000     0.000     0.000
1959    19     0.046     0.046     0.000     0.000     0.000     0.000
1959    20     0.112     0.106     0.006     0.000     0.000     0.000
1959    21     0.235     0.212     0.022     0.001     0.000     0.000
1959    22     0.376     0.325     0.047     0.004     0.000     0.000
1959    23     0.552     0.453     0.088     0.010     0.000     0.000
1959    24     0.737     0.571     0.142     0.021     0.002     0.000
1959    25     0.927     0.673     0.207     0.038     0.007     0.002
1959    26     1.104     0.754     0.276     0.058     0.012     0.004
1959    27     1.265     0.815     0.340     0.083     0.020     0.007
1959    28     1.421     0.864     0.403     0.112     0.031     0.011
1959    29     1.566     0.903     0.460     0.143     0.044     0.017
1959    30     1.696     0.932     0.510     0.173     0.057     0.024
1959    31     1.827     0.957     0.556     0.204     0.075     0.036
1959    32     1.933     0.974     0.591     0.229     0.090     0.050
1959    33     2.034     0.989     0.621     0.252     0.105     0.066
1959    34     2.118     1.000     0.644     0.271     0.119     0.083
1959    35     2.196     1.009     0.663     0.289     0.132     0.103
1959    36     2.269     1.018     0.679     0.304     0.144     0.124
1959    37     2.328     1.024     0.691     0.316     0.154     0.144
1959    38     2.382     1.029     0.700     0.326     0.163     0.165
1959    39     2.430     1.033     0.707     0.333     0.170     0.186
1959    40     2.467     1.036     0.711     0.339     0.175     0.206
1959    41     2.501     1.038     0.715     0.343     0.180     0.225
1959    42     2.527     1.040     0.717     0.346     0.184     0.241
1959    43     2.546     1.041     0.718     0.348     0.186     0.253
1959    44     2.559     1.041     0.719     0.349     0.187     0.262
1959    45     2.567     1.041     0.720     0.349     0.188     0.268
1959    46     2.573     1.042     0.720     0.350     0.189     0.273
1959    47     2.576     1.042     0.720     0.350     0.189     0.275
1959    48     2.578     1.042     0.720     0.350     0.189     0.277
1959    49     2.580     1.042     0.720     0.350     0.189     0.278
1959    50     2.581     1.042     0.720     0.350     0.189     0.279
1959    51     2.581     1.042     0.720     0.350     0.190     0.279
1959    52     2.581     1.042     0.720     0.350     0.190     0.279
1959    53     2.582     1.042     0.720     0.350     0.190     0.279
1959    54     2.582     1.042     0.720     0.350     0.190     0.279
1959    55     2.582     1.042     0.720     0.350     0.190     0.280
1960    12     0.000     0.000     0.000     0.000     0.000     0.000
1960    13     0.000     0.000     0.000     0.000     0.000     0.000
1960    14     0.000     0.000     0.000     0.000     0.000     0.000
1960    15     0.000     0.000     0.000     0.000     0.000     0.000
1960    16     0.001     0.001     0.000     0.000     0.000     0.000
1960    17     0.004     0.004     0.000     0.000     0.000     0.000
1960    18     0.015     0.015     0.000     0.000     0.000     0.000
1960    19     0.049     0.048     0.000     0.000     0.000     0.000
1960    20     0.119     0.112     0.006     0.000     0.000     0.000
1960    21     0.240     0.216     0.022     0.002     0.000     0.000
1960    22     0.382     0.330     0.047     0.005     0.000     0.000
1960    23     0.548     0.450     0.087     0.011     0.001     0.000
1960    24     0.729     0.566     0.139     0.022     0.003     0.000
1960    25     0.913     0.664     0.203     0.037     0.006     0.002
1960    26     1.095     0.745     0.275     0.060     0.012     0.004
1960    27     1.256     0.804     0.340     0.085     0.020     0.007
1960    28     1.400     0.847     0.399     0.113     0.030     0.011
1960    29     1.550     0.886     0.459     0.146     0.044     0.017
1960    30     1.678     0.913     0.508     0.175     0.057     0.025
1960    31     1.811     0.937     0.556     0.207     0.074     0.036
1960    32     1.911     0.952     0.590     0.231     0.089     0.049
1960    33     2.017     0.967     0.623     0.256     0.104     0.066
1960    34     2.102     0.979     0.648     0.276     0.118     0.082
1960    35     2.179     0.988     0.667     0.293     0.130     0.101
1960    36     2.249     0.996     0.683     0.308     0.142     0.121
1960    37     2.312     1.003     0.696     0.320     0.152     0.141
1960    38     2.362     1.008     0.705     0.330     0.160     0.160
1960    39     2.411     1.012     0.712     0.338     0.167     0.181
1960    40     2.447     1.015     0.717     0.343     0.172     0.200
1960    41     2.480     1.017     0.721     0.347     0.177     0.218
1960    42     2.501     1.019     0.723     0.350     0.180     0.231
1960    43     2.522     1.020     0.724     0.352     0.182     0.244
1960    44     2.534     1.020     0.725     0.353     0.183     0.253
1960    45     2.542     1.021     0.726     0.353     0.184     0.258
1960    46     2.547     1.021     0.726     0.354     0.185     0.262
1960    47     2.550     1.021     0.726     0.354     0.185     0.264
1960    48     2.552     1.021     0.726     0.354     0.185     0.266
1960    49     2.553     1.021     0.726     0.354     0.185     0.267
1960    50     2.554     1.021     0.726     0.354     0.185     0.267
1960    51     2.554     1.021     0.726     0.354     0.185     0.267
1960    52     2.555     1.021     0.726     0.354     0.185     0.268
1960    53     2.555     1.021     0.726     0.354     0.185     0.268
1960    54     2.555     1.021     0.726     0.354     0.185     0.268
1960    55     2.555     1.021     0.726     0.354     0.185     0.268
1961    12     0.000     0.000     0.000     0.000     0.000     0.000
1961    13     0.000     0.000     0.000     0.000     0.000     0.000
1961    14     0.000     0.000     0.000     0.000     0.000     0.000
1961    15     0.000     0.000     0.000     0.000     0.000     0.000
1961    16     0.001     0.001     0.000     0.000     0.000     0.000
1961    17     0.004     0.004     0.000     0.000     0.000     0.000
1961    18     0.019     0.019     0.000     0.000     0.000     0.000
1961    19     0.062     0.062     0.000     0.000     0.000     0.000
1961    20     0.140     0.132     0.007     0.000     0.000     0.000
1961    21     0.275     0.249     0.025     0.002     0.000     0.000
1961    22     0.430     0.371     0.053     0.005     0.000     0.000
1961    23     0.597     0.492     0.093     0.012     0.001     0.000
1961    24     0.770     0.603     0.142     0.022     0.002     0.000
1961    25     0.943     0.698     0.202     0.037     0.006     0.002
1961    26     1.112     0.772     0.267     0.057     0.012     0.004
1961    27     1.273     0.831     0.332     0.083     0.020     0.007
1961    28     1.415     0.875     0.388     0.110     0.030     0.012
1961    29     1.544     0.908     0.439     0.137     0.042     0.018
1961    30     1.662     0.933     0.484     0.164     0.055     0.026
1961    31     1.787     0.956     0.530     0.193     0.071     0.037
1961    32     1.890     0.973     0.565     0.217     0.085     0.050
1961    33     1.978     0.986     0.593     0.237     0.097     0.064
1961    34     2.058     0.997     0.617     0.255     0.109     0.080
1961    35     2.127     1.005     0.635     0.271     0.120     0.096
1961    36     2.190     1.013     0.650     0.284     0.130     0.114
1961    37     2.246     1.019     0.661     0.295     0.139     0.132
1961    38     2.292     1.024     0.670     0.304     0.146     0.149
1961    39     2.331     1.027     0.676     0.310     0.152     0.165
1961    40     2.363     1.030     0.680     0.315     0.157     0.181
1961    41     2.393     1.033     0.684     0.319     0.161     0.197
1961    42     2.413     1.034     0.686     0.321     0.163     0.209
1961    43     2.428     1.035     0.687     0.322     0.165     0.219
1961    44     2.440     1.036     0.688     0.323     0.166     0.227
