Russian Federation, Cumulative period fertility rates (vertical parallelograms)
Last modified: 22/10/2020
Year  ARDY  Cohort     CPFR
1959   12    1947     0.000
1959   13    1946     0.000
1959   14    1945     0.000
1959   15    1944     0.000
1959   16    1943     0.000
1959   17    1942     0.002
1959   18    1941     0.007
1959   19    1940     0.026
1959   20    1939     0.075
1959   21    1938     0.168
1959   22    1937     0.302
1959   23    1936     0.461
1959   24    1935     0.643
1959   25    1934     0.831
1959   26    1933     1.016
1959   27    1932     1.184
1959   28    1931     1.343
1959   29    1930     1.494
1959   30    1929     1.631
1959   31    1928     1.762
1959   32    1927     1.881
1959   33    1926     1.983
1959   34    1925     2.076
1959   35    1924     2.157
1959   36    1923     2.232
1959   37    1922     2.298
1959   38    1921     2.355
1959   39    1920     2.406
1959   40    1919     2.448
1959   41    1918     2.484
1959   42    1917     2.514
1959   43    1916     2.536
1959   44    1915     2.552
1959   45    1914     2.562
1959   46    1913     2.570
1959   47    1912     2.574
1959   48    1911     2.577
1959   49    1910     2.578
1959   50    1909     2.579
1959   51    1908     2.580
1959   52    1907     2.580
1959   53    1906     2.581
1959   54    1905     2.581
1959   55    1904     2.581
1960   12    1948     0.000
1960   13    1947     0.000
1960   14    1946     0.000
1960   15    1945     0.000
1960   16    1944     0.000
1960   17    1943     0.002
1960   18    1942     0.008
1960   19    1941     0.028
1960   20    1940     0.078
1960   21    1939     0.173
1960   22    1938     0.307
1960   23    1937     0.461
1960   24    1936     0.636
1960   25    1935     0.819
1960   26    1934     1.003
1960   27    1933     1.175
1960   28    1932     1.326
1960   29    1931     1.474
1960   30    1930     1.612
1960   31    1929     1.744
1960   32    1928     1.860
1960   33    1927     1.962
1960   34    1926     2.058
1960   35    1925     2.139
1960   36    1924     2.213
1960   37    1923     2.279
1960   38    1922     2.335
1960   39    1921     2.385
1960   40    1920     2.427
1960   41    1919     2.462
1960   42    1918     2.488
1960   43    1917     2.509
1960   44    1916     2.526
1960   45    1915     2.535
1960   46    1914     2.542
1960   47    1913     2.546
1960   48    1912     2.548
1960   49    1911     2.550
1960   50    1910     2.551
1960   51    1909     2.551
1960   52    1908     2.552
1960   53    1907     2.552
1960   54    1906     2.552
1960   55    1905     2.553
1961   12    1949     0.000
1961   13    1948     0.000
1961   14    1947     0.000
1961   15    1946     0.000
1961   16    1945     0.000
1961   17    1944     0.002
1961   18    1943     0.010
1961   19    1942     0.037
1961   20    1941     0.096
1961   21    1940     0.201
1961   22    1939     0.348
1961   23    1938     0.510
1961   24    1937     0.680
1961   25    1936     0.853
1961   26    1935     1.025
1961   27    1934     1.190
1961   28    1933     1.342
1961   29    1932     1.477
1961   30    1931     1.600
1961   31    1930     1.722
1961   32    1929     1.837
1961   33    1928     1.932
1961   34    1927     2.016
1961   35    1926     2.090
1961   36    1925     2.156
1961   37    1924     2.216
1961   38    1923     2.267
1961   39    1922     2.309
1961   40    1921     2.344
1961   41    1920     2.375
1961   42    1919     2.400
1961   43    1918     2.417
1961   44    1917     2.431
1961   45    1916     2.440
1961   46    1915     2.446
1961   47    1914     2.449
1961   48    1913     2.451
1961   49    1912     2.452
1961   50    1911     2.453
1961   51    1910     2.453
1961   52    1909     2.454
1961   53    1908     2.454
1961   54    1907     2.454
1961   55    1906     2.454
1962   12    1950     0.000
1962   13    1949     0.000
1962   14    1948     0.000
1962   15    1947     0.000
1962   16    1946     0.000
1962   17    1945     0.002
1962   18    1944     0.010
1962   19    1943     0.038
1962   20    1942     0.097
1962   21    1941     0.194
1962   22    1940     0.331
1962   23    1939     0.486
1962   24    1938     0.650
1962   25    1937     0.815
1962   26    1936     0.978
1962   27    1935     1.134
1962   28    1934     1.281
1962   29    1933     1.414
1962   30    1932     1.527
1962   31    1931     1.640
1962   32    1930     1.748
1962   33    1929     1.842
1962   34    1928     1.923
1962   35    1927     1.994
1962   36    1926     2.058
1962   37    1925     2.112
1962   38    1924     2.160
1962   39    1923     2.201
1962   40    1922     2.235
1962   41    1921     2.264
1962   42    1920     2.286
1962   43    1919     2.303
1962   44    1918     2.315
1962   45    1917     2.324
1962   46    1916     2.330
1962   47    1915     2.333
1962   48    1914     2.334
1962   49    1913     2.335
1962   50    1912     2.336
1962   51    1911     2.336
1962   52    1910     2.336
1962   53    1909     2.337
1962   54    1908     2.337
1962   55    1907     2.337
1963   12    1951     0.000
1963   13    1950     0.000
1963   14    1949     0.000
1963   15    1948     0.000
1963   16    1947     0.000
1963   17    1946     0.002
1963   18    1945     0.010
1963   19    1944     0.039
1963   20    1943     0.107
1963   21    1942     0.216
1963   22    1941     0.354
1963   23    1940     0.506
1963   24    1939     0.670
1963   25    1938     0.833
1963   26    1937     0.988
1963   27    1936     1.134
1963   28    1935     1.273
1963   29    1934     1.404
1963   30    1933     1.519
1963   31    1932     1.625
1963   32    1931     1.725
1963   33    1930     1.815
1963   34    1929     1.895
1963   35    1928     1.962
1963   36    1927     2.022
1963   37    1926     2.075
1963   38    1925     2.119
1963   39    1924     2.157
1963   40    1923     2.188
1963   41    1922     2.214
1963   42    1921     2.235
1963   43    1920     2.251
1963   44    1919     2.263
1963   45    1918     2.270
1963   46    1917     2.275
1963   47    1916     2.278
1963   48    1915     2.280
1963   49    1914     2.281
1963   50    1913     2.281
1963   51    1912     2.282
1963   52    1911     2.282
1963   53    1910     2.282
1963   54    1909     2.282
1963   55    1908     2.282
1964   12    1952     0.000
1964   13    1951     0.000
