Russian Federation, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 22/10/2020
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1959   12    1947     0.000     0.000     0.000     0.000     0.000     0.000
1959   13    1946     0.000     0.000     0.000     0.000     0.000     0.000
1959   14    1945     0.000     0.000     0.000     0.000     0.000     0.000
1959   15    1944     0.000     0.000     0.000     0.000     0.000     0.000
1959   16    1943     0.000     0.000     0.000     0.000     0.000     0.000
1959   17    1942     0.002     0.002     0.000     0.000     0.000     0.000
1959   18    1941     0.007     0.007     0.000     0.000     0.000     0.000
1959   19    1940     0.026     0.026     0.000     0.000     0.000     0.000
1959   20    1939     0.075     0.072     0.002     0.000     0.000     0.000
1959   21    1938     0.168     0.155     0.013     0.001     0.000     0.000
1959   22    1937     0.302     0.266     0.033     0.003     0.000     0.000
1959   23    1936     0.461     0.387     0.066     0.007     0.000     0.000
1959   24    1935     0.643     0.512     0.114     0.015     0.001     0.000
1959   25    1934     0.831     0.623     0.174     0.029     0.004     0.001
1959   26    1933     1.016     0.714     0.242     0.048     0.009     0.003
1959   27    1932     1.184     0.784     0.308     0.070     0.016     0.005
1959   28    1931     1.343     0.839     0.372     0.097     0.025     0.009
1959   29    1930     1.494     0.883     0.432     0.128     0.037     0.014
1959   30    1929     1.631     0.917     0.486     0.158     0.050     0.020
1959   31    1928     1.762     0.944     0.534     0.188     0.066     0.030
1959   32    1927     1.881     0.964     0.574     0.217     0.082     0.043
1959   33    1926     1.983     0.980     0.607     0.241     0.098     0.058
1959   34    1925     2.076     0.993     0.634     0.262     0.112     0.075
1959   35    1924     2.157     1.004     0.655     0.280     0.125     0.093
1959   36    1923     2.232     1.012     0.672     0.297     0.138     0.113
1959   37    1922     2.298     1.020     0.686     0.310     0.149     0.134
1959   38    1921     2.355     1.025     0.696     0.321     0.158     0.154
1959   39    1920     2.406     1.030     0.704     0.330     0.166     0.176
1959   40    1919     2.448     1.033     0.709     0.336     0.173     0.196
1959   41    1918     2.484     1.036     0.713     0.341     0.178     0.216
1959   42    1917     2.514     1.038     0.716     0.345     0.182     0.233
1959   43    1916     2.536     1.039     0.718     0.347     0.185     0.247
1959   44    1915     2.552     1.040     0.719     0.348     0.187     0.258
1959   45    1914     2.562     1.040     0.720     0.349     0.188     0.265
1959   46    1913     2.570     1.040     0.720     0.350     0.188     0.271
1959   47    1912     2.574     1.040     0.720     0.350     0.189     0.274
1959   48    1911     2.577     1.041     0.720     0.350     0.189     0.276
1959   49    1910     2.578     1.041     0.721     0.350     0.189     0.278
1959   50    1909     2.579     1.041     0.721     0.350     0.189     0.278
1959   51    1908     2.580     1.041     0.721     0.350     0.189     0.279
1959   52    1907     2.580     1.041     0.721     0.350     0.189     0.279
1959   53    1906     2.581     1.041     0.721     0.350     0.190     0.279
1959   54    1905     2.581     1.041     0.721     0.350     0.190     0.279
1959   55    1904     2.581     1.041     0.721     0.350     0.190     0.280
1960   12    1948     0.000     0.000     0.000     0.000     0.000     0.000
1960   13    1947     0.000     0.000     0.000     0.000     0.000     0.000
1960   14    1946     0.000     0.000     0.000     0.000     0.000     0.000
1960   15    1945     0.000     0.000     0.000     0.000     0.000     0.000
1960   16    1944     0.000     0.000     0.000     0.000     0.000     0.000
1960   17    1943     0.002     0.002     0.000     0.000     0.000     0.000
1960   18    1942     0.008     0.008     0.000     0.000     0.000     0.000
1960   19    1941     0.028     0.028     0.000     0.000     0.000     0.000
1960   20    1940     0.078     0.076     0.002     0.000     0.000     0.000
1960   21    1939     0.173     0.159     0.013     0.001     0.000     0.000
1960   22    1938     0.307     0.270     0.033     0.003     0.000     0.000
1960   23    1937     0.461     0.388     0.066     0.007     0.000     0.000
1960   24    1936     0.636     0.506     0.112     0.016     0.002     0.000
