Russian Federation, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 22/10/2020
Year    Age        Exposure
1959     12      1004493.38
1959     13       786572.81
1959     14       515964.62
1959     15       432303.73
1959     16       525118.67
1959     17       845921.46
1959     18      1109462.71
1959     19      1197629.23
1959     20      1311638.82
1959     21      1329234.77
1959     22      1234973.31
1959     23      1095931.19
1959     24       943467.43
1959     25       878056.08
1959     26       965088.34
1959     27      1032929.29
1959     28      1126900.87
1959     29      1198375.07
1959     30      1288475.94
1959     31      1273861.28
1959     32      1213448.24
1959     33      1190254.02
1959     34      1102486.05
1959     35      1048744.40
1959     36       931343.60
1959     37       776222.08
1959     38       713207.55
1959     39       685132.50
1959     40       757002.41
1959     41       693584.62
1959     42       602660.40
1959     43       726679.03
1959     44       876382.11
1959     45       948005.44
1959     46       948518.14
1959     47       903300.29
1959     48       913713.17
1959     49       869112.15
1959     50       815463.35
1959     51       797473.77
1959     52       752205.44
1959     53       733723.78
1959     54       712004.53
1959     55       739340.39
1960     12      1057797.54
1960     13      1001255.90
1960     14       782821.49
1960     15       514334.60
1960     16       432176.85
1960     17       524671.63
1960     18       844541.60
1960     19      1104838.30
1960     20      1195485.06
1960     21      1309229.02
1960     22      1324973.77
1960     23      1230886.87
1960     24      1089625.62
1960     25       939429.73
1960     26       872283.63
1960     27       959375.80
1960     28      1029547.79
1960     29      1121068.53
1960     30      1196026.99
1960     31      1283287.96
1960     32      1269577.77
1960     33      1210861.12
1960     34      1184773.28
1960     35      1101151.38
1960     36      1046005.87
1960     37       927413.89
1960     38       774118.18
1960     39       708424.82
1960     40       681974.92
1960     41       753776.59
1960     42       690402.21
1960     43       599893.04
1960     44       722520.55
1960     45       875497.29
1960     46       946602.38
1960     47       945715.54
1960     48       904825.03
1960     49       909188.24
1960     50       865229.12
1960     51       814035.85
1960     52       794416.20
1960     53       750836.21
1960     54       731483.01
1960     55       710191.12
1961     12      1154565.86
1961     13      1053087.34
1961     14       998561.97
1961     15       779238.87
1961     16       512738.96
1961     17       431690.83
1961     18       523554.56
1961     19       842999.21
1961     20      1099979.36
1961     21      1193380.24
1961     22      1306949.63
1961     23      1320977.28
1961     24      1227076.00
1961     25      1083625.11
1961     26       935470.42
1961     27       866303.34
1961     28       953741.84
1961     29      1025909.74
1961     30      1115115.06
1961     31      1193500.64
1961     32      1278329.06
1961     33      1265147.54
1961     34      1208504.72
1961     35      1179287.81
1961     36      1099910.03
1961     37      1043490.57
1961     38       923632.84
1961     39       772034.84
1961     40       703566.92
1961     41       678608.43
1961     42       750909.62
1961     43       686878.94
1961     44       596992.31
1961     45       717940.67
1961     46       874662.08
1961     47       945092.27
1961     48       942897.90
1961     49       906244.43
1961     50       904516.50
1961     51       861334.61
1961     52       812686.47
1961     53       791035.18
1961     54       749563.71
1961     55       728873.29
1962     12      1191843.51
1962     13      1151139.16
1962     14      1048410.98
1962     15       995871.17
1962     16       775628.89
1962     17       511133.22
1962     18       431202.71
1962     19       522432.68
1962     20       841388.49
1962     21      1095147.88
1962     22      1191331.76
1962     23      1304659.45
1962     24      1317061.14
1962     25      1223314.20
1962     26      1077646.03
1962     27       931531.20
1962     28       860292.24
1962     29       948161.00
1962     30      1022136.32
1962     31      1109154.11
1962     32      1190987.46
1962     33      1273283.58
1962     34      1260845.24
1962     35      1206043.90
1962     36      1173685.57
1962     37      1098689.29
1962     38      1040896.75
1962     39       919867.17
1962     40       769838.56
1962     41       698693.37
1962     42       675157.51
1962     43       747828.49
1962     44       683426.70
1962     45       593926.68
1962     46       713185.87
1962     47       873754.27
1962     48       943237.12
1962     49       939911.57
1962     50       907233.53
1962     51       899671.05
1962     52       857192.00
1962     53       810794.39
1962     54       787534.67
1962     55       747747.17
1963     12      1188410.49
1963     13      1189765.73
1963     14      1147732.42
1963     15      1043729.18
1963     16       993151.71
1963     17       771977.61
1963     18       509500.58
1963     19       430701.99
1963     20       521247.88
1963     21       839795.84
1963     22      1090369.14
1963     23      1189277.11
1963     24      1302420.41
1963     25      1313137.17
1963     26      1219485.99
1963     27      1071611.14
1963     28       927547.19
1963     29       854318.14
1963     30       942462.99
1963     31      1018377.30
1963     32      1103247.67
1963     33      1188447.35
1963     34      1268336.58
1963     35      1256394.24
1963     36      1203432.38
1963     37      1168094.87
1963     38      1097387.57
1963     39      1038259.47
1963     40       915912.26
1963     41       767569.76
1963     42       693722.71
1963     43       671494.35
1963     44       744797.39
1963     45       679805.34
1963     46       590683.00
1963     47       708373.60
1963     48       872545.82
1963     49       941176.43
1963     50       936537.56
1963     51       908080.61
1963     52       894481.01
1963     53       852509.67
1963     54       808719.22
1963     55       783538.74
1964     12      1211826.65
1964     13      1184287.26
1964     14      1187713.03
1964     15      1144326.34
1964     16      1039031.40
1964     17       990375.38
1964     18       768286.74
1964     19       507847.34
1964     20       430140.92
1964     21       520075.13
1964     22       838232.48
1964     23      1085586.20
1964     24      1187251.15
1964     25      1300157.63
1964     26      1309199.50
1964     27      1215682.15
1964     28      1065615.11
1964     29       923632.37
1964     30       848249.93
1964     31       936816.32
1964     32      1014657.53
1964     33      1097285.23
1964     34      1185987.25
1964     35      1263243.90
1964     36      1251819.89
1964     37      1200861.77
1964     38      1162412.44
1964     39      1096010.17
1964     40      1035427.23
1964     41       911934.22
1964     42       765240.71
1964     43       688544.31
1964     44       667924.43
1964     45       741646.20
1964     46       676011.28
1964     47       587409.25
1964     48       703368.93
1964     49       871205.39
1964     50       938799.78
1964     51       933079.69
1964     52       908683.95
1964     53       888877.87
1964     54       847725.95
1964     55       806312.36
1965     12      1209317.11
1965     13      1207771.87
