Russian Federation, Female exposure to risk by calendar year, age and parity
Last modified: 02/10/2020
Year   Age            E0x            E1x            E2x            E3x           E4px
1989    12     1049343.46           0.00           0.00           0.00           0.00
1989    13     1048192.56          13.14           0.01           0.00           0.00
1989    14     1024174.81         209.78           0.17           0.00           0.00
1989    15     1004987.99        2407.99          34.72           0.00           0.00
1989    16      989412.02       11668.09         933.43           0.00           0.00
1989    17      963588.79       36240.06        2620.10          15.53           0.26
1989    18      874627.98       84915.48        5927.05         458.22           4.64
1989    19      753057.90      161527.49       15204.69        1213.30          31.65
1989    20      620335.13      248062.13       33331.18        2296.36         488.57
1989    21      510721.30      328553.90       62560.63        4907.69        1117.50
1989    22      426054.08      396451.37      105676.81        9935.05        1740.35
1989    23      353972.50      438583.45      158803.02       17129.44        3041.12
1989    24      295059.41      456520.47      217622.05       26591.46        5142.85
1989    25      262368.67      478958.62      292928.32       40292.70        8524.82
1989    26      237493.29      484794.09      371770.97       56291.59       13192.50
1989    27      214600.76      477391.45      448729.71       74838.11       19188.13
1989    28      193408.76      456472.20      512758.59       93738.94       26303.05
1989    29      173366.69      428817.74      559038.02      110505.86       33672.74
1989    30      155009.34      400687.46      585491.69      124935.14       40081.12
1989    31      139889.61      374687.82      596276.21      136489.90       45883.87
1989    32      126457.44      350704.10      590560.43      143189.23       50647.18
1989    33      122448.14      350778.46      609793.02      154044.67       56732.85
1989    34      112776.26      339379.42      602396.75      157253.91       61118.74
1989    35      103595.78      325047.93      581497.55      155477.45       63563.59
1989    36       96435.55      315008.47      563179.47      151356.32       64566.26
1989    37       93178.94      316126.55      561165.25      150446.28       66177.76
1989    38       89645.92      312199.77      540957.64      143040.54       65042.46
1989    39       89371.74      322892.68      545089.23      140281.49       66229.04
1989    40       84273.76      313696.21      509499.16      126374.45       60622.03
1989    41       78141.47      291782.23      453165.99      110067.19       53596.33
1989    42       75054.73      281001.98      425618.18      104392.17       51768.82
1989    43       58835.42      219582.96      322866.05       78910.72       41101.72
1989    44       40866.74      148334.27      213322.96       53302.85       30070.13
1989    45       34429.25      120583.78      179520.91       48347.96       29212.26
1989    46       41060.28      140870.39      221837.33       64017.07       40423.42
1989    47       63327.02      218688.48      351227.89      102893.79       64146.73
1989    48       78721.40      275618.62      442065.83      131069.34       82074.67
1989    49       86730.33      302175.74      479733.78      147152.39       95073.68
1989    50       95655.62      326543.62      513387.85      159586.04      105032.33
