Russian Federation, Female exposure to risk by calendar year, age and parity (based on parity distribution from population census)
Last modified: 02/10/2020
Year   Age            E0x            E1x            E2x            E3x           E4px
1979    12      911702.90           0.00           0.00           0.00           0.00
1979    13      940705.91          15.88           0.08           0.00           0.00
1979    14      972804.02         185.66           0.54           0.00           0.00
1979    15     1051974.74        1759.80          13.53           0.00           0.00
1979    16     1125182.86        7441.37         305.97           0.31           0.00
1979    17     1177157.45       25987.40        1194.57          16.19           0.14
1979    18     1167778.98       75857.02        3728.49         236.09           2.82
1979    19     1082798.40      170853.20       11008.26         769.73          21.96
1979    20      951544.80      300627.69       26726.84        1705.82         200.75
1979    21      790731.97      433844.77       53639.09        3725.28         540.74
1979    22      621043.36      531471.03       91552.25        7296.65        1079.68
1979    23      509950.82      620163.13      146749.09       13534.17        2242.91
1979    24      401409.94      646362.88      203135.75       21118.33        4077.77
1979    25      317273.31      630156.86      253900.48       28816.50        6607.66
1979    26      255755.32      586317.97      297216.14       36954.19        9819.14
1979    27      217040.97      553092.92      347605.06       46612.46       13706.12
1979    28      185301.13      507814.96      386299.16       54945.74       17766.26
1979    29      165204.39      480664.41      430268.35       64257.37       22367.04
1979    30      143608.52      433281.26      433125.14       67474.50       25241.36
1979    31      123785.45      380272.20      414009.26       68689.35       27222.30
1979    32      109235.81      347978.99      412572.58       74166.03       30007.03
1979    33       79454.88      257939.89      321627.27       62214.24       26686.64
1979    34       51995.81      167943.82      219516.65       46148.78       22221.50
1979    35       41220.77      132491.96      188961.05       44410.39       23347.89
1979    36       44768.53      144051.15      224501.77       58301.76       32920.64
1979    37       67423.70      224339.76      363459.20       97749.08       56232.85
1979    38       81852.15      285493.22      465016.63      128702.67       75203.78
1979    39       89061.15      316325.25      512289.50      148085.07       89867.36
1979    40       97153.48      343834.97      550785.93      162972.18      101708.72
1979    41       99214.57      346727.00      546044.72      164517.43      106969.29
1979    42       92737.55      312834.31      501227.34      160967.25      111974.23
1979    43       80868.61      256183.48      428213.89      148854.20      110460.35
1979    44       72521.14      213580.94      357789.34      130015.71      102379.24
1979    45       69625.55      191950.90      316359.17      120078.95       99962.44
1979    46       79378.30      209312.35      341223.32      134870.49      115755.83
1979    47       87897.91      224415.29      365983.66      149075.53      127560.57
1979    48       98373.73      237543.20      384752.25      163983.78      141094.93
1979    49      112286.10      255196.64      406190.59      181696.77      161368.61
1979    50      123031.66      264967.88      413505.99      192703.97      178207.97
1979    51      128912.19      263553.09      401118.76      195636.02      186094.73
1979    52      130739.91      254898.34      373973.58      188673.59      184798.31
1979    53      133842.17      246410.67      345121.22      178982.67      184056.92
1979    54      133445.49      234235.38      312093.90      167992.38      183694.30
