Russian Federation, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 22/10/2020
Year   Age   Cohort      Exposure
1959    12    1947      508608.93
1959    12    1946      495884.45
1959    13    1946      493346.13
1959    13    1945      293226.68
1959    14    1945      291673.35
1959    14    1944      224291.27
1959    15    1944      224195.33
1959    15    1943      208108.39
1959    16    1943      208155.36
1959    16    1942      316963.30
1959    17    1942      316985.03
1959    17    1941      528936.43
1959    18    1941      528472.40
1959    18    1940      580990.31
1959    19    1940      577364.31
1959    19    1939      620264.92
1959    20    1939      622393.14
1959    20    1938      689245.68
1959    21    1938      685187.91
1959    21    1937      644046.86
1959    22    1937      644247.65
1959    22    1936      590725.66
1959    23    1936      586661.58
1959    23    1935      509269.61
1959    24    1935      507268.11
1959    24    1934      436199.31
1959    25    1934      434332.90
1959    25    1933      443723.18
1959    26    1933      440212.86
1959    26    1932      524875.48
1959    27    1932      523360.56
1959    27    1931      509568.73
1959    28    1931      508095.12
1959    28    1930      618805.75
1959    29    1930      615270.08
1959    29    1929      583104.99
1959    30    1929      584942.28
1959    30    1928      703533.66
1959    31    1928      697332.87
1959    31    1927      576528.42
1959    32    1927      578865.45
1959    32    1926      634582.78
1959    33    1926      630417.08
1959    33    1925      559836.94
1959    34    1925      559048.81
1959    34    1924      543437.24
1959    35    1924      543532.40
1959    35    1923      505212.00
1959    36    1923      502923.81
1959    36    1922      428419.80
1959    37    1922      427217.46
1959    37    1921      349004.62
1959    38    1921      348520.16
1959    38    1920      364687.39
1959    39    1920      360978.23
1959    39    1919      324154.27
1959    40    1919      325335.17
1959    40    1918      431667.24
1959    41    1918      428115.53
1959    41    1917      265469.09
1959    42    1917      266069.95
1959    42    1916      336590.45
1959    43    1916      334078.39
1959    43    1915      392600.64
1959    44    1915      391861.32
1959    44    1914      484520.78
1959    45    1914      485639.37
1959    45    1913      462366.07
1959    46    1913      460774.27
1959    46    1912      487743.87
1959    47    1912      487704.56
1959    47    1911      415595.73
1959    48    1911      418198.39
1959    48    1910      495514.78
1959    49    1910      489751.73
