Russian Federation, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 22/10/2020
Year    ARDY   Cohort       Exposure
1959     12     1947       508608.93
1959     13     1946       989230.58
1959     14     1945       584900.03
1959     15     1944       448486.60
1959     16     1943       416263.76
1959     17     1942       633948.33
1959     18     1941      1057408.82
1959     19     1940      1158354.62
1959     20     1939      1242658.06
1959     21     1938      1374433.59
1959     22     1937      1288294.51
1959     23     1936      1177387.23
1959     24     1935      1016537.72
1959     25     1934       870532.21
1959     26     1933       883936.04
1959     27     1932      1048236.04
1959     28     1931      1017663.85
1959     29     1930      1234075.84
1959     30     1929      1168047.27
1959     31     1928      1400866.53
1959     32     1927      1155393.87
1959     33     1926      1264999.86
1959     34     1925      1118885.75
1959     35     1924      1086969.65
1959     36     1923      1008135.80
1959     37     1922       855637.25
1959     38     1921       697524.78
1959     39     1920       725665.61
1959     40     1919       649489.44
1959     41     1918       859782.77
1959     42     1917       531539.04
1959     43     1916       670668.84
1959     44     1915       784461.96
1959     45     1914       970160.16
1959     46     1913       923140.33
1959     47     1912       975448.43
1959     48     1911       833794.11
1959     49     1910       985266.51
1959     50     1909       761890.26
1959     51     1908       862552.91
1959     52     1907       737204.91
1959     53     1906       764387.31
1959     54     1905       704837.92
1959     55     1904       718116.44
1960     12     1948       549294.38
1960     13     1947      1016507.84
1960     14     1946       984470.07
1960     15     1945       581801.53
1960     16     1944       448219.17
1960     17     1943       415878.83
1960     18     1942       633122.42
1960     19     1941      1055981.45
1960     20     1940      1150512.80
1960     21     1939      1246406.09
1960     22     1938      1365944.68
1960     23     1937      1288451.01
1960     24     1936      1168994.74
1960     25     1935      1012356.67
1960     26     1934       866389.76
1960     27     1933       876253.44
1960     28     1932      1044852.92
1960     29     1931      1013898.23
1960     30     1930      1226453.85
1960     31     1929      1170818.36
1960     32     1928      1388129.53
1960     33     1927      1159280.39
1960     34     1926      1256130.74
1960     35     1925      1116708.27
1960     36     1924      1086575.72
1960     37     1923      1003082.90
1960     38     1922       852838.81
1960     39     1921       695904.36
1960     40     1920       717714.60
1960     41     1919       650925.79
1960     42     1918       852512.15
1960     43     1917       531860.56
1960     44     1916       664819.93
1960     45     1915       781868.09
1960     46     1914       971458.67
1960     47     1913       918807.74
1960     48     1912       974440.41
1960     49     1911       837576.86
1960     50     1910       972598.68
1960     51     1909       766769.19
1960     52     1908       854870.99
1960     53     1907       738604.04
1960     54     1906       760398.62
1960     55     1905       704207.16
1961     12     1949       605377.03
1961     13     1948      1094365.63
1961     14     1947      1015340.00
1961     15     1946       980240.51
1961     16     1945       578851.19
1961     17     1944       447986.43
1961     18     1943       415145.03
1961     19     1942       631615.86
1961     20     1941      1054374.50
1961     21     1940      1142443.20
1961     22     1939      1250272.53
1961     23     1938      1357492.66
1961     24     1937      1288947.67
1961     25     1936      1160881.79
1961     26     1935      1008478.86
1961     27     1934       862334.76
1961     28     1933       868306.56
1961     29     1932      1041564.15
1961     30     1931      1009841.62
1961     31     1930      1218638.28
1961     32     1929      1173574.40
1961     33     1928      1375425.67
1961     34     1927      1163221.31
1961     35     1926      1247395.13
1961     36     1925      1114468.29
1961     37     1924      1086389.81
1961     38     1923       998202.88
1961     39     1922       850196.69
1961     40     1921       694334.93
1961     41     1920       709596.12
1961     42     1919       652279.89
1961     43     1918       845369.91
1961     44     1917       532059.62
1961     45     1916       658739.70
1961     46     1915       778771.31
1961     47     1914       972916.08
1961     48     1913       914255.53
1961     49     1912       973452.62
1961     50     1911       841290.43
1961     51     1910       959612.11
1961     52     1909       771998.14
1961     53     1908       846838.54
1961     54     1907       740007.54
1961     55     1906       756270.93
1962     12     1950       586576.24
1962     13     1949      1211325.11
1962     14     1948      1086155.94
1962     15     1947      1014185.93
1962     16     1946       976007.42
1962     17     1945       575867.47
1962     18     1944       447758.62
1962     19     1943       414400.94
1962     20     1942       630101.29
1962     21     1941      1052693.90
1962     22     1940      1134471.14
1962     23     1939      1254130.13
1962     24     1938      1349077.73
1962     25     1937      1289503.26
1962     26     1936      1152774.76
1962     27     1935      1004640.60
1962     28     1934       858302.03
1962     29     1933       860341.19
1962     30     1932      1038310.23
1962     31     1931      1005601.74
1962     32     1930      1210974.55
1962     33     1929      1176177.13
1962     34     1928      1362776.36
1962     35     1927      1167194.21
1962     36     1926      1238494.86
1962     37     1925      1112199.96
