Russian Federation, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 22/10/2020
Year       MAB     MAB40
1959     28.19     27.51
1960     28.16     27.51
1961     27.76     27.17
1962     27.74     27.16
1963     27.55     26.99
1964     27.47     26.93
1965     27.47     26.95
1966     27.40     26.91
1967     27.28     26.82
1968     27.21     26.76
1969     27.06     26.66
1970     26.88     26.50
1971     26.77     26.42
1972     26.72     26.37
1973     26.63     26.29
1974     26.50     26.16
1975     26.38     26.05
1976     26.21     25.89
1977     26.10     25.80
1978     25.95     25.68
1979     25.80     25.54
1980     25.68     25.44
1981     25.74     25.52
1982     25.81     25.60
1983     25.91     25.72
1984     25.79     25.60
1985     25.78     25.59
1986     25.97     25.78
1987     25.97     25.77
1988     25.80     25.60
1989     25.51     25.32
1990     25.24     25.06
1991     25.03     24.85
1992     24.86     24.68
1993     24.66     24.49
1994     24.63     24.49
1995     24.80     24.65
1996     25.04     24.88
1997     25.23     25.08
1998     25.41     25.25
1999     25.57     25.40
2000     25.76     25.60
2001     25.93     25.77
2002     26.12     25.96
2003     26.27     26.09
2004     26.40     26.21
2005     26.53     26.33
2006     26.61     26.41
2007     26.97     26.75
2008     27.19     26.94
2009     27.39     27.12
2010     27.66     27.37
2011     27.69     27.40
2012     27.80     27.51
2013     27.93     27.61
2014     28.07     27.74
2015     28.24     27.90
2016     28.42     28.07
2017     28.50     28.12
2018     28.64     28.23
