Russian Federation, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 22/10/2020
Cohort    CMAB    CMAB40
1944     26.14     25.93
1945     26.07     25.86
1946     26.14     25.93
1947     26.28     26.07
1948     26.21     26.03
1949     26.23     26.07
1950     26.19     26.05
1951     26.16     26.04
1952     26.11     26.01
1953     26.02     25.92
1954     25.91     25.82
1955     25.80     25.70
1956     25.66     25.56
1957     25.52     25.42
1958     25.37     25.26
1959     25.20     25.09
1960     25.05     24.93
1961     24.96     24.82
1962     24.90     24.74
1963     24.85     24.68
1964     24.82     24.63
1965     24.82     24.60
1966     24.89     24.64
1967     25.00     24.71
1968     25.13     24.81
1969         .     24.93
1970         .     25.10
1971         .     25.34
1972         .     25.59
1973         .     25.82
1974         .     26.07
1975         .     26.32
1976         .     26.66
1977         .     26.95
1978         .     27.13
