Russian Federation, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 22/10/2020
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1944     26.14     23.46     27.78     30.06     31.41     34.23     25.93     23.40     27.66     29.67     30.82     33.15
1945     26.07     23.43     27.80     30.21     31.47     34.14     25.86     23.37     27.67     29.78     30.84     33.07
1946     26.14     23.48     27.90     30.46     31.65     34.18     25.93     23.42     27.77     30.03     31.03     33.13
1947     26.28     23.59     28.04     30.69     31.87     34.26     26.07     23.52     27.92     30.29     31.27     33.27
1948     26.21     23.50     27.97     30.75     31.84     34.17     26.03     23.44     27.87     30.42     31.32     33.30
1949     26.23     23.46     27.98     30.85     32.05     34.12     26.07     23.40     27.89     30.58     31.59     33.33
1950     26.19     23.39     27.90     30.86     31.92     34.00     26.05     23.34     27.82     30.62     31.52     33.31
1951     26.16     23.35     27.82     30.81     31.87     33.88     26.04     23.30     27.76     30.61     31.53     33.26
1952     26.11     23.32     27.76     30.71     31.71     33.73     26.01     23.27     27.70     30.53     31.40     33.16
1953     26.02     23.26     27.64     30.53     31.62     33.56     25.92     23.21     27.59     30.36     31.33     33.01
1954     25.91     23.20     27.53     30.30     31.54     33.36     25.82     23.15     27.48     30.13     31.23     32.80
1955     25.80     23.17     27.37     30.04     31.26     33.12     25.70     23.13     27.31     29.86     30.92     32.52
1956     25.66     23.13     27.19     29.77     31.04     32.93     25.56     23.08     27.14     29.58     30.67     32.28
1957     25.52     23.09     27.03     29.52     30.84     32.80     25.42     23.04     26.97     29.31     30.43     32.09
1958     25.37     23.03     26.86     29.27     30.63     32.72     25.26     22.98     26.80     29.05     30.21     31.95
1959     25.20     22.97     26.65     29.06     30.53     32.62     25.09     22.93     26.58     28.81     30.05     31.82
1960     25.05     22.93     26.44     28.90     30.51     32.63     24.93     22.88     26.36     28.61     29.96     31.77
1961     24.96     22.90     26.29     28.88     30.57     32.79     24.82     22.85     26.20     28.53     29.96     31.82
1962     24.90     22.88     26.21     28.93     30.69     32.93     24.74     22.83     26.10     28.53     30.02     31.90
1963     24.85     22.84     26.17     29.07     30.90     33.23     24.68     22.79     26.05     28.61     30.14     32.10
1964     24.82     22.79     26.19     29.28     31.15     33.50     24.63     22.73     26.05     28.76     30.34     32.32
1965     24.82     22.74     26.30     29.54     31.43     33.79     24.60     22.67     26.13     28.96     30.53     32.53
1966     24.89     22.70     26.52     29.96     31.84     34.08     24.64     22.63     26.31     29.28     30.79     32.69
1967     25.00     22.69     26.83     30.37     32.22     34.27     24.71     22.61     26.58     29.58     31.08     32.79
1968     25.13     22.68     27.18     30.77     32.58     34.67     24.81     22.60     26.90     29.92     31.40     33.11
1969         .         .         .         .         .         .     24.93     22.61     27.23     30.30     31.71     33.27
1970         .         .         .         .         .         .     25.10     22.68     27.61     30.70     31.98     33.42
1971         .         .         .         .         .         .     25.34     22.79     28.01     31.13     32.29     33.59
1972         .         .         .         .         .         .     25.59     22.92     28.36     31.47     32.56     33.78
1973         .         .         .         .         .         .     25.82     23.06     28.64     31.73     32.80     33.97
1974         .         .         .         .         .         .     26.07     23.21     28.89     32.00     32.96     34.07
1975         .         .         .         .         .         .     26.32     23.41     29.12     32.19     33.07     34.11
1976         .         .         .         .         .         .     26.66     23.68     29.40     32.44     33.28     34.21
1977         .         .         .         .         .         .     26.95     23.94     29.60     32.55     33.37     34.28
1978         .         .         .         .         .         .     27.13     24.13     29.69     32.55     33.40     34.36
