Russian Federation, Conditional fertility rates by calendar year, age and birth order
Last modified: 02/10/2020
Year  Age       m1x       m2x       m3x       m4x      m5px
1989   12-  0.00000         .         .         .         .
1989   13   0.00001   0.00076         .         .         .
1989   14   0.00014   0.00062         .         .         .
1989   15   0.00169   0.00078   0.00000         .         .
1989   16   0.01034   0.01663   0.00000         .         .
1989   17   0.03436   0.03264   0.00000   0.00000         .
1989   18   0.08425   0.05478   0.02430   0.01528         .
1989   19   0.15707   0.07423   0.03645   0.02061   0.00000
1989   20   0.21420   0.09628   0.04184   0.04879   0.00000
1989   21   0.24151   0.11384   0.05083   0.05831   0.04211
1989   22   0.24377   0.12681   0.05387   0.06336   0.04775
1989   23   0.23509   0.13571   0.05360   0.07480   0.05533
1989   24   0.21535   0.14054   0.05053   0.07544   0.08491
1989   25   0.19478   0.14507   0.04743   0.07012   0.10255
1989   26   0.17616   0.14683   0.04344   0.06609   0.10498
1989   27   0.15600   0.14420   0.04144   0.06214   0.10956
1989   28   0.14102   0.13862   0.03891   0.05491   0.10929
1989   29   0.12860   0.12969   0.03657   0.05098   0.10100
1989   30   0.11456   0.11633   0.03395   0.04508   0.10153
1989   31   0.10444   0.10053   0.03015   0.03994   0.09312
1989   32   0.09112   0.08493   0.02786   0.03597   0.09371
1989   33   0.07611   0.06859   0.02427   0.03164   0.08564
1989   34   0.06834   0.05849   0.02188   0.02806   0.08128
1989   35   0.05914   0.04586   0.01869   0.02545   0.07625
1989   36   0.04800   0.03397   0.01481   0.02114   0.06670
1989   37   0.04156   0.02622   0.01191   0.01913   0.06293
1989   38   0.03193   0.01779   0.00882   0.01452   0.05461
1989   39   0.02337   0.01171   0.00626   0.01133   0.04241
1989   40   0.01876   0.00797   0.00463   0.00941   0.03796
1989   41   0.01058   0.00447   0.00262   0.00554   0.02368
1989   42   0.00720   0.00290   0.00203   0.00429   0.02070
1989   43   0.00380   0.00151   0.00114   0.00239   0.01386
1989   44   0.00236   0.00083   0.00055   0.00139   0.00708
1989   45   0.00096   0.00033   0.00026   0.00085   0.00373
1989   46   0.00049   0.00007   0.00010   0.00019   0.00180
1989   47   0.00022   0.00003   0.00005   0.00010   0.00056
1989   48   0.00009   0.00003   0.00002   0.00007   0.00038
1989   49   0.00015   0.00004   0.00001   0.00003   0.00013
1989   50   0.00008   0.00001   0.00000   0.00001   0.00005
1989   51   0.00000   0.00001   0.00000   0.00001   0.00004
1989   52   0.00006   0.00001   0.00000   0.00000   0.00003
1989   53   0.00002   0.00001   0.00000   0.00000   0.00002
1989   54   0.00000   0.00001   0.00000   0.00001   0.00002
1989   55+  0.00006   0.00000   0.00002   0.00004   0.00003
1990   12-  0.00000         .         .         .         .
1990   13   0.00001   0.04375         .         .         .
1990   14   0.00019   0.02161         .         .         .
1990   15   0.00225   0.01811   0.16730         .         .
1990   16   0.01284   0.02668   0.02730         .         .
1990   17   0.03819   0.03690   0.01687   0.00000         .
1990   18   0.08849   0.05259   0.02355   0.11383         .
1990   19   0.16144   0.06612   0.03496   0.03553   0.00000
1990   20   0.21719   0.08416   0.04285   0.03206   0.10344
1990   21   0.24462   0.10039   0.05022   0.06630   0.04143
1990   22   0.24249   0.11032   0.05137   0.06481   0.04841
1990   23   0.22800   0.11766   0.04980   0.06722   0.07808
1990   24   0.20916   0.12484   0.04678   0.06922   0.08515
1990   25   0.18901   0.12691   0.04384   0.07050   0.10126
1990   26   0.16887   0.12732   0.04030   0.06387   0.09892
1990   27   0.15138   0.12682   0.03741   0.05835   0.10438
1990   28   0.13538   0.12030   0.03444   0.05131   0.10153
1990   29   0.12161   0.11332   0.03173   0.04724   0.09654
1990   30   0.11207   0.10165   0.02936   0.04139   0.09121
1990   31   0.10033   0.08699   0.02647   0.03640   0.08919
1990   32   0.08847   0.07358   0.02349   0.03210   0.08299
1990   33   0.07525   0.06082   0.02084   0.02876   0.07919
1990   34   0.06198   0.04809   0.01751   0.02435   0.07261
1990   35   0.05673   0.03980   0.01542   0.02175   0.06870
1990   36   0.04755   0.03036   0.01238   0.01963   0.06174
1990   37   0.03802   0.02169   0.00975   0.01546   0.05416
1990   38   0.03130   0.01600   0.00745   0.01350   0.04728
1990   39   0.02241   0.01066   0.00553   0.01001   0.03775
1990   40   0.01628   0.00682   0.00373   0.00773   0.02955
1990   41   0.01193   0.00422   0.00262   0.00592   0.02463
1990   42   0.00668   0.00218   0.00137   0.00342   0.01561
1990   43   0.00399   0.00132   0.00102   0.00239   0.01168
1990   44   0.00212   0.00066   0.00055   0.00129   0.00591
1990   45   0.00064   0.00028   0.00021   0.00081   0.00333
1990   46   0.00017   0.00013   0.00014   0.00023   0.00123
1990   47   0.00012   0.00006   0.00004   0.00009   0.00067
1990   48   0.00011   0.00003   0.00001   0.00007   0.00038
1990   49   0.00006   0.00000   0.00001   0.00004   0.00016
1990   50   0.00006   0.00001   0.00000   0.00001   0.00007
1990   51   0.00002   0.00000   0.00001   0.00000   0.00002
1990   52   0.00002   0.00000   0.00000   0.00000   0.00001
1990   53   0.00000   0.00001   0.00000   0.00001   0.00000
1990   54   0.00000   0.00000   0.00000   0.00000   0.00002
1990   55+  0.00001   0.00003   0.00000   0.00001   0.00001
1991   12-  0.00000         .         .         .         .
1991   13   0.00001   0.05498         .         .         .
1991   14   0.00021   0.02715         .         .         .
1991   15   0.00244   0.02171   0.05257         .         .
1991   16   0.01353   0.02909   0.03984         .         .
1991   17   0.03912   0.04570   0.02639   0.06013         .
1991   18   0.08652   0.05679   0.02838   0.08009         .
1991   19   0.15321   0.06519   0.03709   0.05082   0.10546
1991   20   0.20873   0.07502   0.04476   0.04534   0.08556
1991   21   0.23687   0.08477   0.05017   0.07197   0.15944
1991   22   0.23790   0.09388   0.05080   0.06833   0.07264
1991   23   0.22202   0.09947   0.04707   0.07715   0.08603
1991   24   0.19912   0.10382   0.04442   0.07322   0.09543
1991   25   0.18070   0.10813   0.04034   0.06775   0.09736
1991   26   0.16231   0.10545   0.03668   0.06274   0.10107
1991   27   0.14503   0.10420   0.03370   0.05515   0.10206
1991   28   0.12775   0.10000   0.03033   0.04896   0.10141
1991   29   0.11511   0.09154   0.02762   0.04231   0.08973
1991   30   0.10550   0.08275   0.02511   0.03908   0.08994
1991   31   0.09602   0.07267   0.02228   0.03297   0.08223
1991   32   0.08149   0.06105   0.01983   0.02898   0.07670
1991   33   0.07311   0.05062   0.01721   0.02553   0.06950
1991   34   0.06244   0.04144   0.01487   0.02201   0.06416
1991   35   0.05116   0.03199   0.01200   0.01882   0.05905
1991   36   0.04506   0.02564   0.01021   0.01614   0.05255
1991   37   0.03595   0.01886   0.00815   0.01375   0.04746
1991   38   0.02772   0.01312   0.00610   0.01099   0.03910
1991   39   0.02231   0.00966   0.00470   0.00857   0.03505
1991   40   0.01612   0.00627   0.00339   0.00653   0.02776
1991   41   0.01075   0.00380   0.00225   0.00494   0.02025
1991   42   0.00683   0.00213   0.00144   0.00359   0.01617
1991   43   0.00338   0.00109   0.00081   0.00195   0.00904
1991   44   0.00187   0.00064   0.00051   0.00100   0.00653
1991   45   0.00050   0.00022   0.00024   0.00070   0.00344
1991   46   0.00030   0.00005   0.00011   0.00032   0.00197
1991   47   0.00018   0.00004   0.00003   0.00015   0.00053
1991   48   0.00010   0.00001   0.00001   0.00005   0.00035
1991   49   0.00006   0.00001   0.00001   0.00002   0.00009
1991   50   0.00000   0.00000   0.00000   0.00002   0.00005
1991   51   0.00000   0.00000   0.00000   0.00000   0.00000
1991   52   0.00001   0.00000   0.00000   0.00000   0.00001
1991   53   0.00001   0.00001   0.00000   0.00000   0.00000
1991   54   0.00000   0.00001   0.00000   0.00000   0.00001
1991   55+  0.00002   0.00000   0.00000   0.00001   0.00002
1992   12-  0.00000         .         .         .         .
1992   13   0.00001   0.05678         .         .         .
1992   14   0.00020   0.02802         .         .         .
1992   15   0.00231   0.02318   0.00000         .         .
1992   16   0.01271   0.03126   0.04075         .         .
1992   17   0.03783   0.04374   0.02626   0.05235         .
1992   18   0.08304   0.05378   0.03223   0.08784         .
1992   19   0.13966   0.06044   0.03433   0.05966   0.17488
1992   20   0.18872   0.06678   0.04207   0.06516   0.14814
1992   21   0.21904   0.07228   0.04859   0.07226   0.10329
1992   22   0.22415   0.07706   0.04576   0.07180   0.08261
1992   23   0.21236   0.08239   0.04404   0.07114   0.06452
