Russian Federation, Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 02/10/2020
Year  Age       m1x       m2x       m3x       m4x      m5px
1979   12-  0.00000         .         .         .         .
1979   13   0.00001   0.00567         .         .         .
1979   14   0.00017   0.00361         .         .         .
1979   15   0.00124   0.00240   0.00000         .         .
1979   16   0.00591   0.00578   0.00000         .         .
1979   17   0.02045   0.02656   0.00753   0.00000         .
1979   18   0.05826   0.04118   0.01932   0.01694         .
1979   19   0.12325   0.05757   0.03317   0.02210   0.00000
1979   20   0.18868   0.07266   0.05566   0.07156   0.04488
1979   21   0.22440   0.08474   0.05401   0.08030   0.05367
1979   22   0.24282   0.09782   0.05739   0.08227   0.07602
1979   23   0.22658   0.10006   0.05462   0.09433   0.10533
1979   24   0.22181   0.11151   0.05186   0.10314   0.11955
1979   25   0.19768   0.11556   0.04741   0.10129   0.14923
1979   26   0.17512   0.11644   0.04251   0.09395   0.14466
1979   27   0.15760   0.11854   0.04122   0.08635   0.14972
1979   28   0.13575   0.11427   0.03493   0.07790   0.15996
1979   29   0.12259   0.10641   0.03107   0.06848   0.15194
1979   30   0.10948   0.10376   0.03002   0.06541   0.16144
1979   31   0.08221   0.07489   0.02201   0.04558   0.12326
1979   32   0.08212   0.07435   0.02295   0.04525   0.13548
1979   33   0.06295   0.05346   0.01805   0.03527   0.11730
1979   34   0.05290   0.04311   0.01566   0.03291   0.10370
1979   35   0.04289   0.03426   0.01382   0.02951   0.09882
1979   36   0.03328   0.02508   0.01130   0.02154   0.08401
1979   37   0.03235   0.02106   0.01032   0.02091   0.07779
1979   38   0.02403   0.01593   0.00707   0.01578   0.06604
1979   39   0.01870   0.01032   0.00573   0.01176   0.05621
1979   40   0.01374   0.00714   0.00410   0.00961   0.04636
1979   41   0.00938   0.00407   0.00255   0.00612   0.03248
1979   42   0.00632   0.00275   0.00178   0.00397   0.02523
1979   43   0.00343   0.00162   0.00109   0.00245   0.01592
1979   44   0.00213   0.00098   0.00069   0.00156   0.00953
1979   45   0.00070   0.00047   0.00023   0.00081   0.00564
1979   46   0.00038   0.00024   0.00016   0.00035   0.00273
1979   47   0.00013   0.00016   0.00007   0.00017   0.00133
1979   48   0.00005   0.00008   0.00005   0.00008   0.00061
1979   49   0.00001   0.00007   0.00001   0.00002   0.00054
1979   50   0.00003   0.00000   0.00002   0.00002   0.00012
