Russian Federation, Period fertility tables, birth orders 1 to 5+
Last modified: 02/10/2020
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1989    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1989    13   0.99999   0.00001   0.00001   10000      0   10000      0   0.00001   0.00076   0.00076      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1989    14   0.99980   0.00014   0.00014   10000      1    9999      0   0.00020   0.00062   0.00062      0      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1989    15   0.99758   0.00169   0.00169    9999     17    9990      1   0.00239   0.00078   0.00078      1      0      10      0   0.00003   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1989    16   0.98742   0.01034   0.01029    9982    103    9930     18   0.01164   0.01663   0.01649     18      1      70      0   0.00093   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1989    17   0.96122   0.03436   0.03378    9879    334    9712    121   0.03615   0.03264   0.03212    120      9     285      1   0.00261   0.00000   0.00000      1      0       3      0   0.00002   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1989    18   0.90547   0.08425   0.08084    9545    772    9159    455   0.08791   0.05478   0.05332    444     45     818     10   0.00614   0.02430   0.02401     10      1      22      0   0.00047   0.01528   0.01516      0      0       0      0   0.00000         .         .      0      0       0      0
1989    19   0.80884   0.15707   0.14564    8774   1278    8135   1226   0.17349   0.07423   0.07157   1171    131    1768     55   0.01633   0.03645   0.03580     55      3      96      1   0.00130   0.02061   0.02040      1      0       2      0   0.00003   0.00000   0.00000      0      0       0      0
1989    20   0.68582   0.21420   0.19348    7496   1450    6771   2504   0.27425   0.09628   0.09186   2318    283    2936    187   0.03685   0.04184   0.04098    183     12     285      4   0.00254   0.04879   0.04763      4      0       8      0   0.00054   0.00000   0.00000      0      0       0      0
1989    21   0.56255   0.24151   0.21549    6046   1303    5394   3954   0.36190   0.11384   0.10771   3485    450    3949    469   0.06891   0.05083   0.04957    453     32     630     16   0.00541   0.05831   0.05666     16      2      26      0   0.00123   0.04211   0.04124      0      0       1      0
1989    22   0.45332   0.24377   0.21728    4743   1031    4228   5257   0.42182   0.12681   0.11925   4338    583    4595    919   0.11244   0.05387   0.05245    871     60    1107     48   0.01057   0.06336   0.06142     46      4      67      2   0.00185   0.04775   0.04664      2      0       3      0
1989    23   0.36435   0.23509   0.21036    3712    781    3322   6288   0.45144   0.13571   0.12708   4786    661    4873   1501   0.16346   0.05360   0.05220   1394     89    1662    108   0.01763   0.07480   0.07210    101     10     134      6   0.00313   0.05533   0.05384      6      1      10      0
1989    24   0.29478   0.21535   0.19441    2931    570    2646   7069   0.45609   0.14054   0.13132   4906    684    4869   2163   0.21742   0.05053   0.04928   1966    113    2240    197   0.02657   0.07544   0.07270    180     17     222     16   0.00514   0.08491   0.08146     16      2      23      1
1989    25   0.24224   0.19478   0.17750    2361    419    2152   7639   0.44222   0.14507   0.13526   4792    679    4677   2847   0.27046   0.04743   0.04633   2537    133    2802    310   0.03720   0.07012   0.06774    277     23     326     33   0.00787   0.10255   0.09754     33      4      42      3
1989    26   0.20411   0.17616   0.16190    1942    314    1785   8058   0.41665   0.14683   0.13679   4532    643    4379   3526   0.31952   0.04344   0.04252   3083    145    3327    443   0.04838   0.06609   0.06397    387     29     440     56   0.01134   0.10498   0.09974     56      7      68      7
1989    27   0.17380   0.15600   0.14471    1628    236    1510   8372   0.38663   0.14420   0.13451   4204    582    4039   4169   0.36342   0.04144   0.04060   3581    157    3791    587   0.06061   0.06214   0.06027    502     35     560     85   0.01554   0.10956   0.10387     85     11     100     14
1989    28   0.15078   0.14102   0.13173    1392    183    1301   8608   0.35587   0.13862   0.12963   3857    513    3699   4751   0.39976   0.03891   0.03817   4007    163    4180    744   0.07308   0.05491   0.05345    625     38     684    120   0.02051   0.10929   0.10363    120     15     136     25
1989    29   0.13281   0.12860   0.12083    1209    146    1136   8791   0.32850   0.12969   0.12179   3528    439    3386   5264   0.42825   0.03657   0.03592   4357    164    4493    907   0.08465   0.05098   0.04971    750     41     809    157   0.02579   0.10100   0.09614    157     18     176     40
1989    30   0.11867   0.11456   0.10835    1063    115    1005   8937   0.30676   0.11633   0.10994   3234    362    3114   5703   0.44824   0.03395   0.03338   4631    161    4732   1071   0.09565   0.04508   0.04409    873     42     931    199   0.03069   0.10153   0.09662    199     22     218     58
1989    31   0.10817   0.10444   0.09926     948     94     901   9052   0.28973   0.10053   0.09572   2987    291    2891   6065   0.46108   0.03015   0.02971   4833    148    4904   1232   0.10554   0.03994   0.03915    991     42    1044    241   0.03548   0.09312   0.08898    241     24     260     80
1989    32   0.10024   0.09112   0.08715     854     74     816   9146   0.27799   0.08493   0.08147   2791    231    2714   6356   0.46812   0.02786   0.02747   4976    140    5021   1380   0.11350   0.03597   0.03534   1098     41    1147    282   0.04015   0.09371   0.08951    282     28     302    104
1989    33   0.09464   0.07611   0.07332     779     57     751   9221   0.27112   0.06859   0.06632   2635    177    2576   6586   0.47132   0.02427   0.02398   5066    124    5093   1520   0.11906   0.03164   0.03115   1196     39    1238    323   0.04385   0.08564   0.08212    323     29     342    132
