Russian Federation, Census-based period fertility tables, birth orders 1 to 5+
Last modified: 02/10/2020
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1979    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    13   0.99998   0.00001   0.00001   10000      0   10000      0   0.00002   0.00567   0.00565      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    14   0.99981   0.00017   0.00017   10000      2    9999      0   0.00019   0.00361   0.00360      0      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    15   0.99832   0.00124   0.00124    9998     12    9992      2   0.00167   0.00240   0.00240      2      0       8      0   0.00001   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    16   0.99316   0.00591   0.00590    9986     59    9956     14   0.00657   0.00578   0.00576     14      0      44      0   0.00027   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    17   0.97742   0.02045   0.02024    9927    201    9826     73   0.02158   0.02656   0.02621     73      5     172      0   0.00099   0.00753   0.00751      0      0       1      0   0.00001   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1979    18   0.93602   0.05826   0.05661    9726    551    9451    274   0.06080   0.04118   0.04035    269     22     539      5   0.00299   0.01932   0.01913      5      0      10      0   0.00019   0.01694   0.01680      0      0       0      0   0.00000         .         .      0      0       0      0
1979    19   0.85566   0.12325   0.11610    9175   1065    8643    825   0.13501   0.05757   0.05596    798     75    1308     27   0.00870   0.03317   0.03263     27      2      49      0   0.00061   0.02210   0.02186      0      0       1      0   0.00002   0.00000   0.00000      0      0       0      0
1979    20   0.74293   0.18868   0.17241    8110   1398    7411   1890   0.23472   0.07266   0.07011   1788    176    2424    102   0.02087   0.05566   0.05415    101      9     160      2   0.00133   0.07156   0.06908      2      0       4      0   0.00016   0.04488   0.04390      0      0       0      0
1979    21   0.61656   0.22440   0.20177    6712   1354    6035   3288   0.33829   0.08474   0.08130   3010    302    3564    278   0.04182   0.05401   0.05259    268     21     383     11   0.00290   0.08030   0.07720     10      1      17      0   0.00042   0.05367   0.05226      0      0       1      0
1979    22   0.49587   0.24282   0.21653    5358   1160    4778   4642   0.42435   0.09782   0.09326   4062    436    4452    581   0.07310   0.05739   0.05579    549     42     723     31   0.00583   0.08227   0.07902     30      4      44      2   0.00086   0.07602   0.07324      2      0       3      0
1979    23   0.39450   0.22658   0.20352    4198    854    3770   5802   0.47976   0.10006   0.09529   4786    499    4985   1016   0.11353   0.05462   0.05316    943     63    1146     73   0.01047   0.09433   0.09008     68      8      90      5   0.00174   0.10533   0.10006      5      1       8      0
1979    24   0.31456   0.22181   0.19966    3343    668    3010   6657   0.50651   0.11151   0.10563   5142    580    5204   1515   0.15918   0.05186   0.05055   1379     84    1616    136   0.01655   0.10314   0.09808    122     16     151     14   0.00320   0.11955   0.11281     14      2      20      1
1979    25   0.25654   0.19768   0.17990    2676    481    2435   7324   0.50952   0.11556   0.10925   5229    599    5184   2095   0.20530   0.04741   0.04632   1876    100    2118    219   0.02330   0.10129   0.09640    190     23     224     29   0.00534   0.14923   0.13887     29      6      38      4
1979    26   0.21563   0.17512   0.16102    2194    353    2018   7806   0.49434   0.11644   0.11003   5111    583    5007   2694   0.25059   0.04251   0.04163   2375    111    2606    320   0.03116   0.09395   0.08973    268     29     305     52   0.00828   0.14466   0.13490     52      9      64      9
1979    27   0.18424   0.15760   0.14609    1841    269    1707   8159   0.46950   0.11854   0.11191   4882    562    4743   3277   0.29507   0.04122   0.04039   2847    126    3062    431   0.03957   0.08635   0.08278    350     34     393     81   0.01163   0.14972   0.13929     81     14      95     19
