Russian Federation, Cohort parity progression ratios
Last modified: 22/10/2020
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1944      0.920     0.658     0.275     0.353
1945      0.919     0.646     0.266     0.339
1946      0.949     0.650     0.262     0.328
1947      0.907     0.663     0.259     0.321
1948      0.915     0.667     0.259     0.321
1949      0.963     0.672     0.267     0.313
1950      0.936     0.682     0.273     0.314
1951      0.944     0.696     0.276     0.306
1952      0.931     0.706     0.278     0.303
1953      0.920     0.714     0.279     0.295
1954      0.934     0.717     0.278     0.286
1955      0.914     0.726     0.275     0.283
1956      0.912     0.728     0.272     0.281
1957      0.932     0.724     0.268     0.276
1958      0.936     0.713     0.265     0.273
1959      0.944     0.705     0.258     0.271
1960      0.949     0.695     0.253     0.269
1961      0.934     0.685     0.248     0.269
1962      0.919     0.673     0.243     0.268
1963      0.917     0.654     0.242     0.268
1964      0.916     0.634     0.241     0.270
1965      0.920     0.615     0.239     0.273
1966      0.921     0.596     0.241     0.271
1967      0.919     0.579     0.244     0.274
1968      0.923     0.566     0.246     0.274
