Russian Federation, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 22/10/2020
Year      sdMAB    sdMAB40
1959       6.04       5.26
1960       6.02       5.27
1961       5.99       5.29
1962       5.97       5.29
1963       5.96       5.30
1964       5.96       5.30
1965       5.94       5.31
1966       5.90       5.31
1967       5.86       5.29
1968       5.83       5.28
1969       5.77       5.26
1970       5.75       5.27
1971       5.70       5.26
1972       5.69       5.25
1973       5.68       5.25
1974       5.65       5.21
1975       5.60       5.17
1976       5.53       5.10
1977       5.48       5.07
1978       5.42       5.03
1979       5.38       5.00
1980       5.31       4.96
1981       5.29       4.96
1982       5.29       4.97
1983       5.27       4.99
1984       5.28       5.01
1985       5.29       5.03
1986       5.37       5.10
1987       5.42       5.14
1988       5.41       5.13
1989       5.37       5.10
1990       5.34       5.08
1991       5.32       5.04
1992       5.28       5.00
1993       5.18       4.92
1994       5.13       4.90
1995       5.15       4.92
1996       5.20       4.96
1997       5.24       5.01
1998       5.27       5.04
1999       5.27       5.03
2000       5.27       5.03
2001       5.30       5.06
2002       5.32       5.10
2003       5.36       5.13
2004       5.43       5.18
2005       5.47       5.22
2006       5.50       5.24
2007       5.56       5.29
2008       5.62       5.33
2009       5.64       5.33
2010       5.66       5.34
2011       5.70       5.38
2012       5.72       5.40
2013       5.75       5.42
2014       5.79       5.43
2015       5.74       5.38
2016       5.74       5.36
2017       5.78       5.38
2018       5.79       5.37
