Russian Federation, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 22/10/2020
Cohort   sdCMAB   sdCMAB40
1944       5.21       4.91
1945       5.21       4.90
1946       5.21       4.91
1947       5.22       4.94
1948       5.22       4.98
1949       5.23       5.01
1950       5.22       5.03
1951       5.19       5.03
1952       5.14       4.99
1953       5.08       4.93
1954       5.00       4.85
1955       4.90       4.75
1956       4.81       4.65
1957       4.73       4.55
1958       4.66       4.47
1959       4.62       4.41
1960       4.60       4.38
1961       4.64       4.39
1962       4.71       4.43
1963       4.81       4.51
1964       4.95       4.62
1965       5.10       4.75
1966       5.29       4.89
1967       5.48       5.04
1968       5.66       5.20
1969          .       5.34
1970          .       5.48
1971          .       5.63
1972          .       5.75
1973          .       5.84
1974          .       5.91
1975          .       5.93
1976          .       5.96
1977          .       5.94
1978          .       5.88
