Russian Federation, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 22/10/2020
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1944       5.21        3.96        4.37        4.88        4.76        4.68        4.91        3.82        4.19        4.44        4.15        3.87
1945       5.21        3.95        4.39        4.96        4.83        4.72        4.90        3.81        4.20        4.50        4.21        3.92
1946       5.21        3.95        4.37        4.98        4.86        4.66        4.91        3.80        4.18        4.54        4.27        3.90
1947       5.22        3.96        4.38        4.96        4.83        4.59        4.94        3.81        4.21        4.58        4.30        3.89
1948       5.22        3.93        4.40        4.93        4.84        4.54        4.98        3.78        4.25        4.62        4.38        3.91
1949       5.23        3.91        4.37        4.86        4.71        4.45        5.01        3.77        4.24        4.59        4.30        3.86
1950       5.22        3.92        4.36        4.75        4.61        4.35        5.03        3.79        4.25        4.52        4.24        3.81
1951       5.19        3.93        4.34        4.64        4.49        4.27        5.03        3.81        4.24        4.43        4.15        3.76
1952       5.14        3.92        4.30        4.49        4.41        4.19        4.99        3.81        4.21        4.30        4.09        3.69
1953       5.08        3.91        4.23        4.36        4.26        4.11        4.93        3.81        4.15        4.17        3.94        3.58
1954       5.00        3.91        4.14        4.25        4.14        4.08        4.85        3.81        4.05        4.04        3.77        3.51
1955       4.90        3.90        4.06        4.17        4.17        4.14        4.75        3.80        3.97        3.93        3.75        3.52
1956       4.81        3.88        3.95        4.13        4.22        4.24        4.65        3.78        3.85        3.86        3.77        3.56
1957       4.73        3.86        3.85        4.12        4.32        4.35        4.55        3.76        3.75        3.82        3.81        3.62
1958       4.66        3.83        3.78        4.17        4.43        4.51        4.47        3.72        3.66        3.83        3.90        3.73
1959       4.62        3.80        3.78        4.28        4.59        4.64        4.41        3.69        3.65        3.90        4.00        3.86
1960       4.60        3.77        3.83        4.44        4.78        4.82        4.38        3.66        3.68        4.03        4.13        4.00
1961       4.64        3.78        3.91        4.67        4.96        4.97        4.39        3.65        3.73        4.19        4.27        4.09
1962       4.71        3.79        4.04        4.90        5.13        5.08        4.43        3.66        3.84        4.37        4.41        4.20
1963       4.81        3.80        4.22        5.16        5.32        5.19        4.51        3.66        3.99        4.59        4.56        4.29
1964       4.95        3.83        4.43        5.37        5.45        5.23        4.62        3.69        4.18        4.79        4.68        4.35
1965       5.10        3.87        4.67        5.55        5.58        5.25        4.75        3.72        4.40        4.95        4.77        4.34
1966       5.29        3.94        4.92        5.71        5.66        5.26        4.89        3.77        4.60        5.06        4.78        4.28
1967       5.48        4.02        5.15        5.82        5.68        5.26        5.04        3.83        4.80        5.11        4.79        4.27
1968       5.66        4.10        5.32        5.87        5.68        5.18        5.20        3.90        4.95        5.16        4.83        4.21
1969          .           .           .           .           .           .        5.34        3.99        5.06        5.18        4.83        4.20
1970          .           .           .           .           .           .        5.48        4.10        5.14        5.18        4.80        4.14
1971          .           .           .           .           .           .        5.63        4.24        5.21        5.15        4.74        4.08
1972          .           .           .           .           .           .        5.75        4.37        5.24        5.11        4.70        4.07
1973          .           .           .           .           .           .        5.84        4.48        5.22        5.06        4.65        4.04
1974          .           .           .           .           .           .        5.91        4.58        5.19        4.98        4.58        4.00
1975          .           .           .           .           .           .        5.93        4.66        5.15        4.87        4.52        3.96
1976          .           .           .           .           .           .        5.96        4.76        5.09        4.75        4.42        3.90
1977          .           .           .           .           .           .        5.94        4.83        5.03        4.63        4.32        3.80
1978          .           .           .           .           .           .        5.88        4.81        4.95        4.53        4.25        3.78
