Russian Federation, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 22/10/2020
Cohort     CCF     CCF40
1944     1.815     1.791
1945     1.781     1.757
1946     1.836     1.811
1947     1.766     1.743
1948     1.784     1.764
1949     1.890     1.870
1950     1.854     1.837
1951     1.889     1.874
1952     1.876     1.863
1953     1.862     1.850
1954     1.887     1.876
1955     1.854     1.842
1956     1.845     1.834
1957     1.874     1.862
1958     1.863     1.850
1959     1.860     1.847
1960     1.849     1.836
1961     1.801     1.786
1962     1.753     1.737
1963     1.724     1.707
1964     1.698     1.680
1965     1.680     1.659
1966     1.660     1.636
1967     1.638     1.611
1968     1.631     1.600
1969         .     1.586
1970         .     1.570
1971         .     1.559
1972         .     1.540
1973         .     1.549
1974         .     1.570
1975         .     1.570
1976         .     1.589
1977         .     1.614
1978         .     1.631
