Russian Federation, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 22/10/2020
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1944     1.815     0.920     0.606     0.167     0.059     0.064     1.791     0.917     0.601     0.161     0.056     0.056
1945     1.781     0.919     0.594     0.158     0.054     0.057     1.757     0.916     0.588     0.152     0.050     0.050
1946     1.836     0.949     0.617     0.162     0.053     0.055     1.811     0.946     0.611     0.156     0.050     0.048
1947     1.766     0.907     0.602     0.156     0.050     0.051     1.743     0.904     0.596     0.150     0.047     0.045
1948     1.784     0.915     0.610     0.158     0.051     0.050     1.764     0.912     0.606     0.153     0.048     0.045
1949     1.890     0.963     0.647     0.173     0.054     0.053     1.870     0.960     0.643     0.168     0.052     0.048
1950     1.854     0.936     0.638     0.174     0.055     0.052     1.837     0.933     0.634     0.170     0.052     0.048
1951     1.889     0.944     0.657     0.181     0.055     0.052     1.874     0.941     0.654     0.178     0.054     0.048
1952     1.876     0.931     0.658     0.183     0.055     0.049     1.863     0.929     0.655     0.180     0.054     0.046
1953     1.862     0.920     0.657     0.183     0.054     0.047     1.850     0.918     0.654     0.181     0.053     0.044
1954     1.887     0.934     0.669     0.186     0.053     0.045     1.876     0.931     0.667     0.184     0.052     0.042
1955     1.854     0.914     0.664     0.183     0.052     0.041     1.842     0.912     0.661     0.180     0.050     0.039
1956     1.845     0.912     0.663     0.181     0.051     0.039     1.834     0.909     0.661     0.178     0.049     0.036
1957     1.874     0.932     0.675     0.181     0.050     0.037     1.862     0.929     0.672     0.178     0.048     0.034
1958     1.863     0.936     0.668     0.177     0.048     0.034     1.850     0.934     0.665     0.174     0.047     0.031
1959     1.860     0.944     0.666     0.172     0.047     0.031     1.847     0.942     0.663     0.169     0.045     0.029
1960     1.849     0.949     0.659     0.167     0.045     0.029     1.836     0.947     0.656     0.163     0.043     0.027
1961     1.801     0.934     0.639     0.159     0.043     0.027     1.786     0.931     0.636     0.154     0.040     0.025
1962     1.753     0.919     0.619     0.150     0.040     0.025     1.737     0.917     0.614     0.146     0.038     0.023
1963     1.724     0.917     0.600     0.145     0.039     0.024     1.707     0.914     0.595     0.140     0.036     0.021
1964     1.698     0.916     0.581     0.140     0.038     0.023     1.680     0.913     0.576     0.135     0.035     0.020
1965     1.680     0.920     0.565     0.135     0.037     0.022     1.659     0.917     0.560     0.129     0.034     0.019
1966     1.660     0.921     0.549     0.132     0.036     0.022     1.636     0.918     0.541     0.125     0.033     0.019
1967     1.638     0.919     0.532     0.130     0.036     0.022     1.611     0.915     0.523     0.122     0.032     0.018
1968     1.631     0.923     0.523     0.129     0.035     0.021     1.600     0.919     0.513     0.120     0.031     0.018
1969         .         .         .         .         .         .     1.586     0.921     0.500     0.117     0.030     0.017
1970         .         .         .         .         .         .     1.570     0.919     0.489     0.115     0.030     0.017
1971         .         .         .         .         .         .     1.559     0.910     0.486     0.116     0.030     0.017
1972         .         .         .         .         .         .     1.540     0.893     0.483     0.118     0.031     0.016
1973         .         .         .         .         .         .     1.549     0.889     0.488     0.122     0.032     0.017
1974         .         .         .         .         .         .     1.570     0.891     0.498     0.130     0.033     0.018
1975         .         .         .         .         .         .     1.570     0.882     0.502     0.134     0.034     0.018
1976         .         .         .         .         .         .     1.589     0.877     0.514     0.143     0.036     0.019
1977         .         .         .         .         .         .     1.614     0.876     0.527     0.152     0.039     0.020
1978         .         .         .         .         .         .     1.631     0.876     0.536     0.159     0.040     0.021
