Russian Federation, Total live births
Last modified: 22/10/2020
Year         Total
1959    2796227.99
1960    2782352.98
1961    2662135.00
1962    2482539.01
1963    2331504.99
1964    2121994.00
1965    1990519.98
1966    1957762.98
1967    1851041.00
1968    1816508.93
1969    1847592.03
1970    1903712.98
1971    1974636.99
1972    2014638.02
1973    1994621.02
1974    2079812.02
1975    2106147.03
1976    2146711.01
1977    2156724.03
1978    2179030.04
1979    2178542.00
1980    2202778.97
1981    2236608.01
1982    2328044.03
1983    2478321.98
1984    2409614.02
1985    2375147.02
1986    2485915.01
1987    2499974.04
1988    2348493.99
1989    2160558.98
1990    1988858.01
1991    1794625.98
1992    1587644.00
1993    1378982.98
1994    1408158.98
1995    1363805.97
1996    1304638.00
1997    1259942.99
1998    1283292.00
1999    1214689.05
2000    1266800.01
2001    1311603.99
2002    1396967.00
2003    1477301.03
2004    1502477.02
2005    1457376.00
2006    1479637.04
2007    1610121.96
2008    1713947.01
2009    1761686.97
2010    1788948.01
2011    1796628.98
2012    1902083.96
2013    1895822.00
2014    1913472.01
2015    1911041.98
2016    1860433.99
2017    1664615.01
2018    1579559.01
