Russian Federation, Total live births by birth order
Last modified: 22/10/2020
Year         Total            B1            B2            B3            B4           B5p
1959    2796227.99    1174008.91     782294.32     377693.05     200245.90     261985.69
1960    2782352.98    1150154.33     793627.70     382169.65     197610.26     258791.15
1961    2662135.00    1133496.82     759330.35     350853.87     179398.34     239055.51
1962    2482539.01    1044950.28     723667.03     324834.40     166162.14     222925.12
1963    2331504.99     955485.18     701644.86     309773.55     153686.47     210914.98
1964    2121994.00     875407.00     642358.78     271892.01     137374.11     194962.06
1965    1990519.98     808127.26     608239.45     255633.43     130754.86     187764.95
1966    1957762.98     805395.59     600430.19     244082.09     124153.99     183701.06
1967    1851041.00     793812.81     565242.75     216392.11     108878.22     166715.19
1968    1816508.93     813327.94     544229.11     199998.54     100470.70     158482.63
1969    1847592.03     871902.02     556033.99     188238.32      90395.63     141022.07
1970    1903712.98     970320.07     545610.44     178396.26      79989.55     129396.66
1971    1974636.99    1030756.07     573542.30     176015.82      77161.36     117161.46
1972    2014638.02    1059323.01     601788.94     170949.17      71457.05     111119.79
1973    1994621.02    1058814.18     605315.55     163269.81      65254.44     101967.00
1974    2079812.02    1118110.28     636653.40     164002.69      63699.11      97346.44
1975    2106147.03    1137516.20     658041.45     159061.22      62103.63      89424.45
1976    2146711.01    1161672.73     684583.64     158966.42      58182.72      83305.51
1977    2156724.03    1161421.05     705044.74     159014.86      55194.78      76048.54
1978    2179030.04    1181092.03     719310.76     158183.30      52122.17      68321.75
1979    2178542.00    1188251.41     720866.43     155894.05      50562.39      62967.70
1980    2202778.97    1191486.86     748754.46     157219.50      48639.51      56678.64
1981    2236608.01    1157890.37     800110.40     171452.97      51478.12      55676.18
1982    2328044.03    1142292.82     873088.62     199572.31      57269.40      55820.84
1983    2478321.98    1131721.75     988535.65     236193.87      64060.11      57810.63
1984    2409614.02    1109743.45     935107.72     243296.24      65014.97      56451.61
1985    2375147.02    1070719.05     919022.71     255958.96      70052.77      59393.49
1986    2485915.01    1052161.85     991494.45     298071.25      78861.58      65325.86
1987    2499974.04    1045559.84     995759.68     310521.05      81914.58      66218.84
1988    2348493.99    1027420.49     899326.78     280438.11      76778.15      64530.53
1989    2160558.98    1003856.49     788030.81     240862.35      68138.92      59670.40
1990    1988858.01     984537.15     680676.43     208032.58      61650.22      53961.64
1991    1794625.98     942147.49     573381.50     176189.71      54709.76      48197.45
1992    1587644.00     884649.18     475438.23     141469.62      46012.61      40074.47
1993    1378982.98     808496.03     398784.99     108917.35      34216.46      28568.19
1994    1408158.98     840039.05     401602.84     107274.25      32816.34      26426.50
1995    1363805.97     814539.77     389390.72     103393.07      31708.00      24774.46
1996    1304638.00     775334.94     375456.13      99392.29      30700.08      23754.51
1997    1259942.99     737697.36     370298.73      98609.67      30144.48      23192.77
1998    1283292.00     755127.20     376763.76      98265.81      30341.07      22794.19
1999    1214689.05     721221.96     351904.95      92448.85      27997.92      21115.28
2000    1266800.01     757367.27     368113.87      95182.17      26948.89      19187.79
2001    1311603.99     790400.35     382006.25      92927.93      27553.75      18715.68
2002    1396967.00     832327.63     414099.47     102446.82      28591.35      19501.65
2003    1477301.03     877922.62     441389.54     108933.04      29652.14      19403.64
2004    1502477.02     892221.51     452024.13     109475.14      29970.20      18785.95
2005    1457376.00     864382.24     440966.18     105792.99      28933.67      17300.92
2006    1479637.04     880026.19     448659.95     106793.41      27891.04      16266.32
2007    1610121.96     891814.43     527486.30     134673.55      35370.19      20777.43
2008    1713947.01     919834.87     577874.54     155537.34      39427.78      21272.40
2009    1761686.97     931344.46     605743.77     161231.48      41090.00      22277.22
2010    1788948.01     904471.79     644755.89     173292.20      43462.01      22966.19
2011    1796628.98     881978.83     660079.99     184828.87      45650.58      24090.74
2012    1902083.96     891824.09     715140.30     213960.24      53085.66      28073.62
2013    1895822.00     868233.24     718283.45     226114.57      55059.74      28130.90
2014    1913472.01     829028.77     750292.79     242170.10      60903.43      31076.97
2015    1911041.98     789231.41     777137.15     249634.44      63344.19      31694.93
2016    1860433.99     739574.38     764398.02     255968.24      66502.71      33990.60
2017    1664615.01     656607.74     654548.48     250969.04      67459.22      35030.45
2018    1579559.01     594763.78     613907.77     255832.04      74564.74      40490.57
