Sweden, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 14/04/2023
Year    adjTFR
1971     1.921
1972     1.918
1973     1.893
1974     1.959
1975     2.025
1976     1.948
1977     1.872
1978     1.931
1979     1.973
1980     1.917
1981     1.883
1982     1.880
1983     1.894
1984     1.878
1985     1.889
1986     1.997
1987     1.964
1988     2.021
1989     2.060
1990     2.251
1991     2.395
1992     2.358
1993     2.304
1994     2.221
1995     2.089
1996     1.929
1997     1.869
1998     1.828
1999     1.701
2000     1.839
2001     1.875
2002     1.943
2003     2.041
2004     1.978
2005     1.955
2006     2.023
2007     1.940
2008     2.016
2009     2.078
2010     2.074
2011     1.995
2012     1.980
2013     1.921
2014     1.889
2015     1.903
2016     1.958
2017     1.857
2018     1.914
2019     1.957
2020     1.898
2021     1.918
