Sweden, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 14/04/2023
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1971     1.921     0.822     0.687     0.266     0.092     0.054
1972     1.918     0.836     0.693     0.255     0.087     0.048
1973     1.893     0.846     0.676     0.250     0.084     0.037
1974     1.959     0.917     0.675     0.264     0.067     0.036
1975     2.025     0.975     0.683     0.268     0.062     0.037
1976     1.948     0.916     0.692     0.247     0.064     0.029
1977     1.872     0.868     0.705     0.222     0.056     0.022
1978     1.931     0.844     0.772     0.235     0.056     0.024
1979     1.973     0.840     0.761     0.278     0.067     0.028
1980     1.917     0.822     0.725     0.274     0.070     0.026
1981     1.883     0.801     0.711     0.276     0.070     0.025
1982     1.880     0.836     0.674     0.283     0.062     0.025
1983     1.894     0.848     0.666     0.288     0.066     0.026
1984     1.878     0.792     0.700     0.288     0.071     0.027
1985     1.889     0.771     0.708     0.307     0.078     0.025
1986     1.997     0.819     0.721     0.342     0.087     0.028
1987     1.964     0.811     0.706     0.329     0.084     0.033
1988     2.021     0.848     0.705     0.334     0.100     0.035
1989     2.060     0.883     0.700     0.340     0.102     0.035
1990     2.251     0.996     0.751     0.357     0.105     0.041
1991     2.395     1.111     0.778     0.349     0.104     0.052
1992     2.358     1.068     0.804     0.330     0.108     0.048
1993     2.304     0.966     0.830     0.340     0.114     0.053
1994     2.221     0.866     0.868     0.332     0.103     0.052
1995     2.089     0.813     0.822     0.321     0.091     0.042
1996     1.929     0.784     0.744     0.279     0.079     0.043
1997     1.869     0.788     0.701     0.261     0.076     0.043
1998     1.828     0.779     0.673     0.260     0.074     0.042
1999     1.701     0.695     0.648     0.253     0.069     0.037
2000     1.839     0.804     0.640     0.272     0.079     0.043
2001     1.875     0.868     0.644     0.254     0.074     0.036
2002     1.943     0.914     0.680     0.245     0.067     0.036
2003     2.041     0.982     0.699     0.251     0.070     0.039
2004     1.978     0.901     0.720     0.249     0.070     0.038
2005     1.955     0.868     0.730     0.253     0.075     0.031
2006     2.023     0.892     0.757     0.265     0.071     0.038
2007     1.940     0.862     0.725     0.247     0.067     0.038
2008     2.016     0.931     0.725     0.258     0.069     0.032
2009     2.078     0.962     0.758     0.260     0.063     0.037
2010     2.074     0.953     0.754     0.267     0.062     0.039
2011     1.995     0.905     0.728     0.258     0.066     0.038
2012     1.980     0.897     0.743     0.240     0.066     0.034
2013     1.921     0.871     0.714     0.240     0.063     0.033
2014     1.889     0.830     0.698     0.254     0.066     0.040
2015     1.903     0.795     0.718     0.271     0.071     0.049
2016     1.958     0.814     0.721     0.280     0.086     0.057
2017     1.857     0.784     0.661     0.282     0.083     0.046
2018     1.914     0.831     0.670     0.274     0.084     0.054
2019     1.957     0.876     0.680     0.250     0.090     0.061
2020     1.898     0.845     0.685     0.245     0.075     0.048
2021     1.918     0.824     0.698     0.260     0.082     0.054
