Sweden, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 14/04/2023
Year   Age   Cohort      ASFR
1891   12-       .    0.00000
1891   13     1878    0.00001
1891   13     1877    0.00003
1891   14     1877    0.00002
1891   14     1876    0.00002
1891   15     1876    0.00027
1891   15     1875    0.00064
1891   16     1875    0.00167
1891   16     1874    0.00256
1891   17     1874    0.00534
1891   17     1873    0.00740
1891   18     1873    0.01360
1891   18     1872    0.01790
1891   19     1872    0.02991
1891   19     1871    0.03754
1891   20     1871    0.05644
1891   20     1870    0.06575
1891   21     1870    0.07843
1891   21     1869    0.08619
1891   22     1869    0.10697
1891   22     1868    0.11520
1891   23     1868    0.12387
1891   23     1867    0.13076
1891   24     1867    0.15199
1891   24     1866    0.16025
1891   25     1866    0.17132
1891   25     1865    0.17703
1891   26     1865    0.18857
1891   26     1864    0.19283
1891   27     1864    0.19806
1891   27     1863    0.20009
1891   28     1863    0.20180
1891   28     1862    0.20412
1891   29     1862    0.21203
1891   29     1861    0.21513
1891   30     1861    0.22136
1891   30     1860    0.22101
1891   31     1860    0.21203
1891   31     1859    0.21048
1891   32     1859    0.21210
1891   32     1858    0.21126
1891   33     1858    0.20713
1891   33     1857    0.20494
1891   34     1857    0.19873
1891   34     1856    0.19811
1891   35     1856    0.20212
1891   35     1855    0.20117
1891   36     1855    0.19358
1891   36     1854    0.19186
1891   37     1854    0.19210
1891   37     1853    0.18848
1891   38     1853    0.17408
1891   38     1852    0.16998
1891   39     1852    0.16550
1891   39     1851    0.16209
1891   40     1851    0.15451
1891   40     1850    0.14785
1891   41     1850    0.12990
1891   41     1849    0.12227
1891   42     1849    0.10756
1891   42     1848    0.10074
1891   43     1848    0.08816
1891   43     1847    0.07955
1891   44     1847    0.06092
1891   44     1846    0.05283
1891   45     1846    0.03871
1891   45     1845    0.03274
1891   46     1845    0.02303
1891   46     1844    0.01839
1891   47     1844    0.01055
1891   47     1843    0.00864
1891   48     1843    0.00638
1891   48     1842    0.00473
1891   49     1842    0.00199
1891   49     1841    0.00165
1891   50     1841    0.00147
1891   50     1840    0.00049
1891   51     1840    0.00000
1891   51     1839    0.00000
1891   52     1839    0.00000
1891   52     1838    0.00000
1891   53     1838    0.00000
1891   53     1837    0.00000
1891   54     1837    0.00000
1891   54     1836    0.00000
1891   55+       .    0.00000
1892   12-       .    0.00000
1892   13     1879    0.00000
1892   13     1878    0.00000
1892   14     1878    0.00001
1892   14     1877    0.00007
1892   15     1877    0.00028
1892   15     1876    0.00045
1892   16     1876    0.00124
1892   16     1875    0.00194
1892   17     1875    0.00499
1892   17     1874    0.00741
1892   18     1874    0.01376
1892   18     1873    0.01814
1892   19     1873    0.02971
1892   19     1872    0.03677
1892   20     1872    0.05306
1892   20     1871    0.06196
1892   21     1871    0.07966
1892   21     1870    0.08873
1892   22     1870    0.10699
1892   22     1869    0.11491
1892   23     1869    0.12616
1892   23     1868    0.13224
1892   24     1868    0.14549
1892   24     1867    0.15197
1892   25     1867    0.16573
1892   25     1866    0.17060
1892   26     1866    0.17499
1892   26     1865    0.17880
1892   27     1865    0.19033
1892   27     1864    0.19431
1892   28     1864    0.19933
1892   28     1863    0.20063
1892   29     1863    0.19902
1892   29     1862    0.20073
1892   30     1862    0.21025
1892   30     1861    0.21133
1892   31     1861    0.20583
1892   31     1860    0.20559
1892   32     1860    0.21022
1892   32     1859    0.20819
1892   33     1859    0.19544
1892   33     1858    0.19258
1892   34     1858    0.19138
1892   34     1857    0.19109
1892   35     1857    0.19209
1892   35     1856    0.19147
1892   36     1856    0.18895
1892   36     1855    0.18543
1892   37     1855    0.17314
1892   37     1854    0.16969
1892   38     1854    0.16629
1892   38     1853    0.16357
1892   39     1853    0.15679
1892   39     1852    0.15243
1892   40     1852    0.14223
1892   40     1851    0.13560
1892   41     1851    0.11933
1892   41     1850    0.11308
1892   42     1850    0.10278
1892   42     1849    0.09604
1892   43     1849    0.08068
1892   43     1848    0.07349
1892   44     1848    0.05968
1892   44     1847    0.05265
1892   45     1847    0.03951
1892   45     1846    0.03306
1892   46     1846    0.02191
1892   46     1845    0.01752
1892   47     1845    0.01069
1892   47     1844    0.00845
1892   48     1844    0.00513
1892   48     1843    0.00404
1892   49     1843    0.00239
1892   49     1842    0.00170
1892   50     1842    0.00070
1892   50     1841    0.00033
1892   51     1841    0.00006
1892   51     1840    0.00002
1892   52     1840    0.00000
1892   52     1839    0.00000
1892   53     1839    0.00000
1892   53     1838    0.00000
1892   54     1838    0.00000
1892   54     1837    0.00000
1892   55+       .    0.00000
1893   12-       .    0.00000
1893   13     1880    0.00000
1893   13     1879    0.00000
1893   14     1879    0.00001
1893   14     1878    0.00004
1893   15     1878    0.00024
1893   15     1877    0.00048
1893   16     1877    0.00151
1893   16     1876    0.00241
1893   17     1876    0.00590
1893   17     1875    0.00842
1893   18     1875    0.01412
1893   18     1874    0.01809
1893   19     1874    0.03071
1893   19     1873    0.03830
1893   20     1873    0.05487
1893   20     1872    0.06344
1893   21     1872    0.07786
1893   21     1871    0.08584
1893   22     1871    0.10390
1893   22     1870    0.11279
1893   23     1870    0.13087
1893   23     1869    0.13872
1893   24     1869    0.15100
1893   24     1868    0.15597
1893   25     1868    0.16166
1893   25     1867    0.16632
1893   26     1867    0.18064
1893   26     1866    0.18566
1893   27     1866    0.19184
1893   27     1865    0.19420
1893   28     1865    0.19596
1893   28     1864    0.19845
1893   29     1864    0.20741
1893   29     1863    0.20978
1893   30     1863    0.21068
1893   30     1862    0.21084
1893   31     1862    0.20921
1893   31     1861    0.20965
1893   32     1861    0.21372
1893   32     1860    0.21277
1893   33     1860    0.20501
1893   33     1859    0.20241
1893   34     1859    0.19805
1893   34     1858    0.19648
1893   35     1858    0.19451
1893   35     1857    0.19315
1893   36     1857    0.18979
1893   36     1856    0.18767
1893   37     1856    0.18256
1893   37     1855    0.17899
1893   38     1855    0.16905
1893   38     1854    0.16583
1893   39     1854    0.16183
1893   39     1853    0.15798
1893   40     1853    0.14785
1893   40     1852    0.14075
1893   41     1852    0.12265
1893   41     1851    0.11604
1893   42     1851    0.10554
1893   42     1850    0.09878
1893   43     1850    0.08438
1893   43     1849    0.07549
1893   44     1849    0.05636
1893   44     1848    0.04957
1893   45     1848    0.03890
1893   45     1847    0.03279
1893   46     1847    0.02166
1893   46     1846    0.01725
1893   47     1846    0.01045
1893   47     1845    0.00822
1893   48     1845    0.00502
1893   48     1844    0.00388
1893   49     1844    0.00216
1893   49     1843    0.00163
1893   50     1843    0.00092
1893   50     1842    0.00044
1893   51     1842    0.00005
1893   51     1841    0.00004
1893   52     1841    0.00006
1893   52     1840    0.00002
1893   53     1840    0.00000
1893   53     1839    0.00000
1893   54     1839    0.00000
1893   54     1838    0.00000
1893   55+       .    0.00000
1894   12-       .    0.00000
1894   13     1881    0.00000
1894   13     1880    0.00000
1894   14     1880    0.00000
1894   14     1879    0.00000
1894   15     1879    0.00006
1894   15     1878    0.00037
1894   16     1878    0.00116
1894   16     1877    0.00175
1894   17     1877    0.00496
1894   17     1876    0.00746
1894   18     1876    0.01474
1894   18     1875    0.01962
1894   19     1875    0.03150
1894   19     1874    0.03829
1894   20     1874    0.05210
1894   20     1873    0.05997
1894   21     1873    0.07844
1894   21     1872    0.08776
1894   22     1872    0.10547
1894   22     1871    0.11468
1894   23     1871    0.13410
1894   23     1870    0.14232
1894   24     1870    0.15449
1894   24     1869    0.15971
1894   25     1869    0.16744
1894   25     1868    0.17093
1894   26     1868    0.17677
1894   26     1867    0.17996
1894   27     1867    0.18720
1894   27     1866    0.19018
1894   28     1866    0.19477
1894   28     1865    0.19763
1894   29     1865    0.20485
1894   29     1864    0.20729
1894   30     1864    0.21069
1894   30     1863    0.21009
1894   31     1863    0.20259
1894   31     1862    0.20228
1894   32     1862    0.20818
1894   32     1861    0.20858
1894   33     1861    0.20540
1894   33     1860    0.20359
1894   34     1860    0.19873
1894   34     1859    0.19607
1894   35     1859    0.18953
1894   35     1858    0.18729
1894   36     1858    0.18423
1894   36     1857    0.18247
1894   37     1857    0.17840
1894   37     1856    0.17631
1894   38     1856    0.17207
1894   38     1855    0.16848
1894   39     1855    0.15765
1894   39     1854    0.15451
1894   40     1854    0.15236
1894   40     1853    0.14603
1894   41     1853    0.12555
1894   41     1852    0.11786
1894   42     1852    0.10491
1894   42     1851    0.09735
1894   43     1851    0.08124
1894   43     1850    0.07403
1894   44     1850    0.06067
1894   44     1849    0.05364
1894   45     1849    0.04044
1894   45     1848    0.03308
1894   46     1848    0.01983
1894   46     1847    0.01606
1894   47     1847    0.01105
1894   47     1846    0.00858
1894   48     1846    0.00467
1894   48     1845    0.00365
1894   49     1845    0.00222
1894   49     1844    0.00181
1894   50     1844    0.00122
1894   50     1843    0.00040
1894   51     1843    0.00000
1894   51     1842    0.00000
1894   52     1842    0.00000
1894   52     1841    0.00000
1894   53     1841    0.00000
1894   53     1840    0.00000
1894   54     1840    0.00000
1894   54     1839    0.00000
1894   55+       .    0.00000
1895   12-       .    0.00000
1895   13     1882    0.00001
1895   13     1881    0.00004
1895   14     1881    0.00010
1895   14     1880    0.00015
1895   15     1880    0.00043
1895   15     1879    0.00068
1895   16     1879    0.00170
1895   16     1878    0.00259
1895   17     1878    0.00597
1895   17     1877    0.00859
1895   18     1877    0.01558
1895   18     1876    0.02045
1895   19     1876    0.03414
1895   19     1875    0.04216
1895   20     1875    0.05809
1895   20     1874    0.06644
1895   21     1874    0.08169
1895   21     1873    0.09018
1895   22     1873    0.11011
1895   22     1872    0.11954
1895   23     1872    0.13698
1895   23     1871    0.14445
1895   24     1871    0.15493
1895   24     1870    0.16077
1895   25     1870    0.17470
1895   25     1869    0.17926
1895   26     1869    0.18249
1895   26     1868    0.18538
1895   27     1868    0.19326
1895   27     1867    0.19718
1895   28     1867    0.20650
1895   28     1866    0.20848
1895   29     1866    0.20612
1895   29     1865    0.20667
1895   30     1865    0.21034
1895   30     1864    0.21168
1895   31     1864    0.21462
1895   31     1863    0.21379
1895   32     1863    0.20685
1895   32     1862    0.20514
1895   33     1862    0.20417
1895   33     1861    0.20315
1895   34     1861    0.20004
1895   34     1860    0.19926
1895   35     1860    0.19956
1895   35     1859    0.19743
1895   36     1859    0.18872
1895   36     1858    0.18533
1895   37     1858    0.17917
1895   37     1857    0.17581
1895   38     1857    0.16819
1895   38     1856    0.16477
1895   39     1856    0.15799
1895   39     1855    0.15445
1895   40     1855    0.14726
1895   40     1854    0.14180
1895   41     1854    0.12784
1895   41     1853    0.12041
1895   42     1853    0.10404
1895   42     1852    0.09671
1895   43     1852    0.08315
1895   43     1851    0.07514
1895   44     1851    0.05863
1895   44     1850    0.05072
1895   45     1850    0.03647
1895   45     1849    0.02992
1895   46     1849    0.01866
1895   46     1848    0.01504
1895   47     1848    0.00995
1895   47     1847    0.00709
