Sweden, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 14/04/2023
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1970   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   13     1957    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   13     1956    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   14     1956    0.00030     0.00030     0.00000     0.00000     0.00000     0.00000
1970   14     1955    0.00039     0.00039     0.00000     0.00000     0.00000     0.00000
1970   15     1955    0.00167     0.00167     0.00000     0.00000     0.00000     0.00000
1970   15     1954    0.00380     0.00380     0.00000     0.00000     0.00000     0.00000
1970   16     1954    0.00944     0.00926     0.00019     0.00000     0.00000     0.00000
1970   16     1953    0.01649     0.01626     0.00023     0.00000     0.00000     0.00000
1970   17     1953    0.02516     0.02469     0.00047     0.00000     0.00000     0.00000
1970   17     1952    0.03492     0.03364     0.00125     0.00004     0.00000     0.00000
1970   18     1952    0.04513     0.04197     0.00306     0.00011     0.00000     0.00000
1970   18     1951    0.05638     0.05144     0.00483     0.00008     0.00004     0.00000
1970   19     1951    0.06402     0.05475     0.00882     0.00045     0.00000     0.00000
1970   19     1950    0.07618     0.06172     0.01348     0.00098     0.00000     0.00000
1970   20     1950    0.08357     0.06440     0.01780     0.00134     0.00003     0.00000
1970   20     1949    0.09544     0.06713     0.02638     0.00189     0.00003     0.00000
1970   21     1949    0.10191     0.06697     0.03216     0.00268     0.00009     0.00000
1970   21     1948    0.11271     0.06657     0.04076     0.00499     0.00032     0.00006
1970   22     1948    0.11841     0.06822     0.04340     0.00605     0.00065     0.00009
1970   22     1947    0.12845     0.07218     0.04730     0.00795     0.00092     0.00010
1970   23     1947    0.12875     0.07148     0.04741     0.00873     0.00090     0.00023
1970   23     1946    0.14447     0.07497     0.05660     0.01106     0.00160     0.00025
1970   24     1946    0.13587     0.06831     0.05127     0.01380     0.00198     0.00052
1970   24     1945    0.14607     0.06978     0.05968     0.01383     0.00226     0.00052
1970   25     1945    0.13415     0.06417     0.05315     0.01375     0.00262     0.00047
1970   25     1944    0.15098     0.06606     0.06305     0.01783     0.00347     0.00058
1970   26     1944    0.13587     0.05561     0.05781     0.01759     0.00381     0.00104
1970   26     1943    0.14589     0.05735     0.06219     0.02074     0.00451     0.00110
1970   27     1943    0.13112     0.04709     0.05832     0.02022     0.00442     0.00107
1970   27     1942    0.13425     0.04383     0.06269     0.02091     0.00494     0.00187
1970   28     1942    0.11734     0.03485     0.05353     0.02185     0.00519     0.00192
1970   28     1941    0.12061     0.03272     0.05714     0.02325     0.00509     0.00241
1970   29     1941    0.10406     0.02642     0.04777     0.02175     0.00638     0.00174
1970   29     1940    0.10570     0.02488     0.04613     0.02450     0.00711     0.00308
1970   30     1940    0.09632     0.02181     0.04202     0.02284     0.00718     0.00247
1970   30     1939    0.09366     0.01926     0.03979     0.02538     0.00669     0.00255
1970   31     1939    0.07628     0.01524     0.03183     0.01963     0.00614     0.00344
1970   31     1938    0.08031     0.01338     0.03218     0.02344     0.00780     0.00350
1970   32     1938    0.06783     0.01164     0.02579     0.02005     0.00734     0.00301
1970   32     1937    0.06930     0.01128     0.02578     0.02051     0.00816     0.00357
1970   33     1937    0.05363     0.00815     0.01865     0.01753     0.00630     0.00300
1970   33     1936    0.05750     0.00885     0.01860     0.01815     0.00798     0.00392
1970   34     1936    0.04817     0.00683     0.01529     0.01642     0.00661     0.00302
1970   34     1935    0.04952     0.00665     0.01491     0.01719     0.00641     0.00437
1970   35     1935    0.03903     0.00653     0.01133     0.01106     0.00576     0.00435
1970   35     1934    0.04078     0.00555     0.01091     0.01313     0.00583     0.00536
1970   36     1934    0.03379     0.00476     0.00896     0.00974     0.00640     0.00393
1970   36     1933    0.03452     0.00552     0.00816     0.01085     0.00591     0.00408
1970   37     1933    0.02673     0.00357     0.00792     0.00755     0.00417     0.00352
1970   37     1932    0.02640     0.00381     0.00588     0.00776     0.00496     0.00399
1970   38     1932    0.02148     0.00253     0.00545     0.00606     0.00427     0.00318
1970   38     1931    0.02142     0.00280     0.00454     0.00619     0.00312     0.00477
1970   39     1931    0.01727     0.00227     0.00326     0.00450     0.00313     0.00411
1970   39     1930    0.01480     0.00201     0.00332     0.00415     0.00214     0.00319
1970   40     1930    0.01124     0.00166     0.00221     0.00311     0.00187     0.00238
1970   40     1929    0.01222     0.00153     0.00256     0.00350     0.00184     0.00279
1970   41     1929    0.00921     0.00081     0.00210     0.00223     0.00167     0.00240
1970   41     1928    0.00748     0.00090     0.00133     0.00163     0.00142     0.00219
1970   42     1928    0.00601     0.00082     0.00124     0.00124     0.00095     0.00177
1970   42     1927    0.00535     0.00076     0.00125     0.00120     0.00098     0.00116
1970   43     1927    0.00337     0.00029     0.00066     0.00078     0.00062     0.00103
1970   43     1926    0.00334     0.00025     0.00084     0.00059     0.00051     0.00114
1970   44     1926    0.00190     0.00020     0.00045     0.00036     0.00028     0.00061
1970   44     1925    0.00200     0.00024     0.00024     0.00029     0.00049     0.00073
1970   45     1925    0.00086     0.00000     0.00008     0.00012     0.00024     0.00043
1970   45     1924    0.00133     0.00024     0.00020     0.00012     0.00036     0.00040
1970   46     1924    0.00069     0.00011     0.00023     0.00011     0.00000     0.00023
1970   46     1923    0.00035     0.00004     0.00012     0.00008     0.00000     0.00012
1970   47     1923    0.00023     0.00004     0.00011     0.00008     0.00000     0.00000
1970   47     1922    0.00024     0.00000     0.00004     0.00004     0.00012     0.00004
1970   48     1922    0.00014     0.00007     0.00000     0.00000     0.00007     0.00000
1970   48     1921    0.00014     0.00000     0.00000     0.00000     0.00007     0.00007
1970   49     1921    0.00003     0.00003     0.00000     0.00000     0.00000     0.00000
1970   49     1920    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   50     1920    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   50     1919    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   51     1919    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   51     1918    0.00004     0.00000     0.00000     0.00004     0.00000     0.00000
1970   52     1918    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   52     1917    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   53     1917    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   53     1916    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   54     1916    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   54     1915    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970   55+       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971   12-       .    0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1971   13     1958    0.00008     0.00008     0.00000     0.00000     0.00000     0.00000
1971   13     1957    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971   14     1957    0.00022     0.00022     0.00000     0.00000     0.00000     0.00000
1971   14     1956    0.00086     0.00086     0.00000     0.00000     0.00000     0.00000
1971   15     1956    0.00182     0.00182     0.00000     0.00000     0.00000     0.00000
1971   15     1955    0.00325     0.00321     0.00004     0.00000     0.00000     0.00000
1971   16     1955    0.00846     0.00838     0.00007     0.00000     0.00000     0.00000
1971   16     1954    0.01666     0.01642     0.00024     0.00000     0.00000     0.00000
