Sweden, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 14/04/2023
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1970     12-    1958+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     13     1957      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     14     1956      0.00015     0.00015     0.00000     0.00000     0.00000     0.00000
1970     15     1955      0.00105     0.00105     0.00000     0.00000     0.00000     0.00000
1970     16     1954      0.00674     0.00664     0.00010     0.00000     0.00000     0.00000
1970     17     1953      0.02099     0.02063     0.00035     0.00000     0.00000     0.00000
1970     18     1952      0.04018     0.03793     0.00218     0.00007     0.00000     0.00000
1970     19     1951      0.06038     0.05317     0.00692     0.00027     0.00002     0.00000
1970     20     1950      0.08005     0.06313     0.01574     0.00117     0.00002     0.00000
1970     21     1949      0.09882     0.06705     0.02940     0.00231     0.00006     0.00000
1970     22     1948      0.11567     0.06743     0.04213     0.00554     0.00049     0.00008
1970     23     1947      0.12861     0.07181     0.04736     0.00836     0.00091     0.00017
1970     24     1946      0.14002     0.07152     0.05384     0.01248     0.00179     0.00039
1970     25     1945      0.13996     0.06690     0.05633     0.01379     0.00244     0.00049
1970     26     1944      0.14331     0.06075     0.06039     0.01771     0.00364     0.00082
1970     27     1943      0.13840     0.05215     0.06023     0.02048     0.00446     0.00109
1970     28     1942      0.12574     0.03931     0.05808     0.02138     0.00507     0.00189
1970     29     1941      0.11242     0.02960     0.05250     0.02251     0.00572     0.00208
1970     30     1940      0.10084     0.02329     0.04400     0.02364     0.00714     0.00277
1970     31     1939      0.08481     0.01721     0.03573     0.02245     0.00641     0.00300
1970     32     1938      0.07397     0.01250     0.02893     0.02172     0.00757     0.00325
1970     33     1937      0.06131     0.00968     0.02214     0.01900     0.00721     0.00328
1970     34     1936      0.05271     0.00781     0.01690     0.01726     0.00728     0.00346
1970     35     1935      0.04416     0.00659     0.01308     0.01405     0.00608     0.00436
1970     36     1934      0.03722     0.00514     0.00992     0.01141     0.00612     0.00463
1970     37     1933      0.03056     0.00453     0.00804     0.00917     0.00502     0.00380
1970     38     1932      0.02388     0.00315     0.00566     0.00689     0.00461     0.00358
1970     39     1931      0.01927     0.00253     0.00388     0.00532     0.00312     0.00443
1970     40     1930      0.01300     0.00183     0.00276     0.00362     0.00200     0.00278
1970     41     1929      0.01068     0.00116     0.00232     0.00285     0.00175     0.00259
1970     42     1928      0.00673     0.00086     0.00128     0.00143     0.00118     0.00198
1970     43     1927      0.00432     0.00051     0.00094     0.00098     0.00079     0.00109
1970     44     1926      0.00261     0.00023     0.00064     0.00048     0.00039     0.00087
1970     45     1925      0.00142     0.00012     0.00016     0.00020     0.00036     0.00058
1970     46     1924      0.00100     0.00018     0.00022     0.00012     0.00018     0.00031
1970     47     1923      0.00029     0.00004     0.00012     0.00008     0.00000     0.00006
1970     48     1922      0.00019     0.00004     0.00002     0.00002     0.00009     0.00002
1970     49     1921      0.00009     0.00002     0.00000     0.00000     0.00004     0.00004
1970     50     1920      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     51     1919      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     52     1918      0.00002     0.00000     0.00000     0.00002     0.00000     0.00000
1970     53     1917      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     54     1916      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1970     55+    1915-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     12-    1959+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     13     1958      0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
1971     14     1957      0.00011     0.00011     0.00000     0.00000     0.00000     0.00000
1971     15     1956      0.00136     0.00136     0.00000     0.00000     0.00000     0.00000
1971     16     1955      0.00593     0.00587     0.00006     0.00000     0.00000     0.00000
1971     17     1954      0.02086     0.02036     0.00050     0.00000     0.00000     0.00000
1971     18     1953      0.04062     0.03854     0.00206     0.00002     0.00000     0.00000
1971     19     1952      0.06277     0.05621     0.00617     0.00034     0.00004     0.00000
1971     20     1951      0.08412     0.06752     0.01583     0.00077     0.00000     0.00000
1971     21     1950      0.10421     0.07391     0.02801     0.00210     0.00019     0.00000
1971     22     1949      0.12065     0.07586     0.03966     0.00460     0.00049     0.00003
1971     23     1948      0.13475     0.07646     0.04934     0.00809     0.00085     0.00002
1971     24     1947      0.14376     0.07558     0.05500     0.01142     0.00155     0.00021
1971     25     1946      0.14847     0.07136     0.05926     0.01513     0.00212     0.00059
1971     26     1945      0.14835     0.06517     0.06157     0.01740     0.00335     0.00086
1971     27     1944      0.13790     0.05118     0.06104     0.02029     0.00427     0.00113
1971     28     1943      0.12845     0.04078     0.05861     0.02187     0.00580     0.00139
1971     29     1942      0.11530     0.03208     0.05259     0.02376     0.00512     0.00175
1971     30     1941      0.10266     0.02376     0.04665     0.02376     0.00640     0.00209
1971     31     1940      0.08753     0.01853     0.03595     0.02316     0.00681     0.00308
1971     32     1939      0.07344     0.01316     0.02800     0.02230     0.00702     0.00296
1971     33     1938      0.06353     0.01101     0.02344     0.01913     0.00651     0.00343
1971     34     1937      0.05255     0.00895     0.01699     0.01611     0.00620     0.00430
1971     35     1936      0.04331     0.00724     0.01291     0.01349     0.00596     0.00370
1971     36     1935      0.03517     0.00445     0.00979     0.01109     0.00595     0.00389
1971     37     1934      0.02902     0.00381     0.00730     0.00886     0.00518     0.00386
1971     38     1933      0.02165     0.00247     0.00535     0.00601     0.00417     0.00365
1971     39     1932      0.01783     0.00219     0.00445     0.00451     0.00366     0.00302
1971     40     1931      0.01301     0.00168     0.00285     0.00352     0.00266     0.00230
1971     41     1930      0.00952     0.00136     0.00211     0.00213     0.00175     0.00218
1971     42     1929      0.00607     0.00083     0.00121     0.00127     0.00125     0.00151
1971     43     1928      0.00431     0.00053     0.00067     0.00095     0.00080     0.00137
1971     44     1927      0.00267     0.00032     0.00028     0.00068     0.00051     0.00088
1971     45     1926      0.00139     0.00023     0.00027     0.00021     0.00025     0.00043
1971     46     1925      0.00050     0.00006     0.00002     0.00008     0.00012     0.00022
1971     47     1924      0.00022     0.00000     0.00004     0.00000     0.00010     0.00008
1971     48     1923      0.00012     0.00000     0.00002     0.00006     0.00002     0.00002
1971     49     1922      0.00006     0.00000     0.00000     0.00000     0.00004     0.00002
1971     50     1921      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     51     1920      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     52     1919      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     53     1918      0.00002     0.00000     0.00000     0.00000     0.00002     0.00000
1971     54     1917      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1971     55+    1916-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     12-    1960+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     13     1959      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1972     14     1958      0.00012     0.00012     0.00000     0.00000     0.00000     0.00000
1972     15     1957      0.00089     0.00089     0.00000     0.00000     0.00000     0.00000
1972     16     1956      0.00610     0.00597     0.00013     0.00000     0.00000     0.00000
1972     17     1955      0.02034     0.01977     0.00057     0.00000     0.00000     0.00000
1972     18     1954      0.03915     0.03708     0.00196     0.00012     0.00000     0.00000
1972     19     1953      0.06085     0.05446     0.00619     0.00020     0.00000     0.00000
1972     20     1952      0.08208     0.06669     0.01438     0.00096     0.00005     0.00000
1972     21     1951      0.10190     0.07419     0.02573     0.00180     0.00016     0.00002
1972     22     1950      0.12058     0.07800     0.03791     0.00429     0.00034     0.00003
1972     23     1949      0.13349     0.07698     0.04793     0.00794     0.00054     0.00010
1972     24     1948      0.14129     0.07581     0.05283     0.01113     0.00131     0.00020
1972     25     1947      0.14737     0.07119     0.05928     0.01448     0.00205     0.00038
1972     26     1946      0.14334     0.06088     0.06187     0.01720     0.00292     0.00047
1972     27     1945      0.13860     0.05188     0.06291     0.01930     0.00349     0.00101
1972     28     1944      0.12661     0.04059     0.05869     0.02132     0.00471     0.00130
1972     29     1943      0.11341     0.03077     0.05279     0.02292     0.00530     0.00163
1972     30     1942      0.10179     0.02369     0.04556     0.02454     0.00615     0.00185
1972     31     1941      0.08473     0.01797     0.03537     0.02237     0.00683     0.00218
1972     32     1940      0.07317     0.01350     0.02895     0.02081     0.00686     0.00304
1972     33     1939      0.05928     0.01031     0.02129     0.01814     0.00625     0.00329
1972     34     1938      0.04847     0.00846     0.01675     0.01415     0.00594     0.00317
1972     35     1937      0.04003     0.00569     0.01275     0.01304     0.00591     0.00265
1972     36     1936      0.03193     0.00471     0.00902     0.00966     0.00500     0.00355
1972     37     1935      0.02630     0.00355     0.00770     0.00765     0.00427     0.00313
1972     38     1934      0.02198     0.00273     0.00552     0.00646     0.00387     0.00340
1972     39     1933      0.01571     0.00231     0.00354     0.00434     0.00314     0.00238
1972     40     1932      0.01202     0.00177     0.00257     0.00309     0.00215     0.00244
1972     41     1931      0.00860     0.00104     0.00157     0.00215     0.00153     0.00231
1972     42     1930      0.00589     0.00058     0.00117     0.00136     0.00104     0.00175
1972     43     1929      0.00395     0.00044     0.00075     0.00077     0.00077     0.00123
1972     44     1928      0.00190     0.00023     0.00027     0.00040     0.00040     0.00059
1972     45     1927      0.00103     0.00015     0.00009     0.00026     0.00009     0.00045
1972     46     1926      0.00050     0.00006     0.00002     0.00010     0.00012     0.00019
1972     47     1925      0.00020     0.00002     0.00002     0.00004     0.00004     0.00008
1972     48     1924      0.00016     0.00002     0.00002     0.00002     0.00000     0.00010
1972     49     1923      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     50     1922      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     51     1921      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     52     1920      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     53     1919      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     54     1918      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1972     55+    1917-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     12-    1961+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     13     1960      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1973     14     1959      0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
1973     15     1958      0.00101     0.00101     0.00000     0.00000     0.00000     0.00000
1973     16     1957      0.00524     0.00520     0.00004     0.00000     0.00000     0.00000
1973     17     1956      0.01863     0.01829     0.00034     0.00000     0.00000     0.00000
1973     18     1955      0.03700     0.03498     0.00198     0.00004     0.00000     0.00000
1973     19     1954      0.05602     0.04991     0.00592     0.00019     0.00000     0.00000
1973     20     1953      0.08082     0.06562     0.01449     0.00071     0.00000     0.00000
1973     21     1952      0.10182     0.07691     0.02312     0.00168     0.00009     0.00002
1973     22     1951      0.11749     0.07709     0.03626     0.00387     0.00025     0.00002
1973     23     1950      0.13073     0.07821     0.04488     0.00707     0.00049     0.00007
1973     24     1949      0.14077     0.07654     0.05234     0.01049     0.00125     0.00014
1973     25     1948      0.14100     0.06911     0.05636     0.01343     0.00187     0.00023
1973     26     1947      0.14341     0.06274     0.06068     0.01678     0.00279     0.00041
1973     27     1946      0.13567     0.05039     0.06094     0.01978     0.00377     0.00079
1973     28     1945      0.12476     0.03967     0.05907     0.02098     0.00376     0.00127
1973     29     1944      0.11466     0.03195     0.05271     0.02351     0.00514     0.00135
1973     30     1943      0.09829     0.02402     0.04433     0.02318     0.00514     0.00163
1973     31     1942      0.08445     0.01810     0.03676     0.02233     0.00546     0.00180
1973     32     1941      0.06931     0.01302     0.02665     0.02063     0.00609     0.00292
1973     33     1940      0.05764     0.00984     0.02104     0.01753     0.00593     0.00331
1973     34     1939      0.04917     0.00750     0.01657     0.01582     0.00642     0.00286
1973     35     1938      0.03962     0.00623     0.01297     0.01173     0.00543     0.00326
1973     36     1937      0.03252     0.00456     0.00941     0.00965     0.00553     0.00336
1973     37     1936      0.02385     0.00396     0.00677     0.00628     0.00399     0.00285
1973     38     1935      0.01989     0.00265     0.00547     0.00561     0.00330     0.00286
1973     39     1934      0.01442     0.00178     0.00334     0.00360     0.00320     0.00250
1973     40     1933      0.01062     0.00128     0.00248     0.00296     0.00215     0.00175
1973     41     1932      0.00718     0.00081     0.00139     0.00148     0.00148     0.00202
1973     42     1931      0.00465     0.00036     0.00089     0.00093     0.00104     0.00142
1973     43     1930      0.00292     0.00035     0.00043     0.00061     0.00074     0.00080
1973     44     1929      0.00200     0.00011     0.00033     0.00046     0.00051     0.00059
1973     45     1928      0.00101     0.00008     0.00013     0.00017     0.00015     0.00049
1973     46     1927      0.00064     0.00015     0.00004     0.00011     0.00024     0.00011
1973     47     1926      0.00035     0.00002     0.00000     0.00008     0.00006     0.00019
1973     48     1925      0.00014     0.00000     0.00000     0.00004     0.00002     0.00008
1973     49     1924      0.00004     0.00002     0.00000     0.00000     0.00000     0.00002
1973     50     1923      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     51     1922      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     52     1921      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     53     1920      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     54     1919      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1973     55+    1918-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     12-    1962+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     13     1961      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     14     1960      0.00012     0.00012     0.00000     0.00000     0.00000     0.00000
1974     15     1959      0.00066     0.00065     0.00002     0.00000     0.00000     0.00000
1974     16     1958      0.00472     0.00465     0.00008     0.00000     0.00000     0.00000
1974     17     1957      0.01690     0.01658     0.00032     0.00000     0.00000     0.00000
1974     18     1956      0.03568     0.03378     0.00188     0.00002     0.00000     0.00000
1974     19     1955      0.06077     0.05447     0.00607     0.00023     0.00000     0.00000
1974     20     1954      0.08448     0.06957     0.01411     0.00074     0.00006     0.00000
1974     21     1953      0.10161     0.07570     0.02384     0.00195     0.00013     0.00000
1974     22     1952      0.11912     0.07938     0.03609     0.00334     0.00027     0.00004
1974     23     1951      0.13279     0.07926     0.04646     0.00631     0.00069     0.00007
1974     24     1950      0.14072     0.07527     0.05426     0.01006     0.00095     0.00017
1974     25     1949      0.14389     0.07016     0.05857     0.01335     0.00167     0.00014
1974     26     1948      0.14306     0.06145     0.06161     0.01736     0.00227     0.00037
1974     27     1947      0.13670     0.04949     0.06409     0.01934     0.00322     0.00056
1974     28     1946      0.12577     0.03903     0.06078     0.02093     0.00393     0.00110
1974     29     1945      0.11222     0.03022     0.05391     0.02246     0.00439     0.00125
1974     30     1944      0.09792     0.02330     0.04583     0.02183     0.00518     0.00177
1974     31     1943      0.08507     0.01738     0.03798     0.02199     0.00565     0.00207
1974     32     1942      0.07055     0.01472     0.02857     0.01955     0.00577     0.00195
1974     33     1941      0.05895     0.00996     0.02307     0.01740     0.00569     0.00283
1974     34     1940      0.04789     0.00782     0.01671     0.01498     0.00588     0.00250
1974     35     1939      0.03826     0.00642     0.01271     0.01129     0.00546     0.00238
1974     36     1938      0.03131     0.00489     0.00961     0.00947     0.00420     0.00314
1974     37     1937      0.02354     0.00360     0.00653     0.00684     0.00391     0.00266
1974     38     1936      0.01963     0.00317     0.00560     0.00498     0.00355     0.00234
1974     39     1935      0.01445     0.00249     0.00315     0.00345     0.00301     0.00235
1974     40     1934      0.01098     0.00166     0.00250     0.00272     0.00187     0.00222
1974     41     1933      0.00775     0.00116     0.00171     0.00173     0.00149     0.00166
1974     42     1932      0.00460     0.00052     0.00094     0.00094     0.00090     0.00130
1974     43     1931      0.00265     0.00056     0.00040     0.00047     0.00053     0.00069
1974     44     1930      0.00167     0.00015     0.00026     0.00033     0.00046     0.00048
1974     45     1929      0.00084     0.00011     0.00022     0.00018     0.00018     0.00015
1974     46     1928      0.00042     0.00002     0.00011     0.00006     0.00013     0.00011
1974     47     1927      0.00022     0.00000     0.00006     0.00002     0.00006     0.00006
1974     48     1926      0.00002     0.00000     0.00000     0.00000     0.00000     0.00002
1974     49     1925      0.00002     0.00000     0.00000     0.00000     0.00002     0.00000
1974     50     1924      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     51     1923      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     52     1922      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     53     1921      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     54     1920      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1974     55+    1919-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1975     12-    1963+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1975     13     1962      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1975     14     1961      0.00014     0.00014     0.00000     0.00000     0.00000     0.00000
1975     15     1960      0.00071     0.00071     0.00000     0.00000     0.00000     0.00000
1975     16     1959      0.00463     0.00457     0.00004     0.00002     0.00000     0.00000
1975     17     1958      0.01436     0.01387     0.00043     0.00006     0.00000     0.00000
1975     18     1957      0.03140     0.02987     0.00149     0.00004     0.00000     0.00000
1975     19     1956      0.05498     0.04938     0.00544     0.00015     0.00000     0.00000
1975     20     1955      0.07563     0.06252     0.01255     0.00052     0.00004     0.00000
1975     21     1954      0.09422     0.06898     0.02371     0.00147     0.00006     0.00000
1975     22     1953      0.11211     0.07344     0.03558     0.00293     0.00016     0.00000
1975     23     1952      0.12526     0.07535     0.04381     0.00561     0.00046     0.00002
1975     24     1951      0.13012     0.07144     0.04947     0.00813     0.00094     0.00014
1975     25     1950      0.14301     0.06942     0.06010     0.01193     0.00141     0.00015
1975     26     1949      0.13892     0.06170     0.05938     0.01513     0.00219     0.00053
1975     27     1948      0.12964     0.04913     0.06017     0.01728     0.00264     0.00043
