Sweden, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 14/04/2023
Year    Age        Total          B1          B2          B3          B4         B5p
1970     12-        0.00        0.00        0.00        0.00        0.00        0.00
1970     13         0.00        0.00        0.00        0.00        0.00        0.00
1970     14        18.00       18.00        0.00        0.00        0.00        0.00
1970     15       139.00      139.00        0.00        0.00        0.00        0.00
1970     16       681.00      670.00       11.00        0.00        0.00        0.00
1970     17      1626.00     1579.00       46.00        1.00        0.00        0.00
1970     18      2751.00     2532.00      213.00        5.00        1.00        0.00
1970     19      3958.00     3290.00      628.00       40.00        0.00        0.00
1970     20      5372.00     3950.00     1323.00       97.00        2.00        0.00
1970     21      6825.00     4251.00     2316.00      243.00       13.00        2.00
1970     22      8049.00     4580.00     2957.00      455.00       51.00        6.00
1970     23      9158.00     4914.00     3483.00      662.00       83.00       16.00
1970     24      9521.00     4667.00     3742.00      934.00      143.00       35.00
1970     25      9535.00     4360.00     3883.00     1054.00      203.00       35.00
1970     26      9059.00     3635.00     3858.00     1230.00      267.00       69.00
1970     27      7958.00     2734.00     3624.00     1233.00      280.00       87.00
1970     28      6474.00     1843.00     3008.00     1226.00      280.00      117.00
1970     29      5095.00     1248.00     2283.00     1121.00      327.00      116.00
1970     30      4697.00     1016.00     2023.00     1191.00      343.00      124.00
1970     31      3811.00      699.00     1559.00     1046.00      338.00      169.00
1970     32      3198.00      535.00     1203.00      946.00      361.00      153.00
1970     33      2512.00      384.00      843.00      807.00      322.00      156.00
1970     34      2158.00      298.00      668.00      742.00      288.00      162.00
1970     35      1721.00      261.00      480.00      521.00      250.00      209.00
1970     36      1458.00      219.00      366.00      439.00      263.00      171.00
1970     37      1152.00      160.00      299.00      332.00      198.00      163.00
1970     38       960.00      119.00      224.00      274.00      166.00      177.00
1970     39       742.00       99.00      152.00      200.00      122.00      169.00
1970     40       536.00       73.00      109.00      151.00       85.00      118.00
1970     41       389.00       40.00       80.00       90.00       72.00      107.00
1970     42       266.00       37.00       58.00       57.00       45.00       69.00
1970     43       161.00       13.00       36.00       33.00       27.00       52.00
1970     44        96.00       11.00       17.00       16.00       19.00       33.00
1970     45        55.00        6.00        7.00        6.00       15.00       21.00
1970     46        27.00        4.00        9.00        5.00        0.00        9.00
1970     47        12.00        1.00        4.00        3.00        3.00        1.00
1970     48         8.00        2.00        0.00        0.00        4.00        2.00
1970     49         1.00        1.00        0.00        0.00        0.00        0.00
1970     50         0.00        0.00        0.00        0.00        0.00        0.00
1970     51         1.00        0.00        0.00        1.00        0.00        0.00
1970     52         0.00        0.00        0.00        0.00        0.00        0.00
1970     53         0.00        0.00        0.00        0.00        0.00        0.00
1970     54         0.00        0.00        0.00        0.00        0.00        0.00
1970     55+        0.00        0.00        0.00        0.00        0.00        0.00
1971     12-        1.00        1.00        0.00        0.00        0.00        0.00
1971     13         2.00        2.00        0.00        0.00        0.00        0.00
1971     14        28.00       28.00        0.00        0.00        0.00        0.00
1971     15       132.00      131.00        1.00        0.00        0.00        0.00
1971     16       645.00      637.00        8.00        0.00        0.00        0.00
1971     17      1634.00     1575.00       59.00        0.00        0.00        0.00
1971     18      2778.00     2578.00      195.00        5.00        0.00        0.00
1971     19      4070.00     3472.00      570.00       26.00        2.00        0.00
1971     20      5421.00     4050.00     1298.00       70.00        3.00        0.00
1971     21      6932.00     4623.00     2080.00      211.00       18.00        0.00
1971     22      8277.00     4894.00     2930.00      407.00       44.00        2.00
1971     23      9251.00     5121.00     3420.00      631.00       72.00        7.00
1971     24      9883.00     4936.00     3892.00      895.00      130.00       30.00
1971     25     10280.00     4718.00     4190.00     1140.00      185.00       47.00
1971     26      9389.00     3854.00     3979.00     1225.00      270.00       61.00
1971     27      8751.00     2959.00     3979.00     1412.00      310.00       91.00
1971     28      7237.00     2138.00     3320.00     1365.00      334.00       80.00
1971     29      5875.00     1523.00     2650.00     1275.00      316.00      111.00
1971     30      4666.00     1034.00     2030.00     1168.00      311.00      123.00
1971     31      3943.00      759.00     1583.00     1109.00      338.00      154.00
1971     32      3369.00      594.00     1244.00     1026.00      341.00      164.00
1971     33      2652.00      467.00      900.00      806.00      313.00      166.00
1971     34      2149.00      351.00      674.00      680.00      266.00      178.00
1971     35      1739.00      263.00      517.00      538.00      252.00      169.00
1971     36      1429.00      184.00      343.00      448.00      263.00      191.00
1971     37      1034.00      120.00      258.00      312.00      184.00      160.00
1971     38       858.00      118.00      235.00      207.00      163.00      135.00
1971     39       698.00       83.00      146.00      189.00      162.00      118.00
1971     40       508.00       68.00      122.00      121.00       90.00      107.00
1971     41       323.00       40.00       70.00       78.00       57.00       78.00
1971     42       251.00       37.00       42.00       45.00       59.00       68.00
1971     43       168.00       20.00       22.00       49.00       27.00       50.00
1971     44        93.00       14.00       11.00       13.00       19.00       36.00
1971     45        41.00        5.00        9.00        7.00        7.00       13.00
1971     46        18.00        0.00        2.00        2.00        5.00        9.00
1971     47         6.00        0.00        0.00        3.00        3.00        0.00
1971     48         5.00        0.00        1.00        0.00        2.00        2.00
1971     49         1.00        0.00        0.00        0.00        1.00        0.00
1971     50         0.00        0.00        0.00        0.00        0.00        0.00
1971     51         0.00        0.00        0.00        0.00        0.00        0.00
1971     52         1.00        0.00        0.00        0.00        1.00        0.00
1971     53         0.00        0.00        0.00        0.00        0.00        0.00
1971     54         0.00        0.00        0.00        0.00        0.00        0.00
1971     55+        0.00        0.00        0.00        0.00        0.00        0.00
1972     12-        0.00        0.00        0.00        0.00        0.00        0.00
1972     13         3.00        3.00        0.00        0.00        0.00        0.00
1972     14        18.00       18.00        0.00        0.00        0.00        0.00
1972     15       135.00      134.00        1.00        0.00        0.00        0.00
1972     16       633.00      618.00       15.00        0.00        0.00        0.00
