Sweden, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 14/04/2023
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1970    12-        .            0.00           0.00           0.00           0.00           0.00           0.00
1970    13      1957            0.00           0.00           0.00           0.00           0.00           0.00
1970    13      1956            0.00           0.00           0.00           0.00           0.00           0.00
1970    14      1956            8.00           8.00           0.00           0.00           0.00           0.00
1970    14      1955           10.00          10.00           0.00           0.00           0.00           0.00
1970    15      1955           45.00          45.00           0.00           0.00           0.00           0.00
1970    15      1954           94.00          94.00           0.00           0.00           0.00           0.00
1970    16      1954          253.00         248.00           5.00           0.00           0.00           0.00
1970    16      1953          428.00         422.00           6.00           0.00           0.00           0.00
1970    17      1953          703.00         690.00          13.00           0.00           0.00           0.00
1970    17      1952          923.00         889.00          33.00           1.00           0.00           0.00
1970    18      1952         1268.00        1179.00          86.00           3.00           0.00           0.00
1970    18      1951         1483.00        1353.00         127.00           2.00           1.00           0.00
1970    19      1951         1850.00        1582.00         255.00          13.00           0.00           0.00
1970    19      1950         2108.00        1708.00         373.00          27.00           0.00           0.00
1970    20      1950         2550.00        1965.00         543.00          41.00           1.00           0.00
1970    20      1949         2822.00        1985.00         780.00          56.00           1.00           0.00
1970    21      1949         3305.00        2172.00        1043.00          87.00           3.00           0.00
1970    21      1948         3520.00        2079.00        1273.00         156.00          10.00           2.00
1970    22      1948         4011.00        2311.00        1470.00         205.00          22.00           3.00
1970    22      1947         4038.00        2269.00        1487.00         250.00          29.00           3.00
1970    23      1947         4456.00        2474.00        1641.00         302.00          31.00           8.00
1970    23      1946         4702.00        2440.00        1842.00         360.00          52.00           8.00
1970    24      1946         4746.00        2386.00        1791.00         482.00          69.00          18.00
1970    24      1945         4775.00        2281.00        1951.00         452.00          74.00          17.00
1970    25      1945         4614.00        2207.00        1828.00         473.00          90.00          16.00
1970    25      1944         4921.00        2153.00        2055.00         581.00         113.00          19.00
1970    26      1944         4564.00        1868.00        1942.00         591.00         128.00          35.00
1970    26      1943         4495.00        1767.00        1916.00         639.00         139.00          34.00
1970    27      1943         4157.00        1493.00        1849.00         641.00         140.00          34.00
1970    27      1942         3801.00        1241.00        1775.00         592.00         140.00          53.00
1970    28      1942         3367.00        1000.00        1536.00         627.00         149.00          55.00
1970    28      1941         3107.00         843.00        1472.00         599.00         131.00          62.00
1970    29      1941         2627.00         667.00        1206.00         549.00         161.00          44.00
1970    29      1940         2468.00         581.00        1077.00         572.00         166.00          72.00
1970    30      1940         2416.00         547.00        1054.00         573.00         180.00          62.00
1970    30      1939         2281.00         469.00         969.00         618.00         163.00          62.00
