Sweden, Live births by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 14/04/2023
Cohort  Age        Total          B1          B2          B3          B4         B5p
1915     12-           .           .           .           .           .           .
1915     13            .           .           .           .           .           .
1915     14            .           .           .           .           .           .
1915     15            .           .           .           .           .           .
1915     16            .           .           .           .           .           .
1915     17            .           .           .           .           .           .
1915     18            .           .           .           .           .           .
1915     19            .           .           .           .           .           .
1915     20            .           .           .           .           .           .
1915     21            .           .           .           .           .           .
1915     22            .           .           .           .           .           .
1915     23            .           .           .           .           .           .
1915     24            .           .           .           .           .           .
1915     25            .           .           .           .           .           .
1915     26            .           .           .           .           .           .
1915     27            .           .           .           .           .           .
1915     28            .           .           .           .           .           .
1915     29            .           .           .           .           .           .
1915     30            .           .           .           .           .           .
1915     31            .           .           .           .           .           .
1915     32            .           .           .           .           .           .
1915     33            .           .           .           .           .           .
1915     34            .           .           .           .           .           .
1915     35            .           .           .           .           .           .
1915     36            .           .           .           .           .           .
1915     37            .           .           .           .           .           .
1915     38            .           .           .           .           .           .
1915     39            .           .           .           .           .           .
1915     40            .           .           .           .           .           .
1915     41            .           .           .           .           .           .
1915     42            .           .           .           .           .           .
1915     43            .           .           .           .           .           .
1915     44            .           .           .           .           .           .
1915     45            .           .           .           .           .           .
1915     46            .           .           .           .           .           .
1915     47            .           .           .           .           .           .
1915     48            .           .           .           .           .           .
1915     49            .           .           .           .           .           .
1915     50            .           .           .           .           .           .
1915     51            .           .           .           .           .           .
1915     52            .           .           .           .           .           .
1915     53            .           .           .           .           .           .
1915     54            .           .           .           .           .           .
1915     55+        0.00        0.00        0.00        0.00        0.00        0.00
1916     12-           .           .           .           .           .           .
1916     13            .           .           .           .           .           .
1916     14            .           .           .           .           .           .
1916     15            .           .           .           .           .           .
1916     16            .           .           .           .           .           .
1916     17            .           .           .           .           .           .
1916     18            .           .           .           .           .           .
1916     19            .           .           .           .           .           .
1916     20            .           .           .           .           .           .
1916     21            .           .           .           .           .           .
1916     22            .           .           .           .           .           .
1916     23            .           .           .           .           .           .
1916     24            .           .           .           .           .           .
1916     25            .           .           .           .           .           .
1916     26            .           .           .           .           .           .
1916     27            .           .           .           .           .           .
1916     28            .           .           .           .           .           .
1916     29            .           .           .           .           .           .
1916     30            .           .           .           .           .           .
1916     31            .           .           .           .           .           .
1916     32            .           .           .           .           .           .
1916     33            .           .           .           .           .           .
1916     34            .           .           .           .           .           .
1916     35            .           .           .           .           .           .
1916     36            .           .           .           .           .           .
1916     37            .           .           .           .           .           .
1916     38            .           .           .           .           .           .
1916     39            .           .           .           .           .           .
1916     40            .           .           .           .           .           .
1916     41            .           .           .           .           .           .
1916     42            .           .           .           .           .           .
1916     43            .           .           .           .           .           .
1916     44            .           .           .           .           .           .
1916     45            .           .           .           .           .           .
1916     46            .           .           .           .           .           .
1916     47            .           .           .           .           .           .
1916     48            .           .           .           .           .           .
1916     49            .           .           .           .           .           .
1916     50            .           .           .           .           .           .
1916     51            .           .           .           .           .           .
1916     52            .           .           .           .           .           .
1916     53            .           .           .           .           .           .
1916     54         0.00        0.00        0.00        0.00        0.00        0.00
1916     55+        0.00        0.00        0.00        0.00        0.00        0.00
1917     12-           .           .           .           .           .           .
1917     13            .           .           .           .           .           .
1917     14            .           .           .           .           .           .
1917     15            .           .           .           .           .           .
1917     16            .           .           .           .           .           .
1917     17            .           .           .           .           .           .
1917     18            .           .           .           .           .           .
1917     19            .           .           .           .           .           .
1917     20            .           .           .           .           .           .
1917     21            .           .           .           .           .           .
1917     22            .           .           .           .           .           .
1917     23            .           .           .           .           .           .
1917     24            .           .           .           .           .           .
1917     25            .           .           .           .           .           .
1917     26            .           .           .           .           .           .
1917     27            .           .           .           .           .           .
1917     28            .           .           .           .           .           .
1917     29            .           .           .           .           .           .
1917     30            .           .           .           .           .           .
1917     31            .           .           .           .           .           .
1917     32            .           .           .           .           .           .
1917     33            .           .           .           .           .           .
1917     34            .           .           .           .           .           .
1917     35            .           .           .           .           .           .
1917     36            .           .           .           .           .           .
1917     37            .           .           .           .           .           .
1917     38            .           .           .           .           .           .
1917     39            .           .           .           .           .           .
1917     40            .           .           .           .           .           .
1917     41            .           .           .           .           .           .
1917     42            .           .           .           .           .           .
1917     43            .           .           .           .           .           .
1917     44            .           .           .           .           .           .
1917     45            .           .           .           .           .           .
1917     46            .           .           .           .           .           .
1917     47            .           .           .           .           .           .
1917     48            .           .           .           .           .           .
1917     49            .           .           .           .           .           .
1917     50            .           .           .           .           .           .
1917     51            .           .           .           .           .           .
1917     52            .           .           .           .           .           .
1917     53         0.00        0.00        0.00        0.00        0.00        0.00
1917     54         0.00        0.00        0.00        0.00        0.00        0.00
1917     55+        0.00        0.00        0.00        0.00        0.00        0.00
1918     12-           .           .           .           .           .           .
1918     13            .           .           .           .           .           .
1918     14            .           .           .           .           .           .
1918     15            .           .           .           .           .           .
1918     16            .           .           .           .           .           .
1918     17            .           .           .           .           .           .
1918     18            .           .           .           .           .           .
1918     19            .           .           .           .           .           .
1918     20            .           .           .           .           .           .
1918     21            .           .           .           .           .           .
1918     22            .           .           .           .           .           .
1918     23            .           .           .           .           .           .
1918     24            .           .           .           .           .           .
1918     25            .           .           .           .           .           .
1918     26            .           .           .           .           .           .
1918     27            .           .           .           .           .           .
1918     28            .           .           .           .           .           .
1918     29            .           .           .           .           .           .
1918     30            .           .           .           .           .           .
1918     31            .           .           .           .           .           .
1918     32            .           .           .           .           .           .
1918     33            .           .           .           .           .           .
1918     34            .           .           .           .           .           .
1918     35            .           .           .           .           .           .
1918     36            .           .           .           .           .           .
1918     37            .           .           .           .           .           .
1918     38            .           .           .           .           .           .
1918     39            .           .           .           .           .           .
1918     40            .           .           .           .           .           .
1918     41            .           .           .           .           .           .
1918     42            .           .           .           .           .           .
1918     43            .           .           .           .           .           .
1918     44            .           .           .           .           .           .
1918     45            .           .           .           .           .           .
1918     46            .           .           .           .           .           .
1918     47            .           .           .           .           .           .
1918     48            .           .           .           .           .           .
1918     49            .           .           .           .           .           .
1918     50            .           .           .           .           .           .
1918     51            .           .           .           .           .           .
1918     52         1.00        0.00        0.00        0.00        1.00        0.00
1918     53         0.00        0.00        0.00        0.00        0.00        0.00
1918     54         0.00        0.00        0.00        0.00        0.00        0.00
1918     55+        0.00        0.00        0.00        0.00        0.00        0.00
1919     12-           .           .           .           .           .           .
1919     13            .           .           .           .           .           .
1919     14            .           .           .           .           .           .
1919     15            .           .           .           .           .           .
1919     16            .           .           .           .           .           .
1919     17            .           .           .           .           .           .
1919     18            .           .           .           .           .           .
1919     19            .           .           .           .           .           .
1919     20            .           .           .           .           .           .
1919     21            .           .           .           .           .           .
1919     22            .           .           .           .           .           .
1919     23            .           .           .           .           .           .
1919     24            .           .           .           .           .           .
1919     25            .           .           .           .           .           .
1919     26            .           .           .           .           .           .
1919     27            .           .           .           .           .           .
1919     28            .           .           .           .           .           .
1919     29            .           .           .           .           .           .
1919     30            .           .           .           .           .           .
1919     31            .           .           .           .           .           .
1919     32            .           .           .           .           .           .
1919     33            .           .           .           .           .           .
1919     34            .           .           .           .           .           .
1919     35            .           .           .           .           .           .
1919     36            .           .           .           .           .           .
1919     37            .           .           .           .           .           .
1919     38            .           .           .           .           .           .
1919     39            .           .           .           .           .           .
1919     40            .           .           .           .           .           .
1919     41            .           .           .           .           .           .
1919     42            .           .           .           .           .           .
1919     43            .           .           .           .           .           .
1919     44            .           .           .           .           .           .
1919     45            .           .           .           .           .           .
1919     46            .           .           .           .           .           .
1919     47            .           .           .           .           .           .
1919     48            .           .           .           .           .           .
1919     49            .           .           .           .           .           .
1919     50            .           .           .           .           .           .
1919     51         0.00        0.00        0.00        0.00        0.00        0.00
1919     52         0.00        0.00        0.00        0.00        0.00        0.00
1919     53         0.00        0.00        0.00        0.00        0.00        0.00
1919     54         0.00        0.00        0.00        0.00        0.00        0.00
1919     55+        0.00        0.00        0.00        0.00        0.00        0.00
1920     12-           .           .           .           .           .           .
1920     13            .           .           .           .           .           .
1920     14            .           .           .           .           .           .
1920     15            .           .           .           .           .           .
1920     16            .           .           .           .           .           .
1920     17            .           .           .           .           .           .
1920     18            .           .           .           .           .           .
1920     19            .           .           .           .           .           .
1920     20            .           .           .           .           .           .
1920     21            .           .           .           .           .           .
1920     22            .           .           .           .           .           .
1920     23            .           .           .           .           .           .
1920     24            .           .           .           .           .           .
1920     25            .           .           .           .           .           .
1920     26            .           .           .           .           .           .
1920     27            .           .           .           .           .           .
1920     28            .           .           .           .           .           .
1920     29            .           .           .           .           .           .
1920     30            .           .           .           .           .           .
1920     31            .           .           .           .           .           .
1920     32            .           .           .           .           .           .
1920     33            .           .           .           .           .           .
1920     34            .           .           .           .           .           .
1920     35            .           .           .           .           .           .
1920     36            .           .           .           .           .           .
1920     37            .           .           .           .           .           .
1920     38            .           .           .           .           .           .
1920     39            .           .           .           .           .           .
1920     40            .           .           .           .           .           .
1920     41            .           .           .           .           .           .
1920     42            .           .           .           .           .           .
1920     43            .           .           .           .           .           .
1920     44            .           .           .           .           .           .
1920     45            .           .           .           .           .           .
1920     46            .           .           .           .           .           .
1920     47            .           .           .           .           .           .
1920     48            .           .           .           .           .           .
1920     49            .           .           .           .           .           .
1920     50         0.00        0.00        0.00        0.00        0.00        0.00
1920     51         0.00        0.00        0.00        0.00        0.00        0.00
1920     52         0.00        0.00        0.00        0.00        0.00        0.00
1920     53         0.00        0.00        0.00        0.00        0.00        0.00
1920     54         0.00        0.00        0.00        0.00        0.00        0.00
1920     55+        0.00        0.00        0.00        0.00        0.00        0.00
1921     12-           .           .           .           .           .           .
1921     13            .           .           .           .           .           .
1921     14            .           .           .           .           .           .
1921     15            .           .           .           .           .           .
1921     16            .           .           .           .           .           .
1921     17            .           .           .           .           .           .
1921     18            .           .           .           .           .           .
1921     19            .           .           .           .           .           .
1921     20            .           .           .           .           .           .
1921     21            .           .           .           .           .           .
1921     22            .           .           .           .           .           .
1921     23            .           .           .           .           .           .
1921     24            .           .           .           .           .           .
1921     25            .           .           .           .           .           .
1921     26            .           .           .           .           .           .
1921     27            .           .           .           .           .           .
1921     28            .           .           .           .           .           .
1921     29            .           .           .           .           .           .
1921     30            .           .           .           .           .           .
1921     31            .           .           .           .           .           .
1921     32            .           .           .           .           .           .
1921     33            .           .           .           .           .           .
1921     34            .           .           .           .           .           .
1921     35            .           .           .           .           .           .
1921     36            .           .           .           .           .           .
1921     37            .           .           .           .           .           .
1921     38            .           .           .           .           .           .
1921     39            .           .           .           .           .           .
1921     40            .           .           .           .           .           .
1921     41            .           .           .           .           .           .
1921     42            .           .           .           .           .           .
1921     43            .           .           .           .           .           .
1921     44            .           .           .           .           .           .
1921     45            .           .           .           .           .           .
1921     46            .           .           .           .           .           .
1921     47            .           .           .           .           .           .
1921     48            .           .           .           .           .           .
1921     49         1.00        1.00        0.00        0.00        0.00        0.00
1921     50         0.00        0.00        0.00        0.00        0.00        0.00
1921     51         0.00        0.00        0.00        0.00        0.00        0.00
1921     52         0.00        0.00        0.00        0.00        0.00        0.00
1921     53         0.00        0.00        0.00        0.00        0.00        0.00
1921     54         0.00        0.00        0.00        0.00        0.00        0.00
1921     55+        0.00        0.00        0.00        0.00        0.00        0.00
1922     12-           .           .           .           .           .           .
1922     13            .           .           .           .           .           .
1922     14            .           .           .           .           .           .
1922     15            .           .           .           .           .           .
1922     16            .           .           .           .           .           .
1922     17            .           .           .           .           .           .
1922     18            .           .           .           .           .           .
1922     19            .           .           .           .           .           .
1922     20            .           .           .           .           .           .
1922     21            .           .           .           .           .           .
1922     22            .           .           .           .           .           .
1922     23            .           .           .           .           .           .
1922     24            .           .           .           .           .           .
1922     25            .           .           .           .           .           .
1922     26            .           .           .           .           .           .
1922     27            .           .           .           .           .           .
1922     28            .           .           .           .           .           .
1922     29            .           .           .           .           .           .
1922     30            .           .           .           .           .           .
1922     31            .           .           .           .           .           .
1922     32            .           .           .           .           .           .
1922     33            .           .           .           .           .           .
1922     34            .           .           .           .           .           .
1922     35            .           .           .           .           .           .
1922     36            .           .           .           .           .           .
1922     37            .           .           .           .           .           .
1922     38            .           .           .           .           .           .
1922     39            .           .           .           .           .           .
1922     40            .           .           .           .           .           .
1922     41            .           .           .           .           .           .
1922     42            .           .           .           .           .           .
1922     43            .           .           .           .           .           .
1922     44            .           .           .           .           .           .
1922     45            .           .           .           .           .           .
1922     46            .           .           .           .           .           .
1922     47            .           .           .           .           .           .
1922     48         6.00        2.00        0.00        0.00        3.00        1.00
1922     49         1.00        0.00        0.00        0.00        1.00        0.00
1922     50         0.00        0.00        0.00        0.00        0.00        0.00
1922     51         0.00        0.00        0.00        0.00        0.00        0.00
1922     52         1.00        0.00        0.00        0.00        0.00        1.00
1922     53         0.00        0.00        0.00        0.00        0.00        0.00
1922     54         0.00        0.00        0.00        0.00        0.00        0.00
1922     55+        0.00        0.00        0.00        0.00        0.00        0.00
1923     12-           .           .           .           .           .           .
1923     13            .           .           .           .           .           .
1923     14            .           .           .           .           .           .
1923     15            .           .           .           .           .           .
1923     16            .           .           .           .           .           .
1923     17            .           .           .           .           .           .
1923     18            .           .           .           .           .           .
1923     19            .           .           .           .           .           .
1923     20            .           .           .           .           .           .
1923     21            .           .           .           .           .           .
1923     22            .           .           .           .           .           .
1923     23            .           .           .           .           .           .
1923     24            .           .           .           .           .           .
1923     25            .           .           .           .           .           .
1923     26            .           .           .           .           .           .
1923     27            .           .           .           .           .           .
1923     28            .           .           .           .           .           .
1923     29            .           .           .           .           .           .
1923     30            .           .           .           .           .           .
1923     31            .           .           .           .           .           .
1923     32            .           .           .           .           .           .
1923     33            .           .           .           .           .           .
1923     34            .           .           .           .           .           .
1923     35            .           .           .           .           .           .
1923     36            .           .           .           .           .           .
1923     37            .           .           .           .           .           .
1923     38            .           .           .           .           .           .
1923     39            .           .           .           .           .           .
1923     40            .           .           .           .           .           .
1923     41            .           .           .           .           .           .
1923     42            .           .           .           .           .           .
1923     43            .           .           .           .           .           .
1923     44            .           .           .           .           .           .
1923     45            .           .           .           .           .           .
1923     46            .           .           .           .           .           .
1923     47         9.00        1.00        3.00        5.00        0.00        0.00
1923     48         3.00        0.00        1.00        0.00        1.00        1.00
1923     49         0.00        0.00        0.00        0.00        0.00        0.00
1923     50         0.00        0.00        0.00        0.00        0.00        0.00
1923     51         0.00        0.00        0.00        0.00        0.00        0.00
1923     52         0.00        0.00        0.00        0.00        0.00        0.00
1923     53         0.00        0.00        0.00        0.00        0.00        0.00
1923     54         0.00        0.00        0.00        0.00        0.00        0.00
1923     55+        0.00        0.00        0.00        0.00        0.00        0.00
1924     12-           .           .           .           .           .           .
1924     13            .           .           .           .           .           .
1924     14            .           .           .           .           .           .
1924     15            .           .           .           .           .           .
1924     16            .           .           .           .           .           .
1924     17            .           .           .           .           .           .
1924     18            .           .           .           .           .           .
1924     19            .           .           .           .           .           .
1924     20            .           .           .           .           .           .
1924     21            .           .           .           .           .           .
1924     22            .           .           .           .           .           .
1924     23            .           .           .           .           .           .
1924     24            .           .           .           .           .           .
1924     25            .           .           .           .           .           .
1924     26            .           .           .           .           .           .
1924     27            .           .           .           .           .           .
1924     28            .           .           .           .           .           .
1924     29            .           .           .           .           .           .
1924     30            .           .           .           .           .           .
1924     31            .           .           .           .           .           .
1924     32            .           .           .           .           .           .
1924     33            .           .           .           .           .           .
1924     34            .           .           .           .           .           .
1924     35            .           .           .           .           .           .
1924     36            .           .           .           .           .           .
1924     37            .           .           .           .           .           .
1924     38            .           .           .           .           .           .
1924     39            .           .           .           .           .           .
1924     40            .           .           .           .           .           .
1924     41            .           .           .           .           .           .
1924     42            .           .           .           .           .           .
1924     43            .           .           .           .           .           .
1924     44            .           .           .           .           .           .
1924     45            .           .           .           .           .           .
1924     46        26.00        3.00        8.00        3.00        2.00       10.00
1924     47         7.00        1.00        0.00        1.00        3.00        2.00
1924     48         5.00        1.00        1.00        0.00        0.00        3.00
1924     49         1.00        0.00        0.00        0.00        0.00        1.00
1924     50         0.00        0.00        0.00        0.00        0.00        0.00
1924     51         0.00        0.00        0.00        0.00        0.00        0.00
1924     52         0.00        0.00        0.00        0.00        0.00        0.00
1924     53         0.00        0.00        0.00        0.00        0.00        0.00
1924     54         0.00        0.00        0.00        0.00        0.00        0.00
1924     55+        0.00        0.00        0.00        0.00        0.00        0.00
1925     12-           .           .           .           .           .           .
1925     13            .           .           .           .           .           .
1925     14            .           .           .           .           .           .
