Sweden, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 14/04/2023
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1970    12-   1958+        0.00        0.00        0.00        0.00        0.00        0.00
1970    13    1957         0.00        0.00        0.00        0.00        0.00        0.00
1970    14    1956         8.00        8.00        0.00        0.00        0.00        0.00
1970    15    1955        55.00       55.00        0.00        0.00        0.00        0.00
1970    16    1954       347.00      342.00        5.00        0.00        0.00        0.00
1970    17    1953      1131.00     1112.00       19.00        0.00        0.00        0.00
1970    18    1952      2191.00     2068.00      119.00        4.00        0.00        0.00
1970    19    1951      3333.00     2935.00      382.00       15.00        1.00        0.00
1970    20    1950      4658.00     3673.00      916.00       68.00        1.00        0.00
1970    21    1949      6127.00     4157.00     1823.00      143.00        4.00        0.00
1970    22    1948      7531.00     4390.00     2743.00      361.00       32.00        5.00
1970    23    1947      8494.00     4743.00     3128.00      552.00       60.00       11.00
1970    24    1946      9448.00     4826.00     3633.00      842.00      121.00       26.00
1970    25    1945      9389.00     4488.00     3779.00      925.00      164.00       33.00
1970    26    1944      9485.00     4021.00     3997.00     1172.00      241.00       54.00
1970    27    1943      8652.00     3260.00     3765.00     1280.00      279.00       68.00
1970    28    1942      7168.00     2241.00     3311.00     1219.00      289.00      108.00
1970    29    1941      5734.00     1510.00     2678.00     1148.00      292.00      106.00
1970    30    1940      4884.00     1128.00     2131.00     1145.00      346.00      134.00
1970    31    1939      4208.00      854.00     1773.00     1114.00      318.00      149.00
1970    32    1938      3528.00      596.00     1380.00     1036.00      361.00      155.00
1970    33    1937      2805.00      443.00     1013.00      869.00      330.00      150.00
1970    34    1936      2376.00      352.00      762.00      778.00      328.00      156.00
1970    35    1935      1904.00      284.00      564.00      606.00      262.00      188.00
1970    36    1934      1599.00      221.00      426.00      490.00      263.00      199.00
1970    37    1933      1296.00      192.00      341.00      389.00      213.00      161.00
1970    38    1932      1068.00      141.00      253.00      308.00      206.00      160.00
1970    39    1931       870.00      114.00      175.00      240.00      141.00      200.00
1970    40    1930       603.00       85.00      128.00      168.00       93.00      129.00
1970    41    1929       487.00       53.00      106.00      130.00       80.00      118.00
1970    42    1928       320.00       41.00       61.00       68.00       56.00       94.00
1970    43    1927       202.00       24.00       44.00       46.00       37.00       51.00
1970    44    1926       126.00       11.00       31.00       23.00       19.00       42.00
1970    45    1925        71.00        6.00        8.00       10.00       18.00       29.00
1970    46    1924        51.00        9.00       11.00        6.00        9.00       16.00
1970    47    1923        15.00        2.00        6.00        4.00        0.00        3.00
1970    48    1922        10.00        2.00        1.00        1.00        5.00        1.00
