Sweden, Crude birth rate by birth order
Last modified: 14/04/2023
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1970    13.70     6.02     4.91     1.88     0.57     0.32
1971    14.14     6.35     5.03     1.91     0.56     0.29
1972    13.84     6.20     4.99     1.87     0.52     0.26
1973    13.49     6.04     4.87     1.85     0.50     0.24
1974    13.48     5.96     5.00     1.82     0.48     0.21
1975    12.66     5.62     4.77     1.66     0.42     0.19
1976    11.97     5.23     4.62     1.56     0.39     0.17
1977    11.65     4.96     4.60     1.54     0.38     0.17
1978    11.28     4.67     4.47     1.58     0.39     0.17
1979    11.62     4.75     4.48     1.77     0.44     0.18
1980    11.70     4.84     4.40     1.80     0.47     0.19
1981    11.32     4.64     4.22     1.82     0.46     0.18
1982    11.18     4.55     4.15     1.83     0.46     0.18
1983    11.03     4.48     4.05     1.84     0.49     0.18
1984    11.28     4.52     4.11     1.91     0.53     0.20
1985    11.80     4.75     4.19     2.05     0.59     0.22
1986    12.18     5.05     4.24     2.06     0.60     0.23
1987    12.48     5.23     4.38     2.03     0.59     0.24
1988    13.32     5.57     4.69     2.16     0.63     0.26
1989    13.70     5.80     4.74     2.22     0.67     0.27
1990    14.54     6.13     5.02     2.34     0.74     0.31
1991    14.37     5.92     5.03     2.36     0.73     0.32
1992    14.11     5.61     5.12     2.31     0.75     0.32
1993    13.46     5.33     4.93     2.18     0.69     0.34
1994    12.79     5.03     4.79     2.02     0.63     0.31
1995    11.72     4.68     4.38     1.84     0.55     0.27
1996    10.79     4.43     4.04     1.60     0.47     0.25
1997    10.25     4.24     3.85     1.48     0.45     0.23
1998    10.14     4.18     3.78     1.50     0.45     0.24
1999    10.05     4.22     3.67     1.48     0.44     0.24
2000    10.29     4.49     3.61     1.50     0.45     0.25
2001    10.37     4.58     3.66     1.46     0.43     0.24
2002    10.84     4.88     3.84     1.46     0.42     0.23
2003    11.19     4.99     3.99     1.53     0.45     0.23
2004    11.34     5.04     4.11     1.53     0.43     0.24
2005    11.34     5.00     4.18     1.50     0.43     0.23
2006    11.76     5.23     4.30     1.56     0.43     0.23
2007    11.82     5.29     4.27     1.59     0.43     0.24
2008    11.92     5.39     4.27     1.59     0.43     0.24
2009    12.04     5.43     4.38     1.56     0.42     0.24
2010    12.34     5.50     4.53     1.63     0.43     0.25
2011    11.82     5.20     4.40     1.55     0.43     0.24
2012    11.89     5.24     4.42     1.56     0.43     0.25
2013    11.83     5.14     4.42     1.60     0.42     0.24
2014    11.85     5.05     4.44     1.64     0.45     0.27
2015    11.72     5.01     4.36     1.62     0.45     0.28
2016    11.83     5.05     4.33     1.67     0.48     0.30
2017    11.47     4.86     4.18     1.64     0.49     0.30
2018    11.38     4.85     4.17     1.61     0.46     0.29
2019    11.14     4.72     4.12     1.55     0.46     0.29
2020    10.92     4.67     4.03     1.49     0.45     0.28
2021    10.97     4.59     4.12     1.56     0.44     0.26
2022     9.99     4.29     3.68     1.37     0.40     0.25
