Sweden, Cumulative period fertility rates (Lexis squares)
Last modified: 14/04/2023
Year    Age     CPFR
1891    12     0.000
1891    13     0.000
1891    14     0.000
1891    15     0.000
1891    16     0.000
1891    17     0.003
1891    18     0.009
1891    19     0.025
1891    20     0.058
1891    21     0.119
1891    22     0.202
1891    23     0.312
1891    24     0.440
1891    25     0.596
1891    26     0.770
1891    27     0.961
1891    28     1.160
1891    29     1.363
1891    30     1.576
1891    31     1.798
1891    32     2.009
1891    33     2.221
1891    34     2.427
1891    35     2.625
1891    36     2.827
1891    37     3.019
1891    38     3.210
1891    39     3.382
1891    40     3.546
1891    41     3.697
1891    42     3.823
1891    43     3.927
1891    44     4.011
1891    45     4.068
1891    46     4.104
1891    47     4.124
1891    48     4.134
1891    49     4.139
1891    50     4.141
1891    51     4.142
1891    52     4.142
1891    53     4.142
1891    54     4.142
1891    55     4.142
1892    12     0.000
1892    13     0.000
1892    14     0.000
1892    15     0.000
1892    16     0.000
1892    17     0.002
1892    18     0.008
1892    19     0.024
1892    20     0.057
1892    21     0.115
1892    22     0.199
1892    23     0.310
1892    24     0.439
1892    25     0.588
1892    26     0.756
1892    27     0.933
1892    28     1.125
1892    29     1.325
1892    30     1.525
1892    31     1.736
1892    32     1.941
1892    33     2.151
1892    34     2.345
1892    35     2.536
1892    36     2.728
1892    37     2.915
1892    38     3.086
1892    39     3.251
1892    40     3.406
1892    41     3.545
1892    42     3.661
1892    43     3.760
1892    44     3.837
1892    45     3.894
1892    46     3.930
1892    47     3.950
1892    48     3.959
1892    49     3.964
1892    50     3.966
1892    51     3.966
1892    52     3.966
1892    53     3.966
1892    54     3.966
1892    55     3.966
1893    12     0.000
1893    13     0.000
1893    14     0.000
1893    15     0.000
1893    16     0.000
1893    17     0.002
1893    18     0.009
1893    19     0.026
1893    20     0.060
1893    21     0.119
1893    22     0.201
1893    23     0.309
1893    24     0.444
1893    25     0.597
1893    26     0.761
1893    27     0.944
1893    28     1.137
1893    29     1.335
1893    30     1.543
1893    31     1.754
1893    32     1.963
1893    33     2.177
1893    34     2.380
1893    35     2.578
1893    36     2.771
1893    37     2.960
1893    38     3.141
1893    39     3.308
1893    40     3.468
1893    41     3.613
1893    42     3.732
1893    43     3.834
1893    44     3.914
1893    45     3.967
1893    46     4.003
1893    47     4.023
1893    48     4.032
1893    49     4.036
1893    50     4.038
1893    51     4.039
1893    52     4.039
1893    53     4.039
1893    54     4.039
1893    55     4.039
1894    12     0.000
1894    13     0.000
1894    14     0.000
1894    15     0.000
1894    16     0.000
1894    17     0.002
1894    18     0.008
1894    19     0.025
1894    20     0.060
1894    21     0.116
1894    22     0.199
1894    23     0.309
1894    24     0.447
1894    25     0.604
1894    26     0.773
1894    27     0.951
1894    28     1.140
1894    29     1.336
1894    30     1.542
1894    31     1.753
1894    32     1.955
1894    33     2.163
1894    34     2.368
1894    35     2.565
1894    36     2.754
1894    37     2.937
1894    38     3.114
1894    39     3.285
1894    40     3.441
1894    41     3.590
1894    42     3.712
1894    43     3.813
1894    44     3.891
1894    45     3.948
1894    46     3.985
1894    47     4.003
1894    48     4.013
1894    49     4.017
1894    50     4.019
1894    51     4.019
1894    52     4.019
1894    53     4.019
1894    54     4.019
1894    55     4.019
1895    12     0.000
1895    13     0.000
1895    14     0.000
1895    15     0.000
1895    16     0.001
1895    17     0.003
1895    18     0.010
1895    19     0.028
1895    20     0.066
1895    21     0.128
1895    22     0.214
1895    23     0.329
1895    24     0.470
1895    25     0.627
1895    26     0.804
1895    27     0.988
1895    28     1.183
1895    29     1.391
1895    30     1.597
1895    31     1.808
1895    32     2.022
1895    33     2.228
1895    34     2.432
1895    35     2.632
1895    36     2.830
1895    37     3.017
1895    38     3.195
1895    39     3.361
1895    40     3.518
1895    41     3.662
1895    42     3.786
1895    43     3.887
1895    44     3.966
1895    45     4.021
1895    46     4.054
1895    47     4.071
1895    48     4.079
1895    49     4.082
1895    50     4.083
1895    51     4.083
1895    52     4.083
1895    53     4.083
1895    54     4.083
1895    55     4.083
1896    12     0.000
1896    13     0.000
1896    14     0.000
1896    15     0.000
1896    16     0.000
1896    17     0.002
1896    18     0.010
1896    19     0.031
1896    20     0.070
1896    21     0.133
1896    22     0.224
1896    23     0.339
1896    24     0.478
1896    25     0.638
1896    26     0.817
1896    27     1.005
1896    28     1.197
1896    29     1.393
1896    30     1.598
1896    31     1.806
1896    32     2.015
1896    33     2.218
1896    34     2.418
1896    35     2.619
1896    36     2.810
1896    37     2.994
1896    38     3.173
1896    39     3.340
1896    40     3.490
1896    41     3.632
1896    42     3.752
1896    43     3.854
1896    44     3.931
1896    45     3.984
1896    46     4.017
1896    47     4.034
1896    48     4.042
1896    49     4.046
1896    50     4.047
1896    51     4.048
1896    52     4.048
1896    53     4.048
1896    54     4.048
1896    55     4.048
1897    12     0.000
1897    13     0.000
1897    14     0.000
1897    15     0.000
1897    16     0.000
1897    17     0.003
1897    18     0.012
1897    19     0.032
1897    20     0.070
1897    21     0.134
1897    22     0.224
1897    23     0.343
1897    24     0.480
1897    25     0.640
1897    26     0.811
1897    27     1.000
1897    28     1.192
1897    29     1.389
1897    30     1.588
1897    31     1.793
1897    32     1.995
1897    33     2.197
1897    34     2.396
1897    35     2.587
1897    36     2.774
1897    37     2.953
1897    38     3.128
1897    39     3.286
1897    40     3.433
1897    41     3.569
1897    42     3.686
1897    43     3.787
1897    44     3.864
1897    45     3.914
1897    46     3.947
1897    47     3.964
1897    48     3.972
1897    49     3.975
1897    50     3.977
1897    51     3.977
1897    52     3.977
1897    53     3.977
1897    54     3.977
1897    55     3.977
1898    12     0.000
1898    13     0.000
1898    14     0.000
1898    15     0.000
1898    16     0.001
1898    17     0.003
1898    18     0.013
1898    19     0.034
1898    20     0.077
1898    21     0.144
1898    22     0.238
1898    23     0.357
1898    24     0.499
1898    25     0.660
1898    26     0.839
1898    27     1.027
1898    28     1.226
1898    29     1.430
1898    30     1.636
1898    31     1.837
1898    32     2.041
1898    33     2.249
1898    34     2.451
1898    35     2.648
1898    36     2.839
1898    37     3.023
1898    38     3.196
1898    39     3.360
1898    40     3.508
1898    41     3.644
1898    42     3.761
1898    43     3.856
1898    44     3.931
1898    45     3.982
1898    46     4.012
1898    47     4.029
1898    48     4.038
1898    49     4.041
1898    50     4.042
1898    51     4.042
1898    52     4.043
1898    53     4.043
1898    54     4.043
1898    55     4.043
1899    12     0.000
1899    13     0.000
1899    14     0.000
1899    15     0.000
1899    16     0.001
1899    17     0.003
1899    18     0.012
1899    19     0.034
1899    20     0.076
1899    21     0.143
1899    22     0.235
1899    23     0.354
1899    24     0.494
1899    25     0.654
1899    26     0.826
1899    27     1.017
1899    28     1.215
1899    29     1.412
1899    30     1.616
1899    31     1.813
1899    32     2.012
1899    33     2.204
1899    34     2.393
1899    35     2.580
1899    36     2.763
1899    37     2.940
1899    38     3.109
1899    39     3.266
1899    40     3.412
1899    41     3.541
1899    42     3.653
1899    43     3.745
1899    44     3.818
1899    45     3.868
1899    46     3.899
1899    47     3.916
1899    48     3.924
1899    49     3.927
1899    50     3.928
1899    51     3.929
1899    52     3.929
1899    53     3.929
1899    54     3.929
1899    55     3.929
1900    12     0.000
1900    13     0.000
1900    14     0.000
1900    15     0.000
1900    16     0.001
1900    17     0.003
1900    18     0.013
1900    19     0.036
1900    20     0.080
1900    21     0.148
1900    22     0.244
1900    23     0.369
1900    24     0.516
1900    25     0.679
1900    26     0.860
1900    27     1.047
1900    28     1.246
1900    29     1.453
1900    30     1.655
1900    31     1.860
1900    32     2.060
1900    33     2.258
1900    34     2.455
1900    35     2.650
1900    36     2.835
1900    37     3.015
1900    38     3.186
