Sweden, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 14/04/2023
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1970    12     0.000     0.000     0.000     0.000     0.000     0.000
1970    13     0.000     0.000     0.000     0.000     0.000     0.000
1970    14     0.000     0.000     0.000     0.000     0.000     0.000
1970    15     0.000     0.000     0.000     0.000     0.000     0.000
1970    16     0.003     0.003     0.000     0.000     0.000     0.000
1970    17     0.016     0.016     0.000     0.000     0.000     0.000
1970    18     0.046     0.045     0.001     0.000     0.000     0.000
1970    19     0.096     0.091     0.005     0.000     0.000     0.000
1970    20     0.166     0.149     0.016     0.001     0.000     0.000
1970    21     0.256     0.215     0.038     0.002     0.000     0.000
1970    22     0.363     0.282     0.074     0.006     0.000     0.000
1970    23     0.486     0.352     0.120     0.013     0.001     0.000
1970    24     0.623     0.425     0.172     0.023     0.002     0.000
1970    25     0.763     0.494     0.227     0.037     0.004     0.001
1970    26     0.906     0.559     0.285     0.053     0.007     0.001
1970    27     1.046     0.616     0.345     0.072     0.012     0.002
1970    28     1.179     0.661     0.405     0.092     0.016     0.004
1970    29     1.298     0.695     0.460     0.115     0.021     0.006
1970    30     1.403     0.721     0.507     0.138     0.028     0.008
1970    31     1.498     0.741     0.548     0.162     0.035     0.011
1970    32     1.576     0.756     0.580     0.183     0.042     0.014
1970    33     1.645     0.767     0.606     0.204     0.050     0.018
1970    34     1.700     0.776     0.625     0.222     0.057     0.021
1970    35     1.749     0.783     0.640     0.238     0.063     0.025
1970    36     1.789     0.789     0.651     0.250     0.069     0.030
1970    37     1.823     0.794     0.660     0.261     0.075     0.034
1970    38     1.849     0.797     0.666     0.268     0.080     0.037
1970    39     1.871     0.800     0.671     0.274     0.084     0.041
1970    40     1.887     0.802     0.675     0.279     0.086     0.045
1970    41     1.899     0.804     0.677     0.282     0.088     0.048
1970    42     1.907     0.805     0.679     0.284     0.090     0.050
1970    43     1.913     0.805     0.680     0.285     0.091     0.051
1970    44     1.916     0.806     0.681     0.286     0.091     0.052
1970    45     1.918     0.806     0.681     0.286     0.092     0.053
1970    46     1.919     0.806     0.681     0.286     0.092     0.054
1970    47     1.920     0.806     0.681     0.286     0.092     0.054
1970    48     1.920     0.806     0.682     0.286     0.092     0.054
1970    49     1.920     0.806     0.682     0.286     0.092     0.054
1970    50     1.920     0.806     0.682     0.286     0.092     0.054
