Sweden, Cumulative period fertility rates (vertical parallelograms)
Last modified: 14/04/2023
Year  ARDY  Cohort     CPFR
1891   12    1879     0.000
1891   13    1878     0.000
1891   14    1877     0.000
1891   15    1876     0.000
1891   16    1875     0.000
1891   17    1874     0.001
1891   18    1873     0.005
1891   19    1872     0.016
1891   20    1871     0.040
1891   21    1870     0.087
1891   22    1869     0.159
1891   23    1868     0.255
1891   24    1867     0.375
1891   25    1866     0.516
1891   26    1865     0.682
1891   27    1864     0.865
1891   28    1863     1.060
1891   29    1862     1.261
1891   30    1861     1.469
1891   31    1860     1.688
1891   32    1859     1.904
1891   33    1858     2.115
1891   34    1857     2.325
1891   35    1856     2.527
1891   36    1855     2.727
1891   37    1854     2.924
1891   38    1853     3.116
1891   39    1852     3.297
1891   40    1851     3.465
1891   41    1850     3.623
1891   42    1849     3.762
1891   43    1848     3.877
1891   44    1847     3.972
1891   45    1846     4.042
1891   46    1845     4.088
1891   47    1844     4.116
1891   48    1843     4.130
1891   49    1842     4.138
1891   50    1841     4.141
1891   51    1840     4.143
1891   52    1839     4.143
1891   53    1838     4.143
1891   54    1837     4.143
1891   55    1836     4.143
1892   12    1880     0.000
1892   13    1879     0.000
1892   14    1878     0.000
1892   15    1877     0.000
1892   16    1876     0.000
1892   17    1875     0.001
1892   18    1874     0.004
1892   19    1873     0.015
1892   20    1872     0.039
1892   21    1871     0.084
1892   22    1870     0.155
1892   23    1869     0.252
1892   24    1868     0.373
1892   25    1867     0.512
1892   26    1866     0.671
1892   27    1865     0.844
1892   28    1864     1.028
1892   29    1863     1.225
1892   30    1862     1.425
1892   31    1861     1.630
1892   32    1860     1.839
1892   33    1859     2.047
1892   34    1858     2.249
1892   35    1857     2.441
1892   36    1856     2.632
1892   37    1855     2.822
1892   38    1854     3.002
1892   39    1853     3.170
1892   40    1852     3.330
1892   41    1851     3.477
1892   42    1850     3.605
1892   43    1849     3.713
1892   44    1848     3.801
1892   45    1847     3.868
1892   46    1846     3.914
1892   47    1845     3.941
1892   48    1844     3.955
1892   49    1843     3.962
1892   50    1842     3.965
1892   51    1841     3.967
1892   52    1840     3.967
1892   53    1839     3.967
1892   54    1838     3.967
1892   55    1837     3.967
1893   12    1881     0.000
1893   13    1880     0.000
1893   14    1879     0.000
1893   15    1878     0.000
1893   16    1877     0.000
1893   17    1876     0.001
1893   18    1875     0.005
1893   19    1874     0.017
1893   20    1873     0.041
1893   21    1872     0.087
1893   22    1871     0.158
1893   23    1870     0.253
1893   24    1869     0.375
1893   25    1868     0.520
1893   26    1867     0.678
1893   27    1866     0.852
1893   28    1865     1.041
1893   29    1864     1.236
1893   30    1863     1.439
1893   31    1862     1.649
1893   32    1861     1.859
1893   33    1860     2.071
1893   34    1859     2.280
1893   35    1858     2.480
1893   36    1857     2.675
1893   37    1856     2.867
1893   38    1855     3.052
1893   39    1854     3.226
1893   40    1853     3.390
1893   41    1852     3.543
1893   42    1851     3.674
1893   43    1850     3.785
1893   44    1849     3.877
1893   45    1848     3.943
1893   46    1847     3.987
1893   47    1846     4.014
1893   48    1845     4.028
1893   49    1844     4.035
1893   50    1843     4.038
1893   51    1842     4.039
1893   52    1841     4.039
1893   53    1840     4.039
1893   54    1839     4.039
1893   55    1838     4.039
1894   12    1882     0.000
1894   13    1881     0.000
1894   14    1880     0.000
1894   15    1879     0.000
1894   16    1878     0.000
1894   17    1877     0.001
1894   18    1876     0.004
1894   19    1875     0.015
1894   20    1874     0.041
1894   21    1873     0.086
1894   22    1872     0.155
1894   23    1871     0.252
1894   24    1870     0.376
1894   25    1869     0.525
1894   26    1868     0.688
1894   27    1867     0.862
1894   28    1866     1.046
1894   29    1865     1.239
1894   30    1864     1.440
1894   31    1863     1.649
1894   32    1862     1.855
1894   33    1861     2.060
1894   34    1860     2.267
1894   35    1859     2.469
1894   36    1858     2.661
1894   37    1857     2.847
1894   38    1856     3.028
1894   39    1855     3.202
1894   40    1854     3.365
1894   41    1853     3.518
1894   42    1852     3.654
1894   43    1851     3.765
1894   44    1850     3.855
1894   45    1849     3.922
1894   46    1848     3.969
1894   47    1847     3.996
1894   48    1846     4.009
1894   49    1845     4.016
1894   50    1844     4.019
1894   51    1843     4.020
1894   52    1842     4.020
1894   53    1841     4.020
1894   54    1840     4.020
1894   55    1839     4.020
1895   12    1883     0.000
1895   13    1882     0.000
1895   14    1881     0.000
1895   15    1880     0.000
1895   16    1879     0.000
1895   17    1878     0.002
1895   18    1877     0.006
1895   19    1876     0.018
1895   20    1875     0.045
1895   21    1874     0.095
1895   22    1873     0.169
1895   23    1872     0.270
1895   24    1871     0.398
1895   25    1870     0.548
1895   26    1869     0.715
1895   27    1868     0.896
1895   28    1867     1.086
1895   29    1866     1.288
1895   30    1865     1.495
1895   31    1864     1.703
1895   32    1863     1.917
1895   33    1862     2.127
1895   34    1861     2.332
1895   35    1860     2.533
1895   36    1859     2.733
1895   37    1858     2.926
1895   38    1857     3.108
1895   39    1856     3.280
1895   40    1855     3.441
1895   41    1854     3.592
1895   42    1853     3.727
1895   43    1852     3.839
1895   44    1851     3.929
1895   45    1850     3.996
1895   46    1849     4.040
1895   47    1848     4.064
1895   48    1847     4.076
1895   49    1846     4.082
1895   50    1845     4.083
1895   51    1844     4.084
1895   52    1843     4.084
1895   53    1842     4.084
1895   54    1841     4.084
1895   55    1840     4.084
1896   12    1884     0.000
1896   13    1883     0.000
1896   14    1882     0.000
1896   15    1881     0.000
1896   16    1880     0.000
1896   17    1879     0.001
1896   18    1878     0.006
1896   19    1877     0.019
1896   20    1876     0.049
1896   21    1875     0.099
1896   22    1874     0.177
1896   23    1873     0.280
1896   24    1872     0.408
1896   25    1871     0.558
1896   26    1870     0.727
1896   27    1869     0.911
1896   28    1868     1.101
1896   29    1867     1.295
1896   30    1866     1.496
1896   31    1865     1.703
