Sweden, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 14/04/2023
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1970   12    1958     0.000     0.000     0.000     0.000     0.000     0.000
1970   13    1957     0.000     0.000     0.000     0.000     0.000     0.000
1970   14    1956     0.000     0.000     0.000     0.000     0.000     0.000
1970   15    1955     0.000     0.000     0.000     0.000     0.000     0.000
1970   16    1954     0.001     0.001     0.000     0.000     0.000     0.000
1970   17    1953     0.008     0.008     0.000     0.000     0.000     0.000
1970   18    1952     0.029     0.028     0.000     0.000     0.000     0.000
1970   19    1951     0.069     0.066     0.003     0.000     0.000     0.000
1970   20    1950     0.129     0.120     0.010     0.000     0.000     0.000
1970   21    1949     0.210     0.183     0.025     0.002     0.000     0.000
1970   22    1948     0.308     0.250     0.055     0.004     0.000     0.000
1970   23    1947     0.424     0.317     0.097     0.009     0.001     0.000
1970   24    1946     0.553     0.389     0.144     0.018     0.001     0.000
1970   25    1945     0.693     0.461     0.198     0.030     0.003     0.001
1970   26    1944     0.833     0.527     0.254     0.044     0.006     0.001
1970   27    1943     0.976     0.588     0.315     0.062     0.009     0.002
1970   28    1942     1.114     0.640     0.375     0.082     0.014     0.003
1970   29    1941     1.240     0.680     0.433     0.104     0.019     0.005
1970   30    1940     1.352     0.709     0.486     0.126     0.025     0.007
1970   31    1939     1.453     0.733     0.530     0.150     0.032     0.010
1970   32    1938     1.538     0.750     0.565     0.172     0.038     0.013
1970   33    1937     1.612     0.762     0.594     0.194     0.046     0.016
1970   34    1936     1.673     0.772     0.616     0.213     0.053     0.019
1970   35    1935     1.726     0.780     0.633     0.230     0.060     0.023
1970   36    1934     1.770     0.786     0.646     0.244     0.066     0.027
1970   37    1933     1.808     0.791     0.656     0.256     0.072     0.032
1970   38    1932     1.838     0.796     0.664     0.265     0.077     0.036
1970   39    1931     1.862     0.799     0.670     0.272     0.082     0.039
1970   40    1930     1.881     0.802     0.674     0.277     0.085     0.044
1970   41    1929     1.894     0.803     0.677     0.281     0.087     0.046
1970   42    1928     1.905     0.805     0.679     0.283     0.089     0.049
1970   43    1927     1.912     0.806     0.680     0.285     0.090     0.051
1970   44    1926     1.916     0.806     0.681     0.286     0.091     0.052
1970   45    1925     1.919     0.806     0.682     0.286     0.091     0.053
1970   46    1924     1.920     0.806     0.682     0.287     0.092     0.053
1970   47    1923     1.921     0.807     0.682     0.287     0.092     0.054
1970   48    1922     1.921     0.807     0.682     0.287     0.092     0.054
1970   49    1921     1.921     0.807     0.682     0.287     0.092     0.054
1970   50    1920     1.922     0.807     0.682     0.287     0.092     0.054
1970   51    1919     1.922     0.807     0.682     0.287     0.092     0.054
1970   52    1918     1.922     0.807     0.682     0.287     0.092     0.054
1970   53    1917     1.922     0.807     0.682     0.287     0.092     0.054
1970   54    1916     1.922     0.807     0.682     0.287     0.092     0.054
1970   55    1915     1.922     0.807     0.682     0.287     0.092     0.054
1971   12    1959     0.000     0.000     0.000     0.000     0.000     0.000
1971   13    1958     0.000     0.000     0.000     0.000     0.000     0.000
1971   14    1957     0.000     0.000     0.000     0.000     0.000     0.000
1971   15    1956     0.000     0.000     0.000     0.000     0.000     0.000
1971   16    1955     0.002     0.002     0.000     0.000     0.000     0.000
1971   17    1954     0.007     0.007     0.000     0.000     0.000     0.000
1971   18    1953     0.028     0.028     0.001     0.000     0.000     0.000
1971   19    1952     0.069     0.066     0.003     0.000     0.000     0.000
1971   20    1951     0.132     0.123     0.009     0.000     0.000     0.000
1971   21    1950     0.216     0.190     0.025     0.001     0.000     0.000
1971   22    1949     0.320     0.264     0.053     0.003     0.000     0.000
1971   23    1948     0.441     0.340     0.092     0.008     0.001     0.000
1971   24    1947     0.575     0.416     0.142     0.016     0.002     0.000
1971   25    1946     0.719     0.492     0.197     0.027     0.003     0.000
1971   26    1945     0.868     0.563     0.256     0.042     0.005     0.001
1971   27    1944     1.016     0.628     0.317     0.060     0.009     0.002
1971   28    1943     1.154     0.680     0.378     0.080     0.013     0.003
1971   29    1942     1.282     0.720     0.437     0.102     0.019     0.004
1971   30    1941     1.398     0.752     0.490     0.126     0.024     0.006
1971   31    1940     1.500     0.776     0.536     0.150     0.030     0.008
1971   32    1939     1.588     0.795     0.572     0.173     0.037     0.011
1971   33    1938     1.661     0.808     0.600     0.195     0.044     0.014
1971   34    1937     1.725     0.819     0.624     0.214     0.051     0.018
1971   35    1936     1.777     0.828     0.641     0.230     0.057     0.022
1971   36    1935     1.821     0.835     0.654     0.244     0.063     0.026
1971   37    1934     1.856     0.840     0.663     0.255     0.069     0.029
1971   38    1933     1.885     0.843     0.671     0.264     0.074     0.033
1971   39    1932     1.906     0.846     0.676     0.270     0.078     0.037
1971   40    1931     1.924     0.848     0.681     0.274     0.082     0.040
1971   41    1930     1.937     0.850     0.683     0.278     0.084     0.042
1971   42    1929     1.947     0.851     0.685     0.280     0.086     0.044
1971   43    1928     1.953     0.852     0.687     0.281     0.087     0.046
1971   44    1927     1.957     0.852     0.687     0.282     0.088     0.047
1971   45    1926     1.960     0.853     0.688     0.283     0.089     0.048
1971   46    1925     1.961     0.853     0.688     0.283     0.089     0.049
1971   47    1924     1.962     0.853     0.688     0.283     0.089     0.049
1971   48    1923     1.962     0.853     0.688     0.283     0.089     0.049
1971   49    1922     1.962     0.853     0.688     0.283     0.089     0.049
1971   50    1921     1.962     0.853     0.688     0.283     0.089     0.049
1971   51    1920     1.962     0.853     0.688     0.283     0.089     0.049
1971   52    1919     1.962     0.853     0.688     0.283     0.089     0.049
1971   53    1918     1.962     0.853     0.688     0.283     0.089     0.049
1971   54    1917     1.962     0.853     0.688     0.283     0.089     0.049
1971   55    1916     1.962     0.853     0.688     0.283     0.089     0.049
1972   12    1960     0.000     0.000     0.000     0.000     0.000     0.000
1972   13    1959     0.000     0.000     0.000     0.000     0.000     0.000
1972   14    1958     0.000     0.000     0.000     0.000     0.000     0.000
1972   15    1957     0.000     0.000     0.000     0.000     0.000     0.000
1972   16    1956     0.001     0.001     0.000     0.000     0.000     0.000
1972   17    1955     0.007     0.007     0.000     0.000     0.000     0.000
1972   18    1954     0.027     0.027     0.001     0.000     0.000     0.000
1972   19    1953     0.067     0.064     0.003     0.000     0.000     0.000
1972   20    1952     0.127     0.118     0.009     0.000     0.000     0.000
1972   21    1951     0.210     0.185     0.023     0.001     0.000     0.000
1972   22    1950     0.311     0.259     0.049     0.003     0.000     0.000
1972   23    1949     0.432     0.337     0.087     0.007     0.001     0.000
1972   24    1948     0.566     0.414     0.135     0.015     0.001     0.000
1972   25    1947     0.707     0.490     0.188     0.026     0.002     0.000
1972   26    1946     0.854     0.561     0.247     0.041     0.004     0.001
1972   27    1945     0.998     0.622     0.309     0.058     0.007     0.001
1972   28    1944     1.136     0.674     0.372     0.077     0.011     0.002
1972   29    1943     1.263     0.715     0.430     0.099     0.016     0.004
1972   30    1942     1.376     0.745     0.483     0.122     0.021     0.005
1972   31    1941     1.478     0.769     0.529     0.146     0.027     0.007
1972   32    1940     1.563     0.787     0.564     0.169     0.034     0.009
1972   33    1939     1.636     0.800     0.593     0.189     0.041     0.012
1972   34    1938     1.695     0.811     0.614     0.208     0.047     0.016
1972   35    1937     1.744     0.819     0.631     0.222     0.053     0.019
1972   36    1936     1.784     0.825     0.644     0.235     0.059     0.021
1972   37    1935     1.816     0.830     0.653     0.244     0.064     0.025
1972   38    1934     1.842     0.833     0.661     0.252     0.068     0.028
1972   39    1933     1.864     0.836     0.666     0.258     0.072     0.031
1972   40    1932     1.880     0.838     0.670     0.263     0.075     0.034
1972   41    1931     1.892     0.840     0.672     0.266     0.077     0.036
1972   42    1930     1.900     0.841     0.674     0.268     0.079     0.039
1972   43    1929     1.906     0.842     0.675     0.269     0.080     0.040
