Sweden, Female exposure to risk by calendar year, age and parity
Last modified: 14/04/2023
Year   Age            E0x            E1x            E2x            E3x           E4px
1970    12       51880.06           0.00           0.00           0.00           0.00
1970    13       52343.66           2.00           0.00           0.00           0.00
1970    14       52174.96          18.91           0.00           0.00           0.00
1970    15       51563.99         126.18           1.25           0.00           0.00
1970    16       52197.27         539.68           7.36           0.00           0.00
1970    17       52695.70        1626.76          48.12           1.49           0.00
1970    18       50460.45        3716.19         215.25           5.63           0.24
1970    19       48945.66        6880.53         708.01          32.33           0.49
1970    20       47405.48       10699.82        1865.73         106.27           3.88
1970    21       44881.71       14449.20        3991.24         321.49          19.43
1970    22       40768.13       17149.07        6623.66         706.06          63.87
1970    23       36715.46       19272.22        9661.79        1339.25         168.00
1970    24       31994.93       20573.47       12635.59        2109.86         307.41
1970    25       27166.19       20824.18       15435.66        3041.61         519.70
1970    26       22165.50       19759.79       17603.49        4102.41         770.76
1970    27       17714.33       17679.92       18685.02        4880.60        1055.89
1970    28       13697.79       14983.26       18814.06        5544.77        1416.73
1970    29       10512.37       12257.04       18012.23        6067.20        1745.06
1970    30        9510.24       11360.62       19149.00        7194.18        2222.47
1970    31        8508.38       10320.31       19236.73        7950.14        2705.75
1970    32        7586.10        9182.60       18327.03        8424.98        3138.39
1970    33        6998.86        8422.89       17585.75        8666.03        3582.09
1970    34        6530.96        7997.27       17004.23        8706.96        3967.45
1970    35        6111.58        7671.23       16214.75        8805.66        4345.11
1970    36        5911.23        7630.22       15657.26        8796.05        4703.14
1970    37        5955.60        7831.66       15623.04        8941.14        5015.38
1970    38        6175.09        8227.24       15800.86        9069.47        5480.80
1970    39        6559.71        8749.33       16132.23        9042.52        5762.43
1970    40        6732.58        8854.49       15657.83        8820.65        5685.52
1970    41        6969.20        9191.86       15656.86        8861.40        5915.25
1970    42        7090.12        9447.21       15552.21        8650.93        5999.20
1970    43        7572.86        9989.27       15751.32        8653.40        6053.53
1970    44        8081.89       10434.73       15928.83        8644.12        6088.76
1970    45        8559.71       10844.11       16140.68        8679.76        6163.65
1970    46        9010.33       11192.80       16306.59        8844.75        6254.12
1970    47        9246.62       11457.87       16084.16        8759.53        6345.58
1970    48       10196.79       12458.72       16946.89        9094.63        6772.34
1970    49       10877.38       13171.37       17546.69        9432.16        7011.74
1970    50       10825.87       12896.74       17074.80        9334.88        7002.03
1970    51        9460.83       10910.31       14287.77        7894.73        6042.33
1970    52       10129.29       11424.14       14439.44        7845.09        6147.64
1970    53       10732.69       11672.29       14297.59        7676.35        6058.53
1970    54       11089.06       11582.79       13848.93        7499.81        5930.58
1970    55       11549.96       11869.94       14053.78        7610.34        6093.20
1971    12       51368.30           0.00           0.00           0.00           0.00
1971    13       52028.15           0.51           0.00           0.00           0.00
1971    14       52446.90          17.07           0.00           0.00           0.00
1971    15       52326.80          96.93           0.50           0.00           0.00
1971    16       51536.63         514.84           7.28           0.00           0.00
1971    17       51573.57        1646.28          38.61           0.00           0.00
1971    18       51238.18        3631.28         175.59           5.00           0.00
1971    19       48246.63        6324.74         606.94          21.09           0.25
1971    20       45947.28        9709.29        1615.17          81.68           2.45
1971    21       43707.33       13314.72        3504.17         242.92          12.31
1971    22       40666.40       16550.83        6369.06         624.52          48.33
1971    23       36175.83       18875.04        9393.49        1198.32         121.49
1971    24       31931.67       20667.73       12573.86        2049.87         271.55
1971    25       27371.73       21393.05       15622.21        2968.25         475.12
1971    26       23076.10       20945.31       18348.70        3965.47         760.28
1971    27       18920.54       19130.74       20250.74        5108.14        1071.93
1971    28       15315.44       16594.29       20866.48        5929.85        1367.08
1971    29       12076.07       13808.54       20439.34        6503.72        1741.17
1971    30        9372.20       11223.28       19072.84        6883.91        2074.87
1971    31        8629.73       10447.76       19847.21        7988.71        2555.99
1971    32        7878.68        9562.86       19673.53        8658.68        3040.00
1971    33        7105.68        8627.83       18512.32        8991.28        3461.56
1971    34        6644.46        8049.61       17627.64        9126.06        3888.33
1971    35        6254.13        7709.11       17002.90        9041.85        4245.14
1971    36        5899.70        7474.86       16202.96        9024.30        4614.00
1971    37        5751.61        7472.33       15607.43        8947.07        4930.35
1971    38        5840.16        7702.19       15623.46        9053.39        5199.81
1971    39        6071.12        8152.86       15786.93        9135.48        5647.62
1971    40        6472.72        8716.48       16102.62        9089.74        5886.22
1971    41        6680.47        8821.77       15655.49        8856.02        5763.76
1971    42        6936.55        9166.63       15657.63        8878.12        5971.42
1971    43        7064.49        9438.38       15540.86        8659.95        6036.30
1971    44        7554.37        9981.46       15736.15        8657.35        6073.05
1971    45        8063.00       10420.41       15908.55        8630.63        6093.02
1971    46        8550.12       10833.29       16129.69        8671.55        6164.41
1971    47        8996.64       11174.78       16286.98        8836.27        6247.02
1971    48        9230.04       11439.13       16056.88        8746.25        6336.68
1971    49       10172.03       12431.88       16908.29        9072.34        6758.48
1971    50       10851.07       13140.65       17505.08        9409.79        6995.11
1971    51       10794.86       12859.81       17025.90        9308.15        6981.98
1971    52        9433.96       10879.32       14247.18        7871.82        6025.65
1971    53       10092.42       11382.56       14386.88        7816.04        6125.76
1971    54       10687.73       11623.39       14237.69        7644.19        6033.15
1971    55       10859.53       11531.87       13922.65        7540.11        5889.36
1972    12       50697.38           0.00           0.00           0.00           0.00
1972    13       51373.28           2.50           0.00           0.00           0.00
1972    14       52021.91          12.42           0.00           0.00           0.00
1972    15       52426.29         101.77           0.50           0.00           0.00
1972    16       52068.82         481.92           6.48           0.00           0.00
1972    17       50690.55        1555.18          37.38           0.50           0.00
1972    18       49815.11        3538.54         146.37           3.46           0.00
1972    19       48461.74        6279.63         520.43          25.03           1.00
1972    20       44715.48        9169.06        1413.66          69.71           2.73
1972    21       41819.08       12393.48        3048.53         189.49          10.80
1972    22       39036.99       15632.79        5575.72         484.31          36.46
1972    23       35665.44       18429.13        8899.14        1060.55          97.41
1972    24       31150.10       20234.19       12161.66        1837.19         215.33
1972    25       27109.17       21341.53       15495.99        2894.77         411.22
1972    26       23066.90       21375.67       18521.52        3926.74         663.53
1972    27       19546.33       20240.12       21033.58        5021.26        1003.55
1972    28       16292.21       17933.50       22493.30        6164.77        1383.88
1972    29       13394.75       15334.53       22508.88        6941.47        1709.92
1972    30       10704.29       12655.79       21511.23        7423.74        2071.41
1972    31        8447.80       10275.53       19698.69        7611.81        2399.60
1972    32        7925.47        9705.07       20142.00        8666.41        2894.18
1972    33        7326.87        9013.34       19785.81        9200.51        3351.66
1972    34        6686.07        8215.95       18538.29        9410.09        3729.87
1972    35        6334.00        7747.94       17566.84        9450.98        4130.02
1972    36        6029.49        7493.94       16920.69        9249.52        4478.48
1972    37        5738.15        7300.33       16111.35        9156.54        4814.48
1972    38        5626.14        7342.51       15557.49        9018.94        5091.02
1972    39        5736.55        7611.21       15576.27        9074.79        5335.52
1972    40        5994.22        8082.65       15744.82        9151.25        5749.68
1972    41        6414.63        8659.14       16059.91        9100.04        5947.49
1972    42        6634.96        8782.40       15620.99        8845.22        5813.20
1972    43        6900.36        9136.19       15621.73        8862.09        6001.99
1972    44        7034.25        9416.16       15494.97        8647.80        6041.45
1972    45        7527.78        9955.30       15691.50        8634.56        6069.53
1972    46        8041.91       10393.70       15869.93        8608.70        6085.15
1972    47        8524.47       10803.04       16081.68        8645.05        6149.62
1972    48        8963.52       11134.28       16227.93        8802.73        6226.38
1972    49        9203.73       11406.03       16011.62        8720.33        6319.60
1972    50       10140.44       12393.26       16855.77        9043.64        6738.01
1972    51       10811.69       13092.96       17441.55        9375.64        6969.73
1972    52       10752.73       12809.62       16959.45        9271.82        6954.73
1972    53        9390.78       10829.53       14181.98        7835.79        5998.08
1972    54       10044.99       11329.07       14319.27        7779.30        6096.97
1972    55       10363.00       11550.02       14351.78        7640.05        6091.84
1973    12       50804.56           0.00           0.00           0.00           0.00
1973    13       50664.72           0.99           0.00           0.00           0.00
1973    14       51324.81          13.50           0.00           0.00           0.00
1973    15       51942.55          86.80           0.00           0.00           0.00
1973    16       52138.88         440.02           6.52           0.00           0.00
1973    17       51206.04        1447.70          36.93           0.00           0.00
1973    18       49034.80        3270.39         147.11           5.52           0.00
1973    19       47183.41        5969.65         487.30          18.42           0.00
1973    20       44870.34        9188.93        1253.11          67.16           3.50
1973    21       40615.48       11897.20        2693.44         175.27          10.66
1973    22       37244.77       14763.30        4904.44         423.68          29.56
1973    23       34127.93       17601.52        7872.39         906.45          75.44
1973    24       30708.79       19875.20       11497.24        1673.81         175.04
1973    25       26404.29       20984.04       14933.99        2603.23         347.75
1973    26       22838.82       21271.10       18409.78        3823.80         611.82
1973    27       19520.83       20514.39       21283.00        4981.07         905.56
1973    28       16729.02       18922.56       23475.63        6116.50        1298.14
1973    29       14161.83       16526.91       24300.14        7267.39        1711.23
1973    30       11892.16       13995.41       23696.16        7991.43        2026.46
1973    31        9694.87       11590.01       22149.91        8303.30        2385.08
1973    32        7772.32        9565.08       19936.02        8282.71        2696.00
1973    33        7389.60        9142.62       20201.06        9218.06        3196.94
1973    34        6910.30        8587.21       19746.82        9606.17        3626.24
1973    35        6389.30        7883.89       18522.64        9679.68        3986.81
1973    36        6096.80        7508.34       17521.07        9611.47        4354.08
1973    37        5841.95        7314.17       16892.09        9342.05        4653.27
1973    38        5600.52        7148.10       16088.50        9195.38        4960.35
1973    39        5516.97        7249.52       15504.56        9038.43        5206.34
1973    40        5656.81        7550.09       15518.91        9090.29        5415.33
1973    41        5940.50        8040.86       15686.13        9155.99        5803.05
1973    42        6369.11        8618.92       15997.03        9083.45        5981.62
1973    43        6602.46        8753.79       15581.75        8824.40        5837.03
1973    44        6871.64        9107.05       15574.11        8837.69        6006.44
1973    45        7013.64        9390.24       15453.75        8625.22        6038.10
1973    46        7503.97        9927.79       15645.67        8610.18        6058.89
1973    47        8014.67       10360.99       15816.67        8582.68        6067.69
1973    48        8493.77       10764.27       16024.19        8614.93        6128.84
1973    49        8938.26       11103.52       16183.61        8778.41        6209.18
1973    50        9170.96       11365.43       15954.61        8689.29        6297.10
1973    51       10100.89       12344.92       16790.03        9008.36        6711.72
1973    52       10767.67       13039.65       17370.54        9337.47        6941.35
1973    53       10704.43       12752.08       16883.27        9230.17        6923.49
1973    54        9347.10       10779.15       14116.01        7799.34        5970.17
1973    55        9770.27       11155.13       14342.94        7947.02        6125.78
1974    12       52033.83           0.00           0.00           0.00           0.00
1974    13       50801.07           0.50           0.00           0.00           0.00
1974    14       50662.36           5.46           0.00           0.00           0.00
1974    15       51287.04          71.02           0.00           0.00           0.00
1974    16       51740.54         381.69           3.96           0.00           0.00
1974    17       51356.84        1347.35          31.11           0.00           0.00
1974    18       49572.62        3173.37         155.97           1.99           0.00
1974    19       46505.95        5704.77         500.65          15.58           0.00
1974    20       43838.93        8800.18        1250.18          55.78           1.97
1974    21       40839.19       12073.93        2520.53         162.45           9.54
1974    22       36304.63       14379.07        4442.21         364.89          26.56
1974    23       32759.91       16667.12        7083.24         785.73          58.91
1974    24       29599.15       18957.97       10426.83        1482.28         136.77
1974    25       26250.96       20521.84       14335.53        2451.15         286.57
1974    26       22429.64       20866.17       17868.58        3549.03         509.18
1974    27       19457.84       20367.01       21220.72        4883.12         836.84
1974    28       16805.55       19145.87       23772.27        6126.74        1171.56
1974    29       14608.62       17388.46       25473.31        7298.46        1609.18
1974    30       12609.20       15104.99       25679.60        8360.03        2052.03
1974    31       10788.89       12919.31       24506.01        8919.65        2353.10
1974    32        8931.14       10811.48       22554.72        9041.37        2691.88
1974    33        7263.88        8973.84       20096.84        8832.36        2968.59
1974    34        6995.39        8656.72       20252.65        9639.73        3473.69
1974    35        6610.65        8219.31       19781.44        9919.56        3880.72
1974    36        6156.35        7645.49       18485.24        9893.40        4201.40
1974    37        5912.85        7363.62       17481.19        9727.02        4535.89
1974    38        5691.64        7220.02       16856.10        9411.24        4789.20
1974    39        5500.14        7084.04       16023.83        9245.92        5063.88
1974    40        5453.92        7196.71       15460.17        9057.16        5293.05
1974    41        5611.28        7504.89       15498.76        9085.32        5478.39
1974    42        5904.30        8002.29       15658.66        9133.57        5835.37
1974    43        6344.45        8593.34       15973.62        9064.21        6002.68
1974    44        6582.47        8727.07       15550.47        8808.00        5841.35
1974    45        6854.26        9085.27       15543.81        8821.10        6002.29
1974    46        6996.17        9373.66       15423.49        8606.15        6031.92
1974    47        7483.62        9905.79       15606.56        8589.75        6047.58
1974    48        7995.16       10335.77       15776.67        8561.81        6054.41
1974    49        8470.79       10735.14       15980.33        8591.11        6113.26
1974    50        8910.00       11068.41       16132.44        8750.66        6189.55
1974    51        9140.61       11327.81       15901.81        8660.53        6276.26
1974    52       10066.10       12302.41       16732.20        8977.34        6688.61
1974    53       10723.22       12985.81       17298.82        9298.92        6912.69
1974    54       10656.32       12694.77       16807.39        9188.69        6892.38
