Sweden, Female exposure to risk by calendar year, age and parity (based on parity distribution from population register)
Last modified: 14/04/2023
Year   Age            E0x            E1x            E2x            E3x           E4px
1970    12       51880.06           0.00           0.00           0.00           0.00
1970    13       52343.66           2.00           0.00           0.00           0.00
1970    14       52174.96          18.91           0.00           0.00           0.00
1970    15       51563.99         126.18           1.25           0.00           0.00
1970    16       52197.27         539.68           7.36           0.00           0.00
1970    17       52695.70        1626.76          48.12           1.49           0.00
1970    18       50460.45        3716.19         215.25           5.63           0.24
1970    19       48945.66        6880.53         708.01          32.33           0.49
1970    20       47405.48       10699.82        1865.73         106.27           3.88
1970    21       44881.71       14449.20        3991.24         321.49          19.43
1970    22       40768.13       17149.07        6623.66         706.06          63.87
1970    23       36715.46       19272.22        9661.79        1339.25         168.00
1970    24       31994.93       20573.47       12635.59        2109.86         307.41
1970    25       27166.19       20824.18       15435.66        3041.61         519.70
1970    26       22165.50       19759.79       17603.49        4102.41         770.76
1970    27       17714.33       17679.92       18685.02        4880.60        1055.89
1970    28       13697.79       14983.26       18814.06        5544.77        1416.73
1970    29       10512.37       12257.04       18012.23        6067.20        1745.06
1970    30        9510.24       11360.62       19149.00        7194.18        2222.47
1970    31        8508.38       10320.31       19236.73        7950.14        2705.75
1970    32        7586.10        9182.60       18327.03        8424.98        3138.39
1970    33        6998.86        8422.89       17585.75        8666.03        3582.09
1970    34        6530.96        7997.27       17004.23        8706.96        3967.45
1970    35        6111.58        7671.23       16214.75        8805.66        4345.11
1970    36        5911.23        7630.22       15657.26        8796.05        4703.14
1970    37        5955.60        7831.66       15623.04        8941.14        5015.38
1970    38        6175.09        8227.24       15800.86        9069.47        5480.80
1970    39        6559.71        8749.33       16132.23        9042.52        5762.43
1970    40        6732.58        8854.49       15657.83        8820.65        5685.52
1970    41        6969.20        9191.86       15656.86        8861.40        5915.25
1970    42        7090.12        9447.21       15552.21        8650.93        5999.20
1970    43        7572.86        9989.27       15751.32        8653.40        6053.53
1970    44        8081.89       10434.73       15928.83        8644.12        6088.76
1970    45        8559.71       10844.11       16140.68        8679.76        6163.65
1970    46        9010.33       11192.80       16306.59        8844.75        6254.12
1970    47        9246.62       11457.87       16084.16        8759.53        6345.58
1970    48       10196.79       12458.72       16946.89        9094.63        6772.34
1970    49       10877.38       13171.37       17546.69        9432.16        7011.74
1970    50       10825.87       12896.74       17074.80        9334.88        7002.03
1970    51        9460.83       10910.31       14287.77        7894.73        6042.33
1970    52       10129.29       11424.14       14439.44        7845.09        6147.64
1970    53       10732.69       11672.29       14297.59        7676.35        6058.53
1970    54       11089.06       11582.79       13848.93        7499.81        5930.58
1970    55       11710.73       11894.61       13953.72        7537.20        6080.98
1971    12       51368.30           0.00           0.00           0.00           0.00
1971    13       52026.41           2.24           0.00           0.00           0.00
1971    14       52440.94          23.03           0.00           0.00           0.00
1971    15       52295.26         128.22           0.75           0.00           0.00
1971    16       51490.55         558.45           9.75           0.00           0.00
1971    17       51561.19        1650.44          46.59           0.24           0.00
1971    18       51251.67        3601.81         189.37           6.72           0.50
1971    19       48255.40        6291.31         627.50          24.45           0.99
1971    20       45959.14        9694.52        1607.45          91.09           3.67
1971    21       43738.25       13335.02        3442.66         250.31          15.22
1971    22       40720.20       16593.46        6272.71         623.26          49.50
1971    23       36286.94       18849.00        9303.00        1199.09         126.13
1971    24       32026.29       20613.50       12537.58        2041.04         276.27
1971    25       27426.41       21375.55       15595.92        2955.92         476.54
1971    26       23087.23       20951.07       18317.63        3984.67         755.26
1971    27       18859.39       19233.08       20206.32        5114.08        1069.23
1971    28       15232.40       16718.67       20852.95        5896.10        1373.03
1971    29       12008.82       13861.31       20466.33        6497.71        1734.68
1971    30        9354.89       11257.63       19063.66        6880.48        2070.45
1971    31        8621.52       10483.93       19806.00        7986.80        2571.15
1971    32        7870.23        9581.51       19632.83        8670.51        3058.67
1971    33        7101.21        8624.67       18510.68        8992.44        3469.66
1971    34        6629.51        8038.25       17648.81        9118.72        3900.81
1971    35        6250.42        7710.30       16977.11        9049.07        4266.24
1971    36        5914.13        7471.14       16171.75        9048.18        4610.62
1971    37        5743.58        7480.25       15608.35        8951.41        4925.20
1971    38        5824.66        7720.81       15607.69        9048.18        5217.68
1971    39        6075.62        8148.89       15775.56        9142.80        5651.15
1971    40        6481.13        8702.92       16098.45        9104.25        5881.04
1971    41        6681.00        8822.63       15641.66        8860.16        5772.07
1971    42        6935.99        9172.83       15642.43        8878.64        5980.45
1971    43        7071.57        9442.63       15529.99        8656.01        6039.78
1971    44        7564.06        9975.20       15733.94        8652.69        6076.48
1971    45        8080.53       10405.97       15902.52        8626.11        6100.48
1971    46        8564.37       10826.82       16121.54        8659.34        6176.99
1971    47        8996.92       11178.27       16284.27        8828.47        6253.76
1971    48        9235.48       11441.63       16054.75        8743.19        6333.92
1971    49       10178.09       12428.25       16907.97        9070.39        6758.31
1971    50       10850.87       13135.23       17505.90        9411.84        6997.87
1971    51       10808.20       12847.81       17024.99        9308.79        6980.92
1971    52        9445.49       10869.13       14247.91        7867.18        6028.23
1971    53       10097.23       11378.32       14390.13        7813.36        6124.61
1971    54       10682.81       11624.53       14240.01        7648.21        6030.60
1971    55       10939.00       11538.16       13856.21        7508.54        5901.61
1972    12       50697.38           0.00           0.00           0.00           0.00
1972    13       51372.53           3.25           0.00           0.00           0.00
1972    14       52016.71          17.61           0.00           0.00           0.00
1972    15       52396.16         130.64           1.75           0.00           0.00
1972    16       51994.06         552.47          10.70           0.00           0.00
1972    17       50628.28        1605.13          48.94           1.25           0.00
1972    18       49790.31        3524.78         183.92           4.46           0.00
1972    19       48507.16        6189.65         563.05          26.22           1.75
1972    20       44776.04        9086.04        1430.31          74.03           4.21
1972    21       41864.69       12356.90        3016.34         210.17          13.28
1972    22       39142.80       15599.45        5470.21         514.55          39.26
1972    23       35804.58       18390.53        8775.42        1079.39         101.75
1972    24       31324.31       20140.36       12071.40        1841.34         221.07
1972    25       27230.42       21284.49       15451.21        2864.35         422.21
1972    26       23090.68       21366.31       18511.06        3907.03         679.28
1972    27       19481.70       20289.77       21035.16        5016.19        1022.03
1972    28       16150.01       18093.64       22477.65        6156.02        1390.35
1972    29       13254.73       15449.33       22549.54        6930.88        1705.08
1972    30       10613.53       12695.23       21567.30        7425.46        2064.93
1972    31        8405.75       10327.31       19691.05        7619.18        2390.15
1972    32        7903.55        9732.35       20131.78        8666.07        2899.39
1972    33        7317.85        8989.50       19779.73        9225.53        3365.57
1972    34        6669.48        8188.24       18563.55        9412.91        3746.09
1972    35        6297.07        7737.15       17607.11        9436.24        4152.22
1972    36        6002.63        7483.10       16923.71        9269.00        4493.69
1972    37        5735.73        7283.24       16101.46        9188.64        4811.77
1972    38        5601.80        7352.10       15547.09        9039.28        5095.81
1972    39        5702.42        7632.39       15561.81        9086.30        5351.43
1972    40        5978.58        8085.08       15740.17        9165.27        5753.51
1972    41        6405.12        8652.88       16061.34        9113.45        5948.41
1972    42        6631.63        8782.58       15611.11        8859.65        5811.80
1972    43        6897.47        9142.74       15606.80        8871.32        6004.04
1972    44        7032.78        9422.49       15486.04        8647.43        6045.89
1972    45        7530.35        9947.65       15691.95        8638.36        6070.35
1972    46        8051.70       10381.29       15869.22        8603.57        6093.61
1972    47        8531.04       10798.90       16079.52        8630.69        6163.70
1972    48        8954.56       11137.80       16233.97        8796.19        6232.32
1972    49        9204.96       11406.09       16014.04        8719.84        6316.37
1972    50       10144.80       12380.31       16860.20        9045.46        6740.34
1972    51       10799.90       13077.45       17451.51        9386.33        6976.37
1972    52       10762.58       12786.28       16964.23        9280.24        6955.02
1972    53        9396.67       10810.32       14191.74        7833.90        6003.54
1972    54       10035.47       11318.74       14335.50        7783.82        6096.07
1972    55       10490.11       11554.31       14272.88        7639.03        6040.37
1973    12       50804.56           0.00           0.00           0.00           0.00
1973    13       50664.22           1.49           0.00           0.00           0.00
1973    14       51319.56          18.75           0.00           0.00           0.00
1973    15       51917.08         111.77           0.49           0.00           0.00
1973    16       52052.51         524.40           8.51           0.00           0.00
1973    17       51083.04        1556.38          50.76           0.50           0.00
1973    18       48933.18        3336.22         182.92           5.50           0.00
1973    19       47157.91        5930.69         550.12          20.06           0.00
1973    20       44956.33        9033.93        1316.24          72.80           3.74
1973    21       40752.49       11758.01        2687.85         182.06          11.64
1973    22       37426.66       14637.37        4833.44         437.41          30.86
1973    23       34371.45       17457.72        7750.91         925.10          78.57
1973    24       30959.07       19731.07       11376.55        1682.45         180.94
1973    25       26641.77       20842.70       14823.97        2612.68         352.18
1973    26       23002.03       21248.44       18292.12        3796.14         616.59
1973    27       19546.51       20578.87       21223.37        4942.42         913.70
1973    28       16632.12       19065.47       23415.99        6123.03        1305.24
1973    29       13997.07       16726.79       24278.76        7253.17        1711.71
1973    30       11712.09       14153.39       23756.95        7951.50        2027.68
1973    31        9548.11       11677.63       22227.56        8281.50        2388.35
1973    32        7690.96        9594.77       20005.61        8265.47        2695.32
1973    33        7345.81        9122.74       20262.50        9209.38        3207.84
1973    34        6880.16        8524.01       19802.99        9624.06        3645.53
1973    35        6347.22        7855.94       18566.18        9689.02        4003.96
1973    36        6051.49        7503.99       17546.61        9614.16        4375.50
1973    37        5810.08        7308.90       16871.45        9385.69        4667.42
1973    38        5590.58        7139.07       16045.33        9258.17        4959.71
1973    39        5487.39        7255.03       15484.18        9069.97        5219.25
1973    40        5610.19        7572.49       15512.56        9097.79        5438.38
1973    41        5908.15        8041.69       15704.08        9161.50        5811.11
1973    42        6345.51        8607.92       16015.84        9096.51        5984.36
1973    43        6595.55        8747.93       15575.83        8844.35        5835.77
1973    44        6865.68        9108.42       15563.29        8850.58        6008.97
1973    45        6998.79        9396.49       15447.23        8634.48        6043.95
1973    46        7494.65        9917.63       15646.53        8623.63        6064.07
1973    47        8010.24       10349.25       15823.44        8580.26        6079.51
1973    48        8482.68       10766.85       16031.16        8604.67        6140.64
1973    49        8918.50       11105.09       16195.55        8777.12        6216.71
1973    50        9162.66       11357.00       15967.51        8693.56        6296.67
1973    51       10089.36       12324.93       16808.22        9018.83        6714.58
1973    52       10733.52       13019.76       17392.89        9359.00        6951.52
1973    53       10693.71       12724.78       16897.01        9249.38        6928.58
1973    54        9338.89       10754.51       14132.06        7805.90        5980.40
1973    55        9858.49       11201.50       14318.90        7853.84        6108.42
1974    12       52033.83           0.00           0.00           0.00           0.00
1974    13       50799.56           2.02           0.00           0.00           0.00
1974    14       50655.66          11.91           0.25           0.00           0.00
1974    15       51257.49          99.32           1.25           0.00           0.00
1974    16       51654.66         465.09           6.43           0.00           0.00
1974    17       51221.32        1471.03          42.70           0.25           0.00
1974    18       49408.02        3307.51         184.21           4.22           0.00
1974    19       46418.27        5748.08         539.67          20.19           0.75
1974    20       43884.13        8702.45        1292.41          65.58           2.48
1974    21       41001.17       11849.39        2570.56         174.03          10.50
1974    22       36526.73       14126.53        4454.45         379.92          29.73
1974    23       33006.84       16435.48        7048.21         798.60          65.79
1974    24       29865.55       18810.12       10299.66        1482.00         145.67
1974    25       26528.48       20467.53       14114.88        2441.14         294.02
1974    26       22687.96       20822.01       17657.85        3536.18         518.58
1974    27       19578.08       20442.52       21059.50        4838.65         846.77
1974    28       16824.63       19271.79       23673.39        6069.99        1182.19
1974    29       14501.63       17599.74       25390.34        7274.20        1612.12
1974    30       12394.45       15352.36       25664.86        8344.80        2049.38
1974    31       10563.98       13044.19       24616.70        8905.16        2356.94
1974    32        8760.38       10866.71       22665.81        9040.08        2697.61
1974    33        7170.09        9007.48       20166.82        8809.96        2981.13
1974    34        6926.07        8660.08       20309.95        9624.02        3498.07
1974    35        6562.88        8186.80       19824.86        9934.59        3902.55
1974    36        6112.03        7619.50       18546.93        9886.19        4217.23
1974    37        5867.35        7349.53       17525.50        9716.04        4562.14
1974    38        5666.64        7201.70       16848.90        9434.45        4816.51
1974    39        5488.93        7062.76       16006.84        9284.89        5074.39
1974    40        5417.87        7201.03       15453.27        9081.97        5306.88
1974    41        5564.80        7529.91       15489.70        9096.09        5498.15
1974    42        5864.96        8011.10       15673.26        9141.96        5842.91
1974    43        6310.24        8591.03       15990.47        9077.82        6008.74
1974    44        6575.04        8723.68       15542.33        8821.09        5847.22
1974    45        6851.54        9083.03       15531.68        8831.92        6008.56
1974    46        6981.26        9372.47       15418.94        8617.78        6040.96
1974    47        7471.09        9890.25       15606.36        8606.86        6058.74
1974    48        7987.21       10319.90       15783.97        8562.46        6070.30
1974    49        8455.81       10734.45       15992.14        8583.48        6124.76
1974    50        8883.75       11064.44       16147.51        8754.42        6200.93
1974    51        9121.43       11313.97       15924.58        8667.75        6279.28
1974    52       10037.62       12280.54       16764.78        8993.47        6690.24
1974    53       10670.50       12961.42       17332.76        9327.85        6926.92
1974    54       10621.89       12661.30       16835.54        9216.63        6904.18
