Sweden, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 14/04/2023
Year    ARDY   Cohort       Exposure
1891     12     1879        24891.78
1891     13     1878        47187.63
1891     14     1877        48320.41
1891     15     1876        45995.59
1891     16     1875        45234.55
1891     17     1874        42999.58
1891     18     1873        42219.26
1891     19     1872        39932.04
1891     20     1871        40248.29
1891     21     1870        36792.73
1891     22     1869        35265.09
1891     23     1868        31706.70
1891     24     1867        34966.33
1891     25     1866        37668.30
1891     26     1865        36984.46
1891     27     1864        37353.11
1891     28     1863        36577.42
1891     29     1862        35265.40
1891     30     1861        33271.15
1891     31     1860        35297.24
1891     32     1859        35360.75
1891     33     1858        34712.50
1891     34     1857        31616.26
1891     35     1856        30157.88
1891     36     1855        29744.45
1891     37     1854        31694.38
1891     38     1853        28692.86
1891     39     1852        26845.44
1891     40     1851        27900.37
1891     41     1850        28139.28
1891     42     1849        28913.28
1891     43     1848        26783.44
1891     44     1847        25115.41
1891     45     1846        24328.55
1891     46     1845        25937.40
1891     47     1844        26913.47
1891     48     1843        25321.26
1891     49     1842        25702.47
1891     50     1841        24191.98
1891     51     1840        24812.72
1891     52     1839        22865.25
1891     53     1838        22028.29
1891     54     1837        22424.16
1891     55     1836        23204.52
1892     12     1880        24641.13
1892     13     1879        49456.98
1892     14     1878        46810.21
1892     15     1877        47807.60
1892     16     1876        45263.68
1892     17     1875        44265.60
1892     18     1874        41915.29
1892     19     1873        40972.64
1892     20     1872        38687.30
1892     21     1871        39014.13
1892     22     1870        35716.15
1892     23     1869        34294.08
1892     24     1868        30915.88
1892     25     1867        34166.29
1892     26     1866        36814.50
1892     27     1865        36183.29
1892     28     1864        36648.75
1892     29     1863        35915.00
1892     30     1862        34683.49
1892     31     1861        32769.47
1892     32     1860        34789.75
1892     33     1859        34888.75
1892     34     1858        34225.00
1892     35     1857        31209.83
1892     36     1856        29789.36
1892     37     1855        29400.94
1892     38     1854        31343.44
1892     39     1853        28370.49
1892     40     1852        26545.79
1892     41     1851        27580.31
1892     42     1850        27803.03
1892     43     1849        28599.67
1892     44     1848        26509.00
1892     45     1847        24831.57
