Sweden, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 14/04/2023
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1970     26.96     24.22     27.34     30.43     32.62     35.20     26.70     24.13     27.19     30.12     31.99     33.84
1971     26.84     24.17     27.32     30.38     32.75     35.16     26.60     24.09     27.20     30.09     32.09     33.83
1972     26.76     24.14     27.34     30.31     32.68     35.37     26.54     24.08     27.23     30.03     32.09     33.86
1973     26.73     24.16     27.37     30.25     32.88     35.36     26.54     24.11     27.28     30.02     32.19     33.98
1974     26.69     24.18     27.39     30.22     32.86     35.28     26.50     24.11     27.29     30.00     32.23     34.03
1975     26.70     24.33     27.36     30.32     32.75     35.46     26.53     24.27     27.28     30.10     32.13     34.14
1976     26.87     24.54     27.49     30.51     32.89     35.61     26.69     24.46     27.41     30.27     32.35     34.20
1977     26.98     24.69     27.53     30.59     33.03     35.61     26.81     24.63     27.45     30.35     32.39     34.20
1978     27.18     24.88     27.68     30.61     32.98     35.34     27.01     24.80     27.59     30.37     32.40     34.13
1979     27.45     25.08     27.91     30.75     33.07     35.61     27.26     25.01     27.82     30.49     32.43     34.24
1980     27.56     25.22     28.02     30.87     33.15     35.49     27.38     25.15     27.92     30.65     32.53     34.13
1981     27.72     25.34     28.18     30.94     33.22     35.54     27.52     25.27     28.07     30.69     32.57     34.17
1982     27.88     25.50     28.31     31.04     33.34     35.50     27.68     25.43     28.21     30.78     32.57     34.09
1983     28.04     25.72     28.39     31.13     33.18     35.54     27.84     25.64     28.29     30.87     32.51     34.11
1984     28.25     25.93     28.53     31.23     33.29     35.58     28.03     25.86     28.41     30.94     32.61     34.03
1985     28.36     26.02     28.66     31.22     33.07     35.47     28.14     25.93     28.53     30.95     32.51     34.11
1986     28.41     26.10     28.77     31.29     33.15     35.07     28.19     26.02     28.64     31.02     32.57     33.80
1987     28.50     26.19     28.90     31.45     33.11     35.18     28.29     26.11     28.77     31.16     32.57     34.02
1988     28.52     26.20     28.92     31.46     33.10     35.03     28.30     26.12     28.78     31.19     32.51     33.85
1989     28.56     26.26     28.93     31.52     33.25     35.06     28.34     26.19     28.79     31.20     32.64     33.99
1990     28.58     26.27     28.92     31.52     33.16     34.83     28.35     26.19     28.77     31.18     32.57     33.78
1991     28.72     26.46     28.96     31.57     33.16     34.82     28.48     26.36     28.81     31.24     32.58     33.84
1992     28.87     26.71     29.02     31.51     33.07     34.99     28.62     26.59     28.86     31.20     32.49     33.89
1993     28.98     26.92     29.09     31.50     33.10     34.83     28.72     26.79     28.92     31.18     32.47     33.76
1994     29.13     27.09     29.28     31.61     33.26     35.10     28.86     26.96     29.10     31.28     32.65     33.95
1995     29.22     27.20     29.48     31.71     33.27     35.01     28.94     27.06     29.29     31.34     32.65     33.91
1996     29.36     27.38     29.72     31.92     33.47     35.18     29.07     27.23     29.51     31.51     32.79     34.06
1997     29.47     27.50     29.89     32.02     33.51     35.28     29.16     27.34     29.67     31.63     32.77     34.06
1998     29.71     27.75     30.10     32.26     33.72     35.59     29.40     27.58     29.88     31.87     32.96     34.32
1999     29.78     27.87     30.22     32.33     33.74     35.55     29.46     27.69     29.99     31.91     33.02     34.31
2000     29.85     27.87     30.41     32.54     33.84     35.73     29.53     27.72     30.18     32.11     33.17     34.30
2001     30.00     28.13     30.54     32.71     34.09     35.83     29.67     27.95     30.29     32.28     33.31     34.47
2002     30.07     28.22     30.70     32.85     34.12     35.79     29.73     28.05     30.45     32.37     33.25     34.46
2003     30.25     28.45     30.82     32.95     34.25     35.95     29.91     28.27     30.57     32.46     33.46     34.47
2004     30.37     28.61     30.95     33.04     34.25     36.04     30.01     28.41     30.67     32.54     33.35     34.53
2005     30.45     28.66     31.05     33.10     34.43     36.14     30.09     28.46     30.79     32.59     33.47     34.60
2006     30.54     28.75     31.16     33.24     34.51     35.87     30.17     28.55     30.88     32.71     33.54     34.42
2007     30.59     28.75     31.26     33.29     34.57     36.32     30.20     28.54     30.95     32.75     33.61     34.71
2008     30.58     28.75     31.28     33.24     34.54     36.02     30.19     28.53     30.97     32.72     33.59     34.46
2009     30.68     28.87     31.37     33.36     34.64     36.05     30.27     28.63     31.05     32.79     33.55     34.51
2010     30.74     28.91     31.42     33.34     34.46     36.00     30.32     28.66     31.09     32.76     33.51     34.37
