Sweden, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 14/04/2023
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1955     27.98     25.29     28.56     31.62     33.64     35.77     27.72     25.15     28.37     31.30     33.12     34.60
1956     28.13     25.51     28.68     31.56     33.45     35.54     27.87     25.37     28.49     31.27     32.88     34.45
1957     28.33     25.80     28.88     31.58     33.33     35.47     28.07     25.65     28.68     31.29     32.79     34.37
1958     28.45     26.04     28.99     31.47     33.03     35.34     28.18     25.89     28.79     31.14     32.50     34.08
1959     28.60     26.30     29.14     31.45     33.07     35.25     28.31     26.13     28.92     31.12     32.48     33.96
1960     28.64     26.40     29.13     31.37     32.93     35.25     28.32     26.22     28.90     30.98     32.26     33.97
1961     28.71     26.59     29.24     31.36     32.85     34.74     28.38     26.38     28.99     30.96     32.17     33.60
1962     28.75     26.64     29.26     31.40     32.80     34.93     28.40     26.43     28.99     30.93     32.01     33.64
1963     28.79     26.76     29.32     31.35     32.95     35.03     28.41     26.52     29.01     30.88     32.14     33.53
1964     28.86     26.82     29.37     31.50     33.06     35.47     28.47     26.60     29.07     30.99     32.21     33.88
1965     28.93     26.89     29.43     31.66     33.18     35.38     28.51     26.64     29.11     31.10     32.27     33.72
1966     29.08     27.06     29.60     31.83     33.44     35.67     28.63     26.80     29.25     31.28     32.47     33.80
1967     29.13     27.12     29.65     31.95     33.52     35.63     28.68     26.84     29.29     31.37     32.55     33.99
1968     29.33     27.32     29.88     32.19     33.71     35.75     28.86     27.03     29.52     31.55     32.72     34.12
1969     29.50     27.50     30.07     32.38     33.77     35.80     29.03     27.21     29.68     31.78     32.77     34.21
1970     29.72     27.70     30.28     32.67     34.10     36.17     29.25     27.41     29.91     32.05     33.07     34.29
1971     30.01     28.06     30.63     32.89     34.20     35.87     29.53     27.75     30.23     32.28     33.23     34.29
1972     30.18     28.22     30.80     33.02     34.25     36.23     29.71     27.92     30.43     32.43     33.27     34.52
1973         .         .         .         .         .         .     29.96     28.19     30.74     32.64     33.36     34.63
1974         .         .         .         .         .         .     30.13     28.36     30.89     32.77     33.53     34.48
1975         .         .         .         .         .         .     30.18     28.46     30.94     32.70     33.50     34.72
1976         .         .         .         .         .         .     30.32     28.61     31.10     32.82     33.50     34.67
1977         .         .         .         .         .         .     30.35     28.62     31.13     32.87     33.54     34.66
1978         .         .         .         .         .         .     30.35     28.62     31.13     32.84     33.62     34.91
1979         .         .         .         .         .         .     30.33     28.61     31.10     32.86     33.65     34.71
1980         .         .         .         .         .         .     30.36     28.59     31.09     32.90     33.65     34.80
1981         .         .         .         .         .         .     30.31     28.59     31.07     32.85     33.73     34.74
1982         .         .         .         .         .         .     30.23     28.51     30.96     32.76     33.49     34.56
