Sweden, Parity- and age-adjusted total fertility rate
Last modified: 14/04/2023
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1970    1.951    0.864    0.693    0.287    0.078    0.029
1971    1.985    0.876    0.711    0.291    0.079    0.028
1972    1.942    0.871    0.702    0.275    0.070    0.023
1973    1.904    0.867    0.693    0.260    0.064    0.020
1974    1.901    0.868    0.697    0.256    0.061    0.018
1975    1.814    0.859    0.672    0.224    0.046    0.013
1976    1.743    0.846    0.648    0.200    0.038    0.010
1977    1.702    0.834    0.632    0.191    0.036    0.010
1978    1.659    0.818    0.611    0.184    0.036    0.010
1979    1.711    0.825    0.624    0.204    0.045    0.014
1980    1.734    0.830    0.628    0.210    0.048    0.016
1981    1.692    0.816    0.609    0.205    0.047    0.015
1982    1.678    0.808    0.601    0.205    0.047    0.016
1983    1.661    0.801    0.588    0.205    0.050    0.017
1984    1.693    0.801    0.595    0.218    0.057    0.022
1985    1.768    0.810    0.614    0.243    0.070    0.031
1986    1.827    0.823    0.634    0.260    0.077    0.034
1987    1.865    0.829    0.652    0.271    0.079    0.035
1988    1.970    0.842    0.683    0.305    0.095    0.046
1989    2.025    0.852    0.698    0.321    0.104    0.050
1990    2.133    0.867    0.725    0.351    0.123    0.067
1991    2.106    0.863    0.719    0.346    0.116    0.062
1992    2.065    0.857    0.712    0.330    0.110    0.056
1993    1.983    0.848    0.693    0.302    0.092    0.047
1994    1.897    0.835    0.678    0.274    0.076    0.034
1995    1.776    0.814    0.645    0.237    0.058    0.022
1996    1.675    0.799    0.619    0.200    0.042    0.015
1997    1.611    0.783    0.599    0.179    0.037    0.013
1998    1.603    0.781    0.594    0.179    0.037    0.014
1999    1.604    0.784    0.591    0.177    0.038    0.015
2000    1.649    0.795    0.608    0.187    0.041    0.018
2001    1.671    0.806    0.619    0.187    0.041    0.017
2002    1.741    0.825    0.650    0.201    0.045    0.020
2003    1.791    0.836    0.666    0.215    0.051    0.023
2004    1.820    0.845    0.678    0.220    0.052    0.024
2005    1.825    0.844    0.682    0.220    0.054    0.024
2006    1.892    0.860    0.704    0.239    0.060    0.029
2007    1.913    0.863    0.710    0.246    0.063    0.031
2008    1.933    0.868    0.715    0.250    0.066    0.034
2009    1.943    0.872    0.723    0.250    0.064    0.034
2010    1.979    0.876    0.732    0.262    0.069    0.039
2011    1.907    0.862    0.707    0.241    0.062    0.034
2012    1.909    0.863    0.706    0.242    0.063    0.035
2013    1.896    0.856    0.698    0.242    0.063    0.036
2014    1.887    0.848    0.687    0.241    0.067    0.043
2015    1.861    0.841    0.676    0.236    0.065    0.043
2016    1.871    0.839    0.674    0.241    0.069    0.048
2017    1.812    0.825    0.649    0.228    0.066    0.045
2018    1.784    0.818    0.641    0.224    0.062    0.039
2019    1.738    0.810    0.626    0.210    0.057    0.035
2020    1.702    0.804    0.616    0.200    0.052    0.029
2021    1.697    0.796    0.616    0.205    0.053    0.027
2022    1.574    0.775    0.570    0.170    0.040    0.019
