Sweden, Parity- and age-adjusted total fertility rate (based on parity distribution from population register)
Last modified: 14/04/2023
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1970    1.951    0.864    0.693    0.287    0.078    0.029
1971    1.985    0.876    0.710    0.291    0.079    0.028
1972    1.941    0.872    0.702    0.275    0.070    0.023
1973    1.903    0.867    0.692    0.260    0.064    0.020
1974    1.899    0.868    0.696    0.256    0.062    0.018
1975    1.812    0.859    0.670    0.224    0.046    0.013
1976    1.740    0.845    0.646    0.200    0.038    0.010
1977    1.698    0.832    0.629    0.191    0.036    0.009
1978    1.653    0.815    0.607    0.184    0.037    0.010
1979    1.704    0.820    0.619    0.205    0.045    0.014
1980    1.725    0.825    0.623    0.212    0.049    0.016
1981    1.682    0.809    0.604    0.207    0.048    0.015
1982    1.668    0.800    0.596    0.207    0.048    0.016
1983    1.651    0.792    0.584    0.207    0.051    0.017
1984    1.683    0.791    0.591    0.220    0.058    0.022
1985    1.759    0.801    0.610    0.246    0.072    0.031
1986    1.820    0.814    0.631    0.263    0.078    0.034
1987    1.859    0.820    0.650    0.274    0.080    0.035
1988    1.965    0.834    0.682    0.308    0.096    0.045
1989    2.021    0.846    0.697    0.324    0.105    0.049
1990    2.129    0.861    0.724    0.355    0.124    0.066
1991    2.102    0.857    0.718    0.349    0.117    0.061
1992    2.060    0.850    0.710    0.333    0.111    0.055
1993    1.979    0.842    0.692    0.305    0.093    0.046
1994    1.893    0.830    0.677    0.276    0.076    0.034
1995    1.773    0.810    0.645    0.239    0.058    0.021
1996    1.672    0.796    0.618    0.202    0.042    0.015
1997    1.608    0.780    0.599    0.180    0.037    0.012
1998    1.601    0.778    0.593    0.180    0.037    0.013
1999    1.601    0.782    0.590    0.177    0.038    0.014
2000    1.648    0.794    0.607    0.188    0.041    0.017
2001    1.668    0.805    0.617    0.188    0.042    0.017
2002    1.738    0.824    0.648    0.203    0.045    0.019
2003    1.787    0.835    0.664    0.216    0.052    0.022
2004    1.816    0.843    0.675    0.222    0.053    0.023
2005    1.820    0.842    0.678    0.222    0.055    0.024
2006    1.887    0.858    0.701    0.241    0.060    0.028
2007    1.909    0.861    0.707    0.248    0.063    0.029
2008    1.927    0.865    0.711    0.252    0.066    0.032
2009    1.936    0.868    0.719    0.253    0.064    0.032
2010    1.971    0.871    0.727    0.266    0.070    0.037
2011    1.899    0.856    0.703    0.245    0.063    0.032
2012    1.901    0.857    0.702    0.245    0.063    0.033
2013    1.887    0.851    0.695    0.245    0.063    0.033
2014    1.878    0.843    0.685    0.245    0.067    0.038
2015    1.853    0.837    0.675    0.239    0.064    0.037
2016    1.863    0.836    0.674    0.245    0.068    0.040
2017    1.805    0.823    0.651    0.231    0.064    0.036
2018    1.779    0.818    0.644    0.227    0.059    0.030
2019    1.735    0.810    0.630    0.212    0.055    0.028
2020    1.700    0.805    0.619    0.202    0.051    0.024
2021    1.697    0.798    0.619    0.206    0.051    0.023
2022    1.573    0.776    0.571    0.171    0.039    0.016
