Sweden, Register-based period fertility tables, birth orders 1 to 5+
Last modified: 14/04/2023
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1970    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    13   0.99996   0.00000   0.00000   10000      0   10000      0   0.00004         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    14   0.99964   0.00034   0.00034   10000      3    9998      0   0.00036   0.00000   0.00000      0      0       2      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    15   0.99753   0.00270   0.00269    9997     27    9983      3   0.00244   0.00000   0.00000      3      0      17      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    16   0.98963   0.01284   0.01275    9970    127    9906     30   0.01023   0.02038   0.02018     30      2      94      0   0.00014   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    17   0.96917   0.02996   0.02952    9842    291    9697    158   0.02992   0.02828   0.02788    156      8     299      2   0.00089   0.02078   0.02057      2      0       4      0   0.00003         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    18   0.92762   0.05018   0.04895    9552    468    9318    448   0.06832   0.05732   0.05572    438     38     659     10   0.00396   0.02323   0.02296     10      1      22      0   0.00010   0.17752   0.16305      0      0       0      0   0.00000         .         .      0      0       0      0
1970    19   0.86527   0.06722   0.06503    9084    591    8789    916   0.12164   0.09127   0.08729    868    103    1125     48   0.01252   0.05650   0.05494     48      5      84      1   0.00057   0.00000   0.00000      1      0       2      0   0.00001         .         .      0      0       0      0
1970    20   0.78902   0.08332   0.07999    8494    679    8154   1506   0.17809   0.12365   0.11645   1356    200    1616    151   0.03105   0.05199   0.05067    145     11     221      5   0.00177   0.01882   0.01865      5      0       9      0   0.00006         .         .      0      0       0      0
1970    21   0.70499   0.09472   0.09043    7814    707    7461   2186   0.22696   0.16029   0.14839   1835    329    2052    351   0.06269   0.06088   0.05908    334     28     460     17   0.00505   0.04044   0.03964     17      1      26      0   0.00031   0.10291   0.09787      0      0       1      0
1970    22   0.62422   0.11234   0.10637    7108    756    6730   2892   0.26258   0.17243   0.15874   2213    416    2415    680   0.10142   0.06869   0.06641    635     54     789     45   0.01081   0.07223   0.06971     44      5      63      1   0.00098   0.09394   0.08973      1      0       3      0
