Sweden, Period table mean ages at birth by birth order
Last modified: 14/04/2023
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1970    26.96    24.34    27.50    30.95    33.27    35.51
1971    26.82    24.19    27.39    30.77    33.27    35.24
1972    26.75    24.21    27.44    30.72    33.03    35.29
1973    26.74    24.25    27.54    30.65    33.19    35.18
1974    26.70    24.30    27.50    30.53    33.03    34.88
1975    26.75    24.53    27.68    30.72    32.98    34.96
1976    26.96    24.89    27.94    30.98    33.13    35.07
1977    27.10    25.15    28.03    31.05    33.16    34.95
1978    27.35    25.48    28.25    31.08    33.05    34.60
1979    27.58    25.64    28.39    31.17    33.15    34.90
1980    27.68    25.74    28.45    31.19    33.22    34.98
1981    27.87    25.98    28.65    31.24    33.30    35.12
1982    28.03    26.19    28.76    31.30    33.42    35.14
1983    28.21    26.45    28.88    31.32    33.30    35.23
1984    28.40    26.62    28.97    31.36    33.40    35.45
1985    28.47    26.63    28.94    31.23    33.09    35.40
1986    28.49    26.61    28.90    31.20    33.20    35.25
1987    28.55    26.62    28.92    31.34    33.26    35.50
1988    28.53    26.48    28.76    31.21    33.14    35.37
1989    28.57    26.43    28.76    31.24    33.25    35.52
1990    28.56    26.29    28.62    31.16    33.10    35.27
1991    28.72    26.51    28.81    31.36    33.23    35.43
1992    28.91    26.84    29.02    31.49    33.20    35.53
1993    29.06    27.14    29.28    31.66    33.32    35.40
1994    29.23    27.42    29.55    31.93    33.62    35.75
1995    29.39    27.72    29.88    32.17    33.66    35.46
1996    29.59    28.02    30.23    32.53    33.89    35.53
1997    29.74    28.24    30.48    32.62    33.82    35.33
1998    29.99    28.51    30.72    32.84    33.95    35.50
1999    30.08    28.63    30.83    32.77    33.70    35.21
2000    30.05    28.48    30.85    32.85    33.66    35.15
2001    30.23    28.68    31.05    32.95    33.88    35.33
2002    30.23    28.59    31.06    33.01    33.88    35.15
2003    30.39    28.72    31.17    33.10    33.99    35.42
2004    30.50    28.83    31.27    33.17    34.01    35.49
2005    30.56    28.88    31.30    33.20    34.19    35.69
2006    30.59    28.84    31.29    33.29    34.33    35.56
2007    30.64    28.81    31.36    33.30    34.38    36.05
2008    30.61    28.76    31.35    33.21    34.35    35.80
2009    30.70    28.84    31.43    33.39    34.52    35.82
2010    30.74    28.86    31.42    33.36    34.40    35.85
2011    30.89    29.10    31.61    33.54    34.46    35.92
2012    30.92    29.16    31.60    33.56    34.50    36.00
2013    31.01    29.29    31.70    33.50    34.45    35.71
2014    31.08    29.42    31.70    33.40    34.39    35.74
2015    31.11    29.49    31.72    33.40    34.24    35.69
2016    31.16    29.50    31.73    33.44    34.32    36.03
2017    31.27    29.70    31.85    33.46    34.40    36.14
2018    31.26    29.72    31.83    33.54    34.43    35.98
2019    31.44    29.98    31.99    33.67    34.76    36.54
2020    31.53    30.13    32.09    33.80    34.98    36.70
2021    31.67    30.26    32.23    33.93    35.06    36.87
2022    31.83    30.56    32.43    34.11    35.40    37.26
