Sweden, Period table mean ages at birth by birth order (based on parity distribution from population register)
Last modified: 14/04/2023
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1970    26.96    24.34    27.50    30.95    33.27    35.51
1971    26.82    24.19    27.40    30.77    33.26    35.23
1972    26.75    24.22    27.44    30.71    33.02    35.30
1973    26.74    24.27    27.54    30.63    33.17    35.18
1974    26.70    24.32    27.49    30.51    33.01    34.90
1975    26.75    24.56    27.67    30.69    32.95    34.98
1976    26.96    24.91    27.93    30.95    33.13    35.13
1977    27.10    25.17    28.00    31.02    33.16    35.02
1978    27.34    25.51    28.22    31.03    33.04    34.65
1979    27.57    25.66    28.35    31.12    33.13    34.92
1980    27.67    25.76    28.40    31.14    33.21    35.00
1981    27.85    25.99    28.59    31.19    33.29    35.14
1982    28.01    26.19    28.69    31.25    33.41    35.15
1983    28.19    26.43    28.81    31.28    33.29    35.27
1984    28.38    26.59    28.92    31.33    33.41    35.49
1985    28.45    26.60    28.88    31.20    33.10    35.45
1986    28.47    26.56    28.86    31.19    33.21    35.33
1987    28.54    26.56    28.89    31.34    33.29    35.56
1988    28.52    26.42    28.73    31.22    33.18    35.45
1989    28.56    26.37    28.74    31.26    33.30    35.61
1990    28.55    26.23    28.61    31.18    33.15    35.37
1991    28.71    26.46    28.80    31.37    33.28    35.51
1992    28.90    26.79    29.01    31.50    33.23    35.61
1993    29.05    27.09    29.27    31.67    33.35    35.42
1994    29.22    27.37    29.55    31.95    33.65    35.78
1995    29.38    27.67    29.89    32.20    33.71    35.52
1996    29.58    27.97    30.24    32.56    33.92    35.56
1997    29.73    28.20    30.49    32.64    33.87    35.35
1998    29.99    28.47    30.72    32.87    34.00    35.56
1999    30.07    28.60    30.84    32.80    33.74    35.24
2000    30.06    28.46    30.87    32.90    33.79    35.35
2001    30.23    28.66    31.05    32.98    33.96    35.44
2002    30.23    28.58    31.05    33.03    33.95    35.28
2003    30.39    28.71    31.16    33.11    34.05    35.48
2004    30.49    28.82    31.25    33.18    34.06    35.54
2005    30.55    28.86    31.29    33.22    34.25    35.74
2006    30.58    28.82    31.27    33.30    34.38    35.63
2007    30.62    28.78    31.35    33.33    34.46    36.16
2008    30.59    28.73    31.32    33.24    34.43    35.95
2009    30.68    28.80    31.40    33.42    34.61    35.99
2010    30.72    28.82    31.38    33.38    34.47    35.98
2011    30.87    29.05    31.57    33.56    34.55    36.04
2012    30.90    29.11    31.56    33.60    34.62    36.17
2013    30.99    29.24    31.66    33.56    34.60    35.95
2014    31.06    29.36    31.67    33.45    34.55    36.00
2015    31.09    29.43    31.70    33.50    34.45    35.96
2016    31.14    29.44    31.73    33.55    34.57    36.34
2017    31.26    29.62    31.87    33.63    34.72    36.52
2018    31.26    29.65    31.86    33.73    34.78    36.32
2019    31.43    29.91    32.03    33.85    35.06    36.76
2020    31.53    30.06    32.14    33.95    35.22    36.82
2021    31.67    30.21    32.28    34.07    35.25    36.93
2022    31.82    30.51    32.49    34.23    35.53    37.25
