Sweden, Cohort parity progression ratios
Last modified: 14/04/2023
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1955      0.872     0.829     0.432     0.286
1956      0.870     0.830     0.438     0.293
1957      0.870     0.838     0.439     0.290
1958      0.870     0.837     0.442     0.287
1959      0.866     0.840     0.440     0.292
1960      0.866     0.845     0.440     0.294
1961      0.862     0.844     0.422     0.297
1962      0.863     0.845     0.424     0.291
1963      0.867     0.846     0.408     0.294
1964      0.866     0.843     0.403     0.278
1965      0.869     0.844     0.396     0.282
1966      0.871     0.845     0.383     0.274
1967      0.872     0.840     0.378     0.273
1968      0.877     0.837     0.372     0.277
1969      0.877     0.837     0.366     0.273
1970      0.879     0.838     0.368     0.271
1971      0.878     0.833     0.361     0.263
1972      0.875     0.835     0.364     0.264
