Sweden, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 14/04/2023
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1970     1.920     0.806     0.682     0.287     0.092     0.054     1.887     0.802     0.675     0.279     0.086     0.045
1971     1.961     0.853     0.688     0.283     0.089     0.049     1.931     0.849     0.682     0.276     0.083     0.041
1972     1.913     0.842     0.676     0.271     0.081     0.043     1.886     0.839     0.671     0.264     0.076     0.035
1973     1.867     0.833     0.658     0.262     0.076     0.039     1.844     0.830     0.654     0.256     0.071     0.033
1974     1.876     0.838     0.678     0.254     0.071     0.034     1.853     0.834     0.673     0.249     0.067     0.029
1975     1.769     0.799     0.650     0.230     0.061     0.031     1.750     0.796     0.646     0.225     0.057     0.026
1976     1.682     0.751     0.635     0.214     0.056     0.027     1.663     0.747     0.631     0.210     0.052     0.022
1977     1.645     0.719     0.638     0.210     0.054     0.025     1.627     0.716     0.635     0.206     0.050     0.021
1978     1.600     0.681     0.625     0.216     0.055     0.024     1.581     0.678     0.621     0.211     0.052     0.020
1979     1.658     0.697     0.632     0.242     0.061     0.026     1.636     0.694     0.627     0.236     0.057     0.022
1980     1.680     0.715     0.626     0.248     0.064     0.027     1.659     0.712     0.622     0.243     0.060     0.022
1981     1.636     0.688     0.607     0.253     0.063     0.025     1.613     0.685     0.602     0.247     0.059     0.021
1982     1.627     0.678     0.604     0.256     0.064     0.025     1.603     0.675     0.599     0.250     0.059     0.021
1983     1.614     0.667     0.594     0.261     0.068     0.025     1.591     0.664     0.589     0.254     0.063     0.020
1984     1.658     0.673     0.607     0.275     0.075     0.028     1.631     0.670     0.602     0.268     0.069     0.023
1985     1.740     0.706     0.622     0.298     0.083     0.031     1.713     0.702     0.616     0.290     0.078     0.026
1986     1.800     0.747     0.632     0.303     0.086     0.032     1.772     0.743     0.626     0.295     0.080     0.027
1987     1.844     0.770     0.653     0.301     0.086     0.034     1.815     0.766     0.646     0.292     0.081     0.029
1988     1.967     0.818     0.697     0.321     0.093     0.037     1.936     0.814     0.690     0.313     0.087     0.032
1989     2.020     0.851     0.701     0.331     0.099     0.039     1.986     0.846     0.693     0.321     0.092     0.034
1990     2.140     0.897     0.739     0.348     0.110     0.046     2.103     0.892     0.731     0.337     0.103     0.040
1991     2.113     0.867     0.738     0.351     0.109     0.048     2.075     0.861     0.730     0.340     0.102     0.042
1992     2.077     0.825     0.751     0.342     0.112     0.048     2.037     0.818     0.741     0.332     0.105     0.041
1993     1.982     0.785     0.721     0.323     0.103     0.050     1.943     0.779     0.712     0.313     0.096     0.044
1994     1.883     0.745     0.700     0.298     0.094     0.047     1.844     0.738     0.690     0.288     0.087     0.040
1995     1.731     0.697     0.642     0.271     0.081     0.040     1.694     0.690     0.632     0.261     0.076     0.035
1996     1.600     0.665     0.593     0.235     0.070     0.038     1.564     0.659     0.582     0.226     0.064     0.032
1997     1.528     0.642     0.568     0.217     0.066     0.034     1.491     0.635     0.558     0.208     0.061     0.029
1998     1.517     0.637     0.559     0.220     0.065     0.036     1.479     0.629     0.549     0.211     0.060     0.030
1999     1.512     0.650     0.546     0.217     0.064     0.035     1.473     0.642     0.535     0.208     0.059     0.029
2000     1.559     0.697     0.540     0.220     0.065     0.037     1.518     0.689     0.529     0.210     0.060     0.031
2001     1.580     0.716     0.552     0.214     0.063     0.035     1.537     0.706     0.540     0.205     0.058     0.028
2002     1.665     0.770     0.583     0.216     0.062     0.034     1.619     0.759     0.570     0.205     0.056     0.028
2003     1.731     0.791     0.612     0.227     0.066     0.034     1.681     0.781     0.598     0.215     0.060     0.028
2004     1.771     0.807     0.636     0.230     0.064     0.035     1.717     0.795     0.620     0.217     0.057     0.028
2005     1.787     0.808     0.653     0.228     0.065     0.033     1.733     0.796     0.638     0.215     0.058     0.027
2006     1.869     0.850     0.679     0.240     0.066     0.035     1.811     0.837     0.662     0.226     0.058     0.028
2007     1.892     0.863     0.680     0.248     0.066     0.035     1.828     0.849     0.660     0.233     0.059     0.028
2008     1.917     0.879     0.685     0.249     0.067     0.037     1.853     0.865     0.665     0.235     0.059     0.029
2009     1.937     0.883     0.705     0.247     0.066     0.037     1.868     0.867     0.683     0.231     0.057     0.030
2010     1.987     0.888     0.732     0.259     0.068     0.039     1.914     0.871     0.709     0.243     0.060     0.031
2011     1.900     0.836     0.710     0.248     0.068     0.038     1.827     0.819     0.687     0.231     0.060     0.030
2012     1.905     0.836     0.712     0.250     0.068     0.039     1.831     0.818     0.689     0.232     0.060     0.031
2013     1.888     0.814     0.709     0.258     0.068     0.039     1.814     0.796     0.686     0.241     0.059     0.032
2014     1.880     0.793     0.708     0.263     0.073     0.043     1.803     0.775     0.682     0.246     0.064     0.035
2015     1.848     0.782     0.690     0.259     0.073     0.045     1.773     0.763     0.665     0.242     0.065     0.037
2016     1.853     0.783     0.680     0.266     0.077     0.048     1.772     0.764     0.654     0.247     0.069     0.039
2017     1.784     0.750     0.649     0.259     0.077     0.048     1.702     0.731     0.624     0.240     0.068     0.039
2018     1.756     0.745     0.641     0.251     0.073     0.045     1.678     0.727     0.616     0.233     0.065     0.038
2019     1.710     0.725     0.628     0.239     0.072     0.046     1.626     0.704     0.602     0.220     0.063     0.037
2020     1.669     0.717     0.610     0.228     0.069     0.044     1.588     0.696     0.586     0.212     0.060     0.035
2021     1.673     0.706     0.622     0.236     0.068     0.041     1.591     0.687     0.595     0.217     0.059     0.032
2022     1.525     0.666     0.554     0.207     0.061     0.038     1.445     0.644     0.530     0.190     0.052     0.029
