Sweden, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 14/04/2023
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1955     2.034     0.872     0.723     0.312     0.089     0.037     1.996     0.865     0.713     0.303     0.084     0.031
1956     2.042     0.870     0.722     0.316     0.092     0.041     2.003     0.862     0.711     0.307     0.087     0.036
1957     2.053     0.870     0.729     0.320     0.093     0.041     2.013     0.862     0.718     0.311     0.088     0.035
1958     2.057     0.870     0.728     0.322     0.093     0.045     2.016     0.861     0.717     0.312     0.087     0.038
1959     2.048     0.866     0.727     0.320     0.093     0.042     2.005     0.857     0.715     0.310     0.088     0.035
1960     2.058     0.866     0.731     0.322     0.095     0.045     2.011     0.855     0.718     0.310     0.088     0.038
1961     2.030     0.862     0.728     0.307     0.091     0.042     1.981     0.850     0.714     0.296     0.085     0.037
1962     2.036     0.863     0.729     0.310     0.090     0.043     1.982     0.852     0.714     0.296     0.083     0.037
1963     2.028     0.867     0.733     0.299     0.088     0.041     1.971     0.854     0.716     0.287     0.081     0.034
1964     2.014     0.866     0.731     0.294     0.082     0.041     1.957     0.854     0.714     0.280     0.075     0.033
1965     2.014     0.869     0.733     0.290     0.082     0.040     1.952     0.855     0.714     0.275     0.074     0.033
1966     2.005     0.871     0.736     0.282     0.077     0.038     1.938     0.856     0.716     0.267     0.069     0.030
1967     1.997     0.872     0.733     0.277     0.076     0.039     1.929     0.856     0.712     0.262     0.068     0.031
1968     1.997     0.877     0.734     0.273     0.075     0.038     1.926     0.860     0.712     0.256     0.067     0.031
1969     1.993     0.877     0.733     0.268     0.073     0.042     1.921     0.859     0.710     0.252     0.065     0.034
1970     1.999     0.879     0.737     0.271     0.073     0.038     1.924     0.862     0.714     0.254     0.065     0.030
1971     1.977     0.878     0.731     0.264     0.069     0.034     1.901     0.859     0.707     0.247     0.062     0.027
1972     1.976     0.875     0.730     0.266     0.070     0.035     1.901     0.856     0.706     0.249     0.062     0.027
1973         .         .         .         .         .         .     1.879     0.854     0.701     0.239     0.058     0.027
1974         .         .         .         .         .         .     1.885     0.854     0.702     0.241     0.060     0.029
1975         .         .         .         .         .         .     1.875     0.853     0.697     0.235     0.059     0.030
1976         .         .         .         .         .         .     1.865     0.848     0.692     0.236     0.059     0.030
1977         .         .         .         .         .         .     1.866     0.849     0.690     0.236     0.059     0.032
1978         .         .         .         .         .         .     1.858     0.846     0.685     0.235     0.061     0.031
1979         .         .         .         .         .         .     1.846     0.843     0.682     0.231     0.059     0.031
1980         .         .         .         .         .         .     1.852     0.837     0.673     0.237     0.063     0.041
1981         .         .         .         .         .         .     1.834     0.837     0.673     0.231     0.060     0.032
1982         .         .         .         .         .         .     1.811     0.825     0.658     0.231     0.061     0.035
