Sweden, Total live births by birth order
Last modified: 14/04/2023
Year         Total            B1            B2            B3            B4           B5p
1970     110180.00      48388.00      39512.00      15161.00       4571.00       2548.00
1971     114538.00      51397.00      40780.00      15463.00       4548.00       2350.00
1972     112433.00      50336.00      40555.00      15210.00       4240.00       2092.00
1973     109788.00      49127.00      39623.00      15039.00       4064.00       1935.00
1974     110045.00      48676.00      40830.00      14889.00       3905.00       1745.00
1975     103759.00      46058.00      39062.00      13635.00       3410.00       1594.00
1976      98412.00      42985.00      37983.00      12817.00       3191.00       1436.00
1977      96142.00      40970.00      38001.00      12674.00       3133.00       1364.00
1978      93346.00      38641.00      36981.00      13084.00       3269.00       1371.00
1979      96387.00      39406.00      37149.00      14649.00       3672.00       1511.00
1980      97230.00      40274.00      36534.00      14964.00       3895.00       1563.00
1981      94183.00      38594.00      35130.00      15135.00       3828.00       1496.00
1982      93087.00      37921.00      34592.00      15199.00       3846.00       1529.00
1983      91879.00      37281.00      33732.00      15303.00       4081.00       1482.00
1984      94012.00      37685.00      34250.00      15958.00       4438.00       1681.00
1985      98532.00      39690.00      34973.00      17101.00       4901.00       1867.00
1986     101967.00      42262.00      35534.00      17266.00       4985.00       1920.00
1987     104798.00      43891.00      36831.00      17091.00       4984.00       2001.00
1988     112392.00      47033.00      39604.00      18254.00       5344.00       2157.00
1989     116378.00      49302.00      40264.00      18890.00       5661.00       2261.00
1990     124489.00      52471.00      42995.00      20037.00       6336.00       2650.00
1991     123824.00      51025.00      43387.00      20341.00       6287.00       2784.00
1992     122336.00      48675.00      44397.00      19994.00       6507.00       2763.00
1993     117395.00      46452.00      42955.00      19040.00       6019.00       2929.00
1994     112312.00      44216.00      42028.00      17771.00       5537.00       2760.00
1995     103483.00      41297.00      38671.00      16287.00       4855.00       2373.00
1996      95424.00      39171.00      35677.00      14177.00       4167.00       2232.00
1997      90691.00      37512.00      34052.00      13085.00       3990.00       2052.00
1998      89781.00      36959.00      33447.00      13277.00       3947.00       2151.00
1999      88999.00      37423.00      32472.00      13121.00       3898.00       2085.00
2000      91313.00      39796.00      32014.00      13282.00       3963.00       2258.00
2001      92217.00      40744.00      32538.00      12967.00       3864.00       2104.00
2002      96737.00      43568.00      34277.00      13031.00       3773.00       2088.00
2003     100206.00      44662.00      35778.00      13681.00       3999.00       2086.00
2004     102029.00      45360.00      36948.00      13741.00       3855.00       2125.00
2005     102381.00      45188.00      37720.00      13510.00       3914.00       2049.00
2006     106802.00      47479.00      39060.00      14199.00       3941.00       2123.00
2007     108173.00      48375.00      39082.00      14587.00       3962.00       2167.00
2008     109912.00      49657.00      39393.00      14667.00       3981.00       2214.00
2009     111937.00      50530.00      40707.00      14545.00       3919.00       2236.00
2010     115762.00      51558.00      42515.00      15288.00       4052.00       2349.00
2011     111690.00      49168.00      41568.00      14664.00       4022.00       2268.00
2012     113177.00      49915.00      42064.00      14804.00       4059.00       2335.00
2013     113593.00      49363.00      42450.00      15382.00       4047.00       2351.00
2014     114907.00      48957.00      43061.00      15867.00       4397.00       2625.00
2015     114870.00      49096.99      42747.00      15872.00       4433.00       2721.00
2016     117424.97      50094.97      42999.00      16571.00       4766.00       2994.00
2017     115415.97      48907.97      42032.00      16538.00       4900.00       3038.00
2018     115831.98      49374.00      42418.00      16399.00       4729.00       2912.00
2019     114523.00      48524.00      42332.00      15885.00       4774.00       3008.00
2020     113076.98      48367.97      41710.00      15457.00       4623.00       2919.00
2021     114263.00      47796.00      42892.00      16205.00       4615.00       2755.00
2022     104733.96      45037.98      38546.01      14379.98       4185.00       2585.02
