Ukraine, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 13/11/2015
Year    adjTFR
1960     2.008
1961     2.139
1962     2.180
1963     2.062
1964     2.114
1965     1.916
1966     1.957
1967     1.892
1968     1.918
1969     1.880
1970     1.977
1971     2.053
1972     2.129
1973     1.906
1974     1.805
1975     1.829
1976     1.855
1977     1.807
1978     1.781
1979     1.816
1980     1.860
1981     1.779
1982     1.811
1983     1.992
1984     1.941
1985     2.001
1986     2.096
1987     1.990
1988     1.943
1989     1.742
1990     1.672
1991     1.651
1992     1.605
1993     1.566
1994     1.473
1995     1.420
1996     1.469
1997     1.465
1998     1.428
1999     1.367
2000     1.396
2001     1.345
2002     1.371
2003     1.465
2004     1.492
2005     1.403
2006     1.469
2007     1.492
2008     1.619
2009     1.660
2010     1.580
2011     1.564
2012     1.625
