Ukraine, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 13/11/2015
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1960     2.008     0.918     0.626     0.261     0.104     0.099
1961     2.139     0.857     0.829     0.262     0.095     0.096
1962     2.180     0.965     0.747     0.274     0.099     0.094
1963     2.062     0.993     0.645     0.251     0.094     0.080
1964     2.114     1.050     0.673     0.235     0.083     0.073
1965     1.916     0.901     0.642     0.226     0.079     0.068
1966     1.957     0.918     0.654     0.229     0.083     0.072
1967     1.892     0.902     0.642     0.212     0.070     0.065
1968     1.918     0.919     0.657     0.209     0.069     0.065
1969     1.880     0.878     0.697     0.187     0.064     0.055
1970     1.977     0.904     0.750     0.200     0.065     0.057
1971     2.053     0.982     0.721     0.225     0.064     0.060
1972     2.129     1.117     0.685     0.213     0.060     0.054
1973     1.906     1.002     0.612     0.181     0.059     0.051
1974     1.805     0.913     0.608     0.169     0.061     0.055
1975     1.829     0.920     0.628     0.176     0.054     0.051
1976     1.855     0.946     0.638     0.173     0.050     0.048
1977     1.807     0.910     0.637     0.159     0.052     0.048
1978     1.781     0.917     0.629     0.143     0.046     0.046
1979     1.816     0.957     0.637     0.141     0.041     0.040
1980     1.860     0.979     0.652     0.147     0.041     0.043
1981     1.779     0.903     0.644     0.147     0.042     0.042
1982     1.811     0.923     0.660     0.145     0.046     0.037
1983     1.992     0.947     0.782     0.181     0.044     0.038
1984     1.941     0.968     0.715     0.177     0.042     0.039
1985     2.001     0.987     0.738     0.185     0.049     0.041
1986     2.096     0.980     0.804     0.209     0.057     0.046
1987     1.990     0.973     0.754     0.175     0.047     0.042
1988     1.943     0.981     0.713     0.163     0.044     0.042
1989     1.742     0.904     0.619     0.140     0.040     0.039
1990     1.672     0.917     0.560     0.127     0.034     0.034
1991     1.651     0.930     0.525     0.128     0.037     0.031
1992     1.605     0.908     0.508     0.120     0.036     0.033
1993     1.566     0.881     0.504     0.114     0.034     0.033
1994     1.473     0.854     0.460     0.103     0.031     0.026
1995     1.420     0.839     0.434     0.096     0.028     0.024
1996     1.469     0.878     0.437     0.098     0.029     0.025
1997     1.465     0.874     0.434     0.100     0.030     0.026
1998     1.428     0.861     0.417     0.095     0.029     0.026
1999     1.367     0.808     0.415     0.092     0.026     0.026
2000     1.396     0.811     0.441     0.096     0.025     0.024
2001     1.345     0.766     0.446     0.086     0.026     0.021
2002     1.371     0.762     0.474     0.090     0.025     0.020
2003     1.465     0.819     0.501     0.099     0.025     0.022
2004     1.492     0.862     0.488     0.093     0.027     0.022
2005     1.403     0.815     0.449     0.091     0.026     0.022
2006     1.469     0.822     0.489     0.104     0.029     0.025
2007     1.492     0.824     0.511     0.104     0.029     0.023
2008     1.619     0.890     0.549     0.123     0.031     0.025
2009     1.660     0.937     0.529     0.132     0.035     0.028
2010     1.580     0.847     0.528     0.137     0.038     0.030
2011     1.564     0.778     0.560     0.154     0.041     0.031
2012     1.625     0.828     0.560     0.162     0.043     0.033
