Ukraine, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 13/11/2015
Year    Age        ASFR
1959     12-    0.00000
1959     13     0.00000
1959     14     0.00005
1959     15     0.00046
1959     16     0.00221
1959     17     0.01090
1959     18     0.03732
1959     19     0.07460
1959     20     0.11647
1959     21     0.14831
1959     22     0.16629
1959     23     0.17282
1959     24     0.17546
1959     25     0.16780
1959     26     0.14723
1959     27     0.13101
1959     28     0.12128
1959     29     0.11778
1959     30     0.10599
1959     31     0.09131
1959     32     0.08095
1959     33     0.07355
1959     34     0.06769
1959     35     0.05851
1959     36     0.04970
1959     37     0.04085
1959     38     0.03252
1959     39     0.02513
1959     40     0.02057
1959     41     0.01537
1959     42     0.01053
1959     43     0.00679
1959     44     0.00421
1959     45     0.00261
1959     46     0.00174
1959     47     0.00116
1959     48     0.00077
1959     49     0.00051
1959     50     0.00033
1959     51     0.00022
1959     52     0.00016
1959     53     0.00013
1959     54     0.00011
1959     55+    0.00023
1960     12-    0.00000
1960     13     0.00000
1960     14     0.00005
1960     15     0.00042
1960     16     0.00193
1960     17     0.01077
1960     18     0.04069
1960     19     0.08219
1960     20     0.12200
1960     21     0.14795
1960     22     0.15937
1960     23     0.16267
1960     24     0.16732
1960     25     0.16365
1960     26     0.14467
1960     27     0.12938
1960     28     0.11972
1960     29     0.11547
1960     30     0.10497
1960     31     0.09024
1960     32     0.07989
1960     33     0.07255
1960     34     0.06677
1960     35     0.05737
1960     36     0.04853
1960     37     0.04020
1960     38     0.03251
1960     39     0.02556
1960     40     0.02026
1960     41     0.01514
1960     42     0.00997
1960     43     0.00605
1960     44     0.00349
1960     45     0.00221
1960     46     0.00142
1960     47     0.00093
1960     48     0.00062
1960     49     0.00042
1960     50     0.00026
1960     51     0.00017
1960     52     0.00013
1960     53     0.00010
1960     54     0.00009
1960     55+    0.00020
1961     12-    0.00000
1961     13     0.00000
1961     14     0.00005
1961     15     0.00042
1961     16     0.00208
1961     17     0.01182
1961     18     0.04508
1961     19     0.09016
1961     20     0.12444
1961     21     0.14755
1961     22     0.15589
1961     23     0.15725
1961     24     0.16140
1961     25     0.15534
1961     26     0.13656
1961     27     0.12163
1961     28     0.11211
1961     29     0.10761
1961     30     0.10050
1961     31     0.08643
1961     32     0.07574
1961     33     0.06743
1961     34     0.06051
1961     35     0.05029
1961     36     0.04154
1961     37     0.03469
1961     38     0.02890
1961     39     0.02367
1961     40     0.01912
1961     41     0.01447
1961     42     0.00932
1961     43     0.00544
1961     44     0.00298
1961     45     0.00197
1961     46     0.00123
1961     47     0.00077
1961     48     0.00048
1961     49     0.00030
1961     50     0.00017
1961     51     0.00011
1961     52     0.00008
1961     53     0.00006
1961     54     0.00005
1961     55+    0.00012
1962     12-    0.00000
1962     13     0.00000
1962     14     0.00004
1962     15     0.00039
1962     16     0.00226
1962     17     0.01246
1962     18     0.04645
1962     19     0.09316
1962     20     0.11597
1962     21     0.13963
1962     22     0.14997
1962     23     0.15388
1962     24     0.16056
1962     25     0.15617
1962     26     0.13910
1962     27     0.12433
1962     28     0.11377
1962     29     0.10736
1962     30     0.10132
1962     31     0.08619
1962     32     0.07480
1962     33     0.06611
1962     34     0.05907
1962     35     0.04835
1962     36     0.03951
1962     37     0.03337
1962     38     0.02856
1962     39     0.02416
1962     40     0.02055
1962     41     0.01569
1962     42     0.00959
1962     43     0.00516
1962     44     0.00257
1962     45     0.00168
1962     46     0.00105
1962     47     0.00066
1962     48     0.00041
1962     49     0.00026
1962     50     0.00013
1962     51     0.00008
1962     52     0.00007
1962     53     0.00007
1962     54     0.00007
1962     55+    0.00025
1963     12-    0.00000
1963     13     0.00000
1963     14     0.00005
1963     15     0.00045
1963     16     0.00277
1963     17     0.01402
1963     18     0.04872
1963     19     0.09710
1963     20     0.11375
1963     21     0.14169
1963     22     0.15566
1963     23     0.15970
1963     24     0.16179
1963     25     0.15261
1963     26     0.13304
1963     27     0.11726
1963     28     0.10696
1963     29     0.10171
1963     30     0.09792
1963     31     0.08347
1963     32     0.07254
1963     33     0.06414
1963     34     0.05727
1963     35     0.04692
1963     36     0.03852
1963     37     0.03232
1963     38     0.02728
1963     39     0.02273
1963     40     0.01828
1963     41     0.01396
1963     42     0.00915
1963     43     0.00543
1963     44     0.00304
1963     45     0.00211
1963     46     0.00129
1963     47     0.00076
1963     48     0.00043
1963     49     0.00024
1963     50     0.00012
1963     51     0.00008
1963     52     0.00005
1963     53     0.00004
1963     54     0.00003
1963     55+    0.00009
1964     12-    0.00000
1964     13     0.00000
1964     14     0.00005
1964     15     0.00045
1964     16     0.00297
1964     17     0.01371
1964     18     0.04447
1964     19     0.08839
1964     20     0.10354
1964     21     0.13417
1964     22     0.15213
1964     23     0.15812
1964     24     0.15818
1964     25     0.14910
1964     26     0.12881
1964     27     0.11281
1964     28     0.10276
1964     29     0.09814
1964     30     0.09401
1964     31     0.08025
1964     32     0.06955
1964     33     0.06110
1964     34     0.05408
1964     35     0.04401
1964     36     0.03596
1964     37     0.03007
1964     38     0.02536
1964     39     0.02117
1964     40     0.01691
1964     41     0.01303
1964     42     0.00851
1964     43     0.00501
1964     44     0.00277
1964     45     0.00186
1964     46     0.00122
1964     47     0.00071
1964     48     0.00038
1964     49     0.00016
1964     50     0.00006
1964     51     0.00003
1964     52     0.00002
1964     53     0.00003
1964     54     0.00005
1964     55+    0.00049
1965     12-    0.00000
1965     13     0.00000
1965     14     0.00005
1965     15     0.00042
1965     16     0.00279
1965     17     0.01303
1965     18     0.04263
1965     19     0.08479
1965     20     0.10157
1965     21     0.13153
1965     22     0.14850
1965     23     0.15282
1965     24     0.15037
1965     25     0.14043
1965     26     0.11966
1965     27     0.10474
1965     28     0.09696
1965     29     0.09542
1965     30     0.09101
1965     31     0.07938
1965     32     0.06944
1965     33     0.06082
1965     34     0.05312
1965     35     0.04377
1965     36     0.03555
1965     37     0.02948
1965     38     0.02462
1965     39     0.02035
1965     40     0.01556
1965     41     0.01179
1965     42     0.00815
1965     43     0.00524
1965     44     0.00319
1965     45     0.00202
1965     46     0.00119
1965     47     0.00059
1965     48     0.00027
1965     49     0.00012
1965     50     0.00006
1965     51     0.00004
1965     52     0.00002
1965     53     0.00002
1965     54     0.00001
1965     55+    0.00003
1966     12-    0.00000
1966     13     0.00000
1966     14     0.00005
1966     15     0.00047
1966     16     0.00294
1966     17     0.01372
1966     18     0.04471
1966     19     0.08819
1966     20     0.11069
1966     21     0.14205
1966     22     0.15918
1966     23     0.16297
1966     24     0.16004
1966     25     0.14799
1966     26     0.12550
1966     27     0.11005
1966     28     0.10284
1966     29     0.10269
1966     30     0.09586
1966     31     0.08458
1966     32     0.07392
1966     33     0.06397
1966     34     0.05473
1966     35     0.04625
1966     36     0.03720
1966     37     0.03033
1966     38     0.02480
1966     39     0.02009
1966     40     0.01495
1966     41     0.01119
1966     42     0.00804
1966     43     0.00553
1966     44     0.00364
1966     45     0.00233
1966     46     0.00139
1966     47     0.00070
1966     48     0.00032
1966     49     0.00014
1966     50     0.00008
1966     51     0.00004
1966     52     0.00002
1966     53     0.00001
1966     54     0.00000
1966     55+    0.00001
1967     12-    0.00000
1967     13     0.00000
1967     14     0.00005
1967     15     0.00045
1967     16     0.00278
1967     17     0.01356
1967     18     0.04573
1967     19     0.09094
1967     20     0.11846
1967     21     0.15053
1967     22     0.16640
1967     23     0.16760
1967     24     0.16167
1967     25     0.14533
1967     26     0.12126
1967     27     0.10578
1967     28     0.09964
1967     29     0.10128
1967     30     0.09346
1967     31     0.08352
1967     32     0.07316
1967     33     0.06284
1967     34     0.05295
1967     35     0.04600
1967     36     0.03665
1967     37     0.02959
1967     38     0.02396
1967     39     0.01921
1967     40     0.01425
1967     41     0.01059
1967     42     0.00740
1967     43     0.00491
1967     44     0.00312
1967     45     0.00189
1967     46     0.00115
1967     47     0.00065
1967     48     0.00035
1967     49     0.00018
1967     50     0.00014
1967     51     0.00007
1967     52     0.00003
1967     53     0.00001
1967     54     0.00000
1967     55+    0.00001
1968     12-    0.00000
1968     13     0.00000
1968     14     0.00006
1968     15     0.00051
1968     16     0.00301
1968     17     0.01472
1968     18     0.04934
1968     19     0.09576
1968     20     0.12646
1968     21     0.15565
1968     22     0.16741
1968     23     0.16559
1968     24     0.15878
1968     25     0.14406
1968     26     0.11953
1968     27     0.10403
1968     28     0.09797
1968     29     0.09956
1968     30     0.09054
1968     31     0.08104
1968     32     0.07081
1968     33     0.06048
1968     34     0.05056
1968     35     0.04431
1968     36     0.03508
1968     37     0.02835
1968     38     0.02310
1968     39     0.01867
1968     40     0.01386
1968     41     0.01028
1968     42     0.00714
1968     43     0.00467
1968     44     0.00292
1968     45     0.00172
1968     46     0.00101
1968     47     0.00051
1968     48     0.00024
1968     49     0.00011
1968     50     0.00007
1968     51     0.00004
1968     52     0.00002
1968     53     0.00001
1968     54     0.00001
1968     55+    0.00001
1969     12-    0.00000
1969     13     0.00000
1969     14     0.00006
1969     15     0.00053
1969     16     0.00300
1969     17     0.01417
1969     18     0.04639
1969     19     0.09057
1969     20     0.12486
1969     21     0.15678
1969     22     0.17106
1969     23     0.16992
1969     24     0.16151
1969     25     0.14537
1969     26     0.12014
1969     27     0.10379
1969     28     0.09671
1969     29     0.09715
1969     30     0.08797
1969     31     0.07770
1969     32     0.06786
1969     33     0.05855
1969     34     0.04981
1969     35     0.04423
1969     36     0.03552
1969     37     0.02854
1969     38     0.02278
1969     39     0.01792
