Ukraine, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 13/11/2015
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1959     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     14     0.00005     0.00005     0.00000     0.00000     0.00000     0.00000
1959     15     0.00046     0.00046     0.00000     0.00000     0.00000     0.00000
1959     16     0.00221     0.00221     0.00000     0.00000     0.00000     0.00000
1959     17     0.01090     0.01090     0.00000     0.00000     0.00000     0.00000
1959     18     0.03732     0.03696     0.00033     0.00003     0.00000     0.00000
1959     19     0.07460     0.06777     0.00634     0.00048     0.00000     0.00000
1959     20     0.11647     0.10131     0.01393     0.00122     0.00000     0.00000
1959     21     0.14831     0.12108     0.02482     0.00242     0.00000     0.00000
1959     22     0.16629     0.12562     0.03658     0.00409     0.00001     0.00000
1959     23     0.17282     0.11736     0.04846     0.00647     0.00041     0.00012
1959     24     0.17546     0.09941     0.06133     0.01020     0.00360     0.00093
1959     25     0.16780     0.08141     0.06791     0.01390     0.00356     0.00102
1959     26     0.14723     0.05898     0.06439     0.01754     0.00479     0.00152
1959     27     0.13101     0.04406     0.05891     0.02051     0.00555     0.00197
1959     28     0.12128     0.03509     0.05466     0.02276     0.00626     0.00251
1959     29     0.11778     0.02994     0.05243     0.02429     0.00766     0.00346
1959     30     0.10599     0.02307     0.04559     0.02369     0.00887     0.00477
1959     31     0.09131     0.01804     0.03776     0.02135     0.00865     0.00551
1959     32     0.08095     0.01478     0.03182     0.01955     0.00848     0.00631
1959     33     0.07355     0.01245     0.02702     0.01827     0.00851     0.00729
1959     34     0.06769     0.01055     0.02273     0.01715     0.00870     0.00855
1959     35     0.05851     0.00839     0.01776     0.01471     0.00813     0.00951
1959     36     0.04970     0.00670     0.01381     0.01217     0.00718     0.00984
1959     37     0.04085     0.00521     0.01015     0.00956     0.00609     0.00983
1959     38     0.03252     0.00392     0.00710     0.00714     0.00495     0.00942
1959     39     0.02513     0.00284     0.00476     0.00507     0.00384     0.00862
1959     40     0.02057     0.00214     0.00365     0.00392     0.00310     0.00776
1959     41     0.01537     0.00149     0.00250     0.00270     0.00225     0.00643
1959     42     0.01053     0.00101     0.00147     0.00163     0.00148     0.00494
