Ukraine, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 13/11/2015
Year   Age   Cohort      ASFR
1959   12-       .    0.00000
1959   13     1946    0.00000
1959   13     1945    0.00001
1959   14     1945    0.00003
1959   14     1944    0.00007
1959   15     1944    0.00032
1959   15     1943    0.00060
1959   16     1943    0.00162
1959   16     1942    0.00267
1959   17     1942    0.00807
1959   17     1941    0.01308
1959   18     1941    0.03086
1959   18     1940    0.04303
1959   19     1940    0.06772
1959   19     1939    0.08133
1959   20     1939    0.10950
1959   20     1938    0.12248
1959   21     1938    0.14420
1959   21     1937    0.15260
1959   22     1937    0.16445
1959   22     1936    0.16834
1959   23     1936    0.17224
1959   23     1935    0.17353
1959   24     1935    0.17590
1959   24     1934    0.17492
1959   25     1934    0.17020
1959   25     1933    0.16518
1959   26     1933    0.15064
1959   26     1932    0.14447
1959   27     1932    0.13312
1959   27     1931    0.12888
1959   28     1931    0.12249
1959   28     1930    0.12038
1959   29     1930    0.11905
1959   29     1929    0.11638
1959   30     1929    0.10848
1959   30     1928    0.10395
1959   31     1928    0.09316
1959   31     1927    0.08909
1959   32     1927    0.08246
1959   32     1926    0.07958
1959   33     1926    0.07457
1959   33     1925    0.07243
1959   34     1925    0.06898
1959   34     1924    0.06639
1959   35     1924    0.05995
1959   35     1923    0.05696
1959   36     1923    0.05113
1959   36     1922    0.04817
1959   37     1922    0.04214
1959   37     1921    0.03927
1959   38     1921    0.03385
1959   38     1920    0.03122
1959   39     1920    0.02600
1959   39     1919    0.02414
1959   40     1919    0.02150
1959   40     1918    0.01979
1959   41     1918    0.01602
1959   41     1917    0.01431
1959   42     1917    0.01133
1959   42     1916    0.00988
1959   43     1916    0.00736
1959   43     1915    0.00631
1959   44     1915    0.00460
1959   44     1914    0.00393
1959   45     1914    0.00280
1959   45     1913    0.00242
1959   46     1913    0.00186
1959   46     1912    0.00163
1959   47     1912    0.00122
1959   47     1911    0.00107
1959   48     1911    0.00083
1959   48     1910    0.00072
1959   49     1910    0.00054
1959   49     1909    0.00047
1959   50     1909    0.00036
1959   50     1908    0.00031
1959   51     1908    0.00023
1959   51     1907    0.00021
1959   52     1907    0.00017
1959   52     1906    0.00016
1959   53     1906    0.00014
1959   53     1905    0.00013
1959   54     1905    0.00011
1959   54     1904    0.00011
1959   55+       .    0.00023
1960   12-       .    0.00000
1960   13     1947    0.00000
1960   13     1946    0.00000
1960   14     1946    0.00003
1960   14     1945    0.00007
1960   15     1945    0.00029
1960   15     1944    0.00054
1960   16     1944    0.00147
1960   16     1943    0.00241
1960   17     1943    0.00777
1960   17     1942    0.01314
1960   18     1942    0.03280
1960   18     1941    0.04676
1960   19     1941    0.07461
1960   19     1940    0.08894
1960   20     1940    0.11620
1960   20     1939    0.12760
1960   21     1939    0.14470
1960   21     1938    0.15078
1960   22     1938    0.15832
1960   22     1937    0.16046
1960   23     1937    0.16217
1960   23     1936    0.16324
1960   24     1936    0.16728
1960   24     1935    0.16738
1960   25     1935    0.16545
1960   25     1934    0.16142
1960   26     1934    0.14741
1960   26     1933    0.14167
1960   27     1933    0.13166
1960   27     1932    0.12756
1960   28     1932    0.12084
1960   28     1931    0.11861
1960   29     1931    0.11692
1960   29     1930    0.11438
1960   30     1930    0.10704
1960   30     1929    0.10270
1960   31     1929    0.09247
1960   31     1928    0.08839
1960   32     1928    0.08120
1960   32     1927    0.07834
1960   33     1927    0.07366
1960   33     1926    0.07153
1960   34     1926    0.06803
1960   34     1925    0.06541
1960   35     1925    0.05889
1960   35     1924    0.05585
1960   36     1924    0.04990
1960   36     1923    0.04704
1960   37     1923    0.04149
1960   37     1922    0.03882
1960   38     1922    0.03361
1960   38     1921    0.03117
1960   39     1921    0.02655
1960   39     1920    0.02457
1960   40     1920    0.02109
1960   40     1919    0.01933
1960   41     1919    0.01613
1960   41     1918    0.01430
1960   42     1918    0.01054
1960   42     1917    0.00903
1960   43     1917    0.00664
1960   43     1916    0.00556
1960   44     1916    0.00380
1960   44     1915    0.00322
1960   45     1915    0.00240
1960   45     1914    0.00207
1960   46     1914    0.00152
1960   46     1913    0.00132
1960   47     1913    0.00100
1960   47     1912    0.00087
1960   48     1912    0.00066
1960   48     1911    0.00057
1960   49     1911    0.00045
1960   49     1910    0.00039
1960   50     1910    0.00028
1960   50     1909    0.00024
1960   51     1909    0.00018
1960   51     1908    0.00016
1960   52     1908    0.00013
1960   52     1907    0.00012
1960   53     1907    0.00011
