Ukraine, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 13/11/2015
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1959   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959   13     1946    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959   13     1945    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1959   14     1945    0.00003     0.00003     0.00000     0.00000     0.00000     0.00000
1959   14     1944    0.00007     0.00007     0.00000     0.00000     0.00000     0.00000
1959   15     1944    0.00032     0.00032     0.00000     0.00000     0.00000     0.00000
1959   15     1943    0.00060     0.00060     0.00000     0.00000     0.00000     0.00000
1959   16     1943    0.00162     0.00162     0.00000     0.00000     0.00000     0.00000
1959   16     1942    0.00267     0.00267     0.00000     0.00000     0.00000     0.00000
1959   17     1942    0.00807     0.00807     0.00000     0.00000     0.00000     0.00000
1959   17     1941    0.01308     0.01308     0.00000     0.00000     0.00000     0.00000
1959   18     1941    0.03086     0.03071     0.00013     0.00001     0.00000     0.00000
1959   18     1940    0.04303     0.04248     0.00050     0.00005     0.00000     0.00000
1959   19     1940    0.06772     0.06298     0.00440     0.00034     0.00000     0.00000
1959   19     1939    0.08133     0.07246     0.00824     0.00062     0.00000     0.00000
1959   20     1939    0.10950     0.09577     0.01265     0.00108     0.00000     0.00000
1959   20     1938    0.12248     0.10609     0.01504     0.00135     0.00000     0.00000
1959   21     1938    0.14420     0.11909     0.02292     0.00219     0.00000     0.00000
1959   21     1937    0.15260     0.12315     0.02679     0.00266     0.00000     0.00000
1959   22     1937    0.16445     0.12599     0.03468     0.00377     0.00000     0.00000
1959   22     1936    0.16834     0.12519     0.03870     0.00443     0.00001     0.00000
1959   23     1936    0.17224     0.11938     0.04656     0.00602     0.00022     0.00007
1959   23     1935    0.17353     0.11489     0.05080     0.00701     0.00064     0.00018
1959   24     1935    0.17590     0.10252     0.05998     0.00964     0.00298     0.00077
1959   24     1934    0.17492     0.09556     0.06299     0.01089     0.00436     0.00113
1959   25     1934    0.17020     0.08477     0.06757     0.01327     0.00358     0.00100
1959   25     1933    0.16518     0.07776     0.06828     0.01457     0.00354     0.00103
1959   26     1933    0.15064     0.06237     0.06532     0.01692     0.00460     0.00143
1959   26     1932    0.14447     0.05624     0.06364     0.01804     0.00495     0.00159
1959   27     1932    0.13312     0.04597     0.05976     0.02008     0.00543     0.00189
