Ukraine, Cohort fertility rates by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 13/11/2015
Cohort  Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1904     12-          .           .           .           .           .           .
1904     13           .           .           .           .           .           .
1904     14           .           .           .           .           .           .
1904     15           .           .           .           .           .           .
1904     16           .           .           .           .           .           .
1904     17           .           .           .           .           .           .
1904     18           .           .           .           .           .           .
1904     19           .           .           .           .           .           .
1904     20           .           .           .           .           .           .
1904     21           .           .           .           .           .           .
1904     22           .           .           .           .           .           .
1904     23           .           .           .           .           .           .
1904     24           .           .           .           .           .           .
1904     25           .           .           .           .           .           .
1904     26           .           .           .           .           .           .
1904     27           .           .           .           .           .           .
1904     28           .           .           .           .           .           .
1904     29           .           .           .           .           .           .
1904     30           .           .           .           .           .           .
1904     31           .           .           .           .           .           .
1904     32           .           .           .           .           .           .
1904     33           .           .           .           .           .           .
1904     34           .           .           .           .           .           .
1904     35           .           .           .           .           .           .
1904     36           .           .           .           .           .           .
1904     37           .           .           .           .           .           .
1904     38           .           .           .           .           .           .
1904     39           .           .           .           .           .           .
1904     40           .           .           .           .           .           .
1904     41           .           .           .           .           .           .
1904     42           .           .           .           .           .           .
1904     43           .           .           .           .           .           .
1904     44           .           .           .           .           .           .
1904     45           .           .           .           .           .           .
1904     46           .           .           .           .           .           .
1904     47           .           .           .           .           .           .
1904     48           .           .           .           .           .           .
1904     49           .           .           .           .           .           .
1904     50           .           .           .           .           .           .
1904     51           .           .           .           .           .           .
1904     52           .           .           .           .           .           .
1904     53           .           .           .           .           .           .
1904     54           .           .           .           .           .           .
1904     55+    0.00021     0.00000     0.00003     0.00005     0.00003     0.00010
1905     12-          .           .           .           .           .           .
1905     13           .           .           .           .           .           .
1905     14           .           .           .           .           .           .
1905     15           .           .           .           .           .           .
1905     16           .           .           .           .           .           .
1905     17           .           .           .           .           .           .
1905     18           .           .           .           .           .           .
1905     19           .           .           .           .           .           .
1905     20           .           .           .           .           .           .
1905     21           .           .           .           .           .           .
1905     22           .           .           .           .           .           .
1905     23           .           .           .           .           .           .
1905     24           .           .           .           .           .           .
1905     25           .           .           .           .           .           .
1905     26           .           .           .           .           .           .
1905     27           .           .           .           .           .           .
1905     28           .           .           .           .           .           .
1905     29           .           .           .           .           .           .
1905     30           .           .           .           .           .           .
1905     31           .           .           .           .           .           .
1905     32           .           .           .           .           .           .
1905     33           .           .           .           .           .           .
1905     34           .           .           .           .           .           .
1905     35           .           .           .           .           .           .
1905     36           .           .           .           .           .           .
1905     37           .           .           .           .           .           .
1905     38           .           .           .           .           .           .
1905     39           .           .           .           .           .           .
1905     40           .           .           .           .           .           .
1905     41           .           .           .           .           .           .
1905     42           .           .           .           .           .           .
1905     43           .           .           .           .           .           .
1905     44           .           .           .           .           .           .
1905     45           .           .           .           .           .           .
1905     46           .           .           .           .           .           .
1905     47           .           .           .           .           .           .
1905     48           .           .           .           .           .           .
1905     49           .           .           .           .           .           .
1905     50           .           .           .           .           .           .
1905     51           .           .           .           .           .           .
1905     52           .           .           .           .           .           .
1905     53           .           .           .           .           .           .
1905     54     0.00010     0.00000     0.00002     0.00002     0.00001     0.00005
1905     55+    0.00014     0.00000     0.00001     0.00001     0.00005     0.00007
1906     12-          .           .           .           .           .           .
1906     13           .           .           .           .           .           .
1906     14           .           .           .           .           .           .
1906     15           .           .           .           .           .           .
1906     16           .           .           .           .           .           .
1906     17           .           .           .           .           .           .
1906     18           .           .           .           .           .           .
1906     19           .           .           .           .           .           .
1906     20           .           .           .           .           .           .
1906     21           .           .           .           .           .           .
1906     22           .           .           .           .           .           .
1906     23           .           .           .           .           .           .
1906     24           .           .           .           .           .           .
1906     25           .           .           .           .           .           .
1906     26           .           .           .           .           .           .
1906     27           .           .           .           .           .           .
1906     28           .           .           .           .           .           .
1906     29           .           .           .           .           .           .
1906     30           .           .           .           .           .           .
1906     31           .           .           .           .           .           .
1906     32           .           .           .           .           .           .
1906     33           .           .           .           .           .           .
1906     34           .           .           .           .           .           .
1906     35           .           .           .           .           .           .
1906     36           .           .           .           .           .           .
1906     37           .           .           .           .           .           .
1906     38           .           .           .           .           .           .
1906     39           .           .           .           .           .           .
1906     40           .           .           .           .           .           .
1906     41           .           .           .           .           .           .
1906     42           .           .           .           .           .           .
1906     43           .           .           .           .           .           .
1906     44           .           .           .           .           .           .
1906     45           .           .           .           .           .           .
1906     46           .           .           .           .           .           .
1906     47           .           .           .           .           .           .
1906     48           .           .           .           .           .           .
1906     49           .           .           .           .           .           .
1906     50           .           .           .           .           .           .
1906     51           .           .           .           .           .           .
1906     52           .           .           .           .           .           .
1906     53     0.00012     0.00000     0.00003     0.00001     0.00001     0.00006
1906     54     0.00007     0.00000     0.00001     0.00001     0.00001     0.00004
1906     55+    0.00023     0.00000     0.00008     0.00003     0.00002     0.00010
1907     12-          .           .           .           .           .           .
1907     13           .           .           .           .           .           .
1907     14           .           .           .           .           .           .
1907     15           .           .           .           .           .           .
1907     16           .           .           .           .           .           .
1907     17           .           .           .           .           .           .
1907     18           .           .           .           .           .           .
1907     19           .           .           .           .           .           .
1907     20           .           .           .           .           .           .
1907     21           .           .           .           .           .           .
1907     22           .           .           .           .           .           .
1907     23           .           .           .           .           .           .
1907     24           .           .           .           .           .           .
1907     25           .           .           .           .           .           .
1907     26           .           .           .           .           .           .
1907     27           .           .           .           .           .           .
1907     28           .           .           .           .           .           .
1907     29           .           .           .           .           .           .
1907     30           .           .           .           .           .           .
1907     31           .           .           .           .           .           .
1907     32           .           .           .           .           .           .
1907     33           .           .           .           .           .           .
1907     34           .           .           .           .           .           .
1907     35           .           .           .           .           .           .
1907     36           .           .           .           .           .           .
1907     37           .           .           .           .           .           .
1907     38           .           .           .           .           .           .
1907     39           .           .           .           .           .           .
1907     40           .           .           .           .           .           .
1907     41           .           .           .           .           .           .
1907     42           .           .           .           .           .           .
1907     43           .           .           .           .           .           .
1907     44           .           .           .           .           .           .
1907     45           .           .           .           .           .           .
1907     46           .           .           .           .           .           .
1907     47           .           .           .           .           .           .
1907     48           .           .           .           .           .           .
1907     49           .           .           .           .           .           .
1907     50           .           .           .           .           .           .
1907     51           .           .           .           .           .           .
1907     52     0.00015     0.00000     0.00005     0.00001     0.00001     0.00007
1907     53     0.00008     0.00000     0.00002     0.00001     0.00001     0.00004
1907     54     0.00006     0.00000     0.00001     0.00001     0.00001     0.00004
1907     55+    0.00011     0.00000     0.00003     0.00002     0.00001     0.00006
1908     12-          .           .           .           .           .           .
1908     13           .           .           .           .           .           .
1908     14           .           .           .           .           .           .
1908     15           .           .           .           .           .           .
1908     16           .           .           .           .           .           .
1908     17           .           .           .           .           .           .
1908     18           .           .           .           .           .           .
1908     19           .           .           .           .           .           .
1908     20           .           .           .           .           .           .
1908     21           .           .           .           .           .           .
1908     22           .           .           .           .           .           .
1908     23           .           .           .           .           .           .
1908     24           .           .           .           .           .           .
1908     25           .           .           .           .           .           .
1908     26           .           .           .           .           .           .
1908     27           .           .           .           .           .           .
1908     28           .           .           .           .           .           .
1908     29           .           .           .           .           .           .
1908     30           .           .           .           .           .           .
1908     31           .           .           .           .           .           .
1908     32           .           .           .           .           .           .
1908     33           .           .           .           .           .           .
1908     34           .           .           .           .           .           .
1908     35           .           .           .           .           .           .
1908     36           .           .           .           .           .           .
1908     37           .           .           .           .           .           .
1908     38           .           .           .           .           .           .
1908     39           .           .           .           .           .           .
1908     40           .           .           .           .           .           .
1908     41           .           .           .           .           .           .
1908     42           .           .           .           .           .           .
