Ukraine, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 13/11/2015
Year    ARDY   Cohort        ASFR
1959     12-    1947+     0.00000
1959     13     1946      0.00000
1959     14     1945      0.00002
1959     15     1944      0.00020
1959     16     1943      0.00111
1959     17     1942      0.00536
1959     18     1941      0.02197
1959     19     1940      0.05534
1959     20     1939      0.09546
1959     21     1938      0.13331
1959     22     1937      0.15854
1959     23     1936      0.17029
1959     24     1935      0.17471
1959     25     1934      0.17256
1959     26     1933      0.15793
1959     27     1932      0.13879
1959     28     1931      0.12569
1959     29     1930      0.11972
1959     30     1929      0.11242
1959     31     1928      0.09857
1959     32     1927      0.08576
1959     33     1926      0.07708
1959     34     1925      0.07071
1959     35     1924      0.06316
1959     36     1923      0.05405
1959     37     1922      0.04515
1959     38     1921      0.03655
1959     39     1920      0.02862
1959     40     1919      0.02281
1959     41     1918      0.01791
1959     42     1917      0.01282
1959     43     1916      0.00862
1959     44     1915      0.00546
1959     45     1914      0.00336
1959     46     1913      0.00214
1959     47     1912      0.00142
1959     48     1911      0.00095
1959     49     1910      0.00063
1959     50     1909      0.00041
1959     51     1908      0.00027
1959     52     1907      0.00019
1959     53     1906      0.00015
1959     54     1905      0.00012
1959     55+    1904-     0.00029
1960     12-    1948+     0.00000
1960     13     1947      0.00000
1960     14     1946      0.00002
1960     15     1945      0.00018
1960     16     1944      0.00100
1960     17     1943      0.00508
1960     18     1942      0.02296
1960     19     1941      0.06069
1960     20     1940      0.10253
1960     21     1939      0.13618
1960     22     1938      0.15454
1960     23     1937      0.16131
1960     24     1936      0.16526
1960     25     1935      0.16642
1960     26     1934      0.15441
1960     27     1933      0.13668
1960     28     1932      0.12420
1960     29     1931      0.11776
1960     30     1930      0.11072
1960     31     1929      0.09757
1960     32     1928      0.08480
1960     33     1927      0.07599
1960     34     1926      0.06979
1960     35     1925      0.06214
1960     36     1924      0.05287
1960     37     1923      0.04427
1960     38     1922      0.03621
1960     39     1921      0.02885
1960     40     1920      0.02284
1960     41     1919      0.01772
1960     42     1918      0.01242
1960     43     1917      0.00783
1960     44     1916      0.00469
