Ukraine, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 13/11/2015
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1959     12-    1947+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     13     1946      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     14     1945      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1959     15     1944      0.00020     0.00020     0.00000     0.00000     0.00000     0.00000
1959     16     1943      0.00111     0.00111     0.00000     0.00000     0.00000     0.00000
1959     17     1942      0.00536     0.00536     0.00000     0.00000     0.00000     0.00000
1959     18     1941      0.02197     0.02190     0.00007     0.00001     0.00000     0.00000
1959     19     1940      0.05534     0.05270     0.00245     0.00019     0.00000     0.00000
1959     20     1939      0.09546     0.08416     0.01045     0.00085     0.00000     0.00000
1959     21     1938      0.13331     0.11257     0.01897     0.00177     0.00000     0.00000
1959     22     1937      0.15854     0.12458     0.03074     0.00322     0.00000     0.00000
1959     23     1936      0.17029     0.12229     0.04262     0.00523     0.00011     0.00004
1959     24     1935      0.17471     0.10871     0.05539     0.00832     0.00181     0.00048
1959     25     1934      0.17256     0.09016     0.06528     0.01208     0.00397     0.00106
1959     26     1933      0.15793     0.07009     0.06680     0.01574     0.00407     0.00123
1959     27     1932      0.13879     0.05110     0.06170     0.01906     0.00519     0.00174
1959     28     1931      0.12569     0.03926     0.05667     0.02167     0.00587     0.00222
1959     29     1930      0.11972     0.03254     0.05369     0.02362     0.00692     0.00295
1959     30     1929      0.11242     0.02649     0.04929     0.02419     0.00834     0.00411
1959     31     1928      0.09857     0.02042     0.04161     0.02256     0.00882     0.00516
1959     32     1927      0.08576     0.01628     0.03463     0.02039     0.00855     0.00591
1959     33     1926      0.07708     0.01357     0.02936     0.01889     0.00848     0.00678
1959     34     1925      0.07071     0.01150     0.02488     0.01777     0.00863     0.00792
1959     35     1924      0.06316     0.00945     0.02020     0.01598     0.00846     0.00907
1959     36     1923      0.05405     0.00751     0.01572     0.01343     0.00767     0.00972
1959     37     1922      0.04515     0.00592     0.01190     0.01083     0.00663     0.00986
1959     38     1921      0.03655     0.00454     0.00854     0.00831     0.00551     0.00966
1959     39     1920      0.02862     0.00335     0.00583     0.00603     0.00437     0.00904
1959     40     1919      0.02281     0.00248     0.00418     0.00448     0.00347     0.00822
1959     41     1918      0.01791     0.00180     0.00306     0.00329     0.00266     0.00710
1959     42     1917      0.01282     0.00123     0.00195     0.00212     0.00184     0.00567
1959     43     1916      0.00862     0.00083     0.00111     0.00125     0.00118     0.00425
1959     44     1915      0.00546     0.00052     0.00057     0.00067     0.00071     0.00299
1959     45     1914      0.00336     0.00033     0.00027     0.00035     0.00041     0.00200
1959     46     1913      0.00214     0.00020     0.00014     0.00020     0.00025     0.00135
1959     47     1912      0.00142     0.00009     0.00010     0.00014     0.00016     0.00094
1959     48     1911      0.00095     0.00003     0.00009     0.00010     0.00010     0.00063
1959     49     1910      0.00063     0.00001     0.00010     0.00007     0.00006     0.00040
1959     50     1909      0.00041     0.00000     0.00011     0.00004     0.00003     0.00023
1959     51     1908      0.00027     0.00000     0.00010     0.00003     0.00002     0.00013
1959     52     1907      0.00019     0.00000     0.00008     0.00002     0.00001     0.00008
1959     53     1906      0.00015     0.00000     0.00006     0.00002     0.00001     0.00007
1959     54     1905      0.00012     0.00000     0.00004     0.00002     0.00001     0.00006
1959     55+    1904-     0.00029     0.00000     0.00006     0.00006     0.00003     0.00014
1960     12-    1948+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1960     13     1947      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1960     14     1946      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1960     15     1945      0.00018     0.00018     0.00000     0.00000     0.00000     0.00000
1960     16     1944      0.00100     0.00100     0.00000     0.00000     0.00000     0.00000
1960     17     1943      0.00508     0.00508     0.00000     0.00000     0.00000     0.00000
1960     18     1942      0.02296     0.02276     0.00020     0.00001     0.00000     0.00000
1960     19     1941      0.06069     0.05335     0.00720     0.00014     0.00000     0.00000
1960     20     1940      0.10253     0.08008     0.02183     0.00062     0.00000     0.00000
1960     21     1939      0.13618     0.10900     0.02576     0.00142     0.00000     0.00000
1960     22     1938      0.15454     0.12013     0.03155     0.00286     0.00000     0.00000
1960     23     1937      0.16131     0.11938     0.03678     0.00505     0.00009     0.00002
1960     24     1936      0.16526     0.10857     0.04676     0.00824     0.00139     0.00030
1960     25     1935      0.16642     0.08954     0.06027     0.01242     0.00340     0.00079
1960     26     1934      0.15441     0.06736     0.06587     0.01625     0.00385     0.00109
1960     27     1933      0.13668     0.04910     0.06250     0.01871     0.00479     0.00159
1960     28     1932      0.12420     0.03786     0.05810     0.02075     0.00539     0.00209
1960     29     1931      0.11776     0.03172     0.05398     0.02282     0.00642     0.00282
1960     30     1930      0.11072     0.02698     0.04815     0.02386     0.00781     0.00392
1960     31     1929      0.09757     0.02161     0.04013     0.02260     0.00835     0.00489
1960     32     1928      0.08480     0.01730     0.03318     0.02057     0.00816     0.00559
1960     33     1927      0.07599     0.01438     0.02796     0.01908     0.00814     0.00642
1960     34     1926      0.06979     0.01223     0.02381     0.01794     0.00833     0.00748
1960     35     1925      0.06214     0.00998     0.01936     0.01605     0.00819     0.00855
1960     36     1924      0.05287     0.00786     0.01509     0.01343     0.00744     0.00905
1960     37     1923      0.04427     0.00624     0.01159     0.01083     0.00647     0.00913
1960     38     1922      0.03621     0.00490     0.00854     0.00831     0.00543     0.00903
1960     39     1921      0.02885     0.00374     0.00603     0.00605     0.00437     0.00866
1960     40     1920      0.02284     0.00280     0.00430     0.00436     0.00342     0.00796
1960     41     1919      0.01772     0.00203     0.00308     0.00309     0.00260     0.00693
1960     42     1918      0.01242     0.00132     0.00194     0.00196     0.00177     0.00543
1960     43     1917      0.00783     0.00077     0.00108     0.00111     0.00108     0.00380
1960     44     1916      0.00469     0.00042     0.00056     0.00059     0.00062     0.00249
1960     45     1915      0.00281     0.00025     0.00028     0.00032     0.00036     0.00160
1960     46     1914      0.00180     0.00014     0.00016     0.00020     0.00023     0.00106
1960     47     1913      0.00116     0.00006     0.00011     0.00013     0.00015     0.00071
1960     48     1912      0.00076     0.00002     0.00009     0.00008     0.00010     0.00047
1960     49     1911      0.00051     0.00001     0.00008     0.00006     0.00006     0.00031
1960     50     1910      0.00033     0.00000     0.00008     0.00003     0.00004     0.00019
1960     51     1909      0.00021     0.00000     0.00006     0.00002     0.00002     0.00011
1960     52     1908      0.00015     0.00000     0.00005     0.00001     0.00001     0.00007
1960     53     1907      0.00012     0.00000     0.00003     0.00001     0.00001     0.00006
1960     54     1906      0.00009     0.00000     0.00002     0.00001     0.00001     0.00005
1960     55+    1905-     0.00024     0.00000     0.00003     0.00005     0.00004     0.00012
1961     12-    1949+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1961     13     1948      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1961     14     1947      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1961     15     1946      0.00019     0.00019     0.00000     0.00000     0.00000     0.00000
1961     16     1945      0.00106     0.00106     0.00000     0.00000     0.00000     0.00000
1961     17     1944      0.00569     0.00569     0.00000     0.00000     0.00000     0.00000
1961     18     1943      0.02568     0.02559     0.00008     0.00000     0.00000     0.00000
1961     19     1942      0.06692     0.06347     0.00331     0.00014     0.00000     0.00000
1961     20     1941      0.10800     0.09345     0.01388     0.00066     0.00000     0.00000
1961     21     1940      0.13687     0.11142     0.02389     0.00156     0.00000     0.00000
1961     22     1939      0.15262     0.11295     0.03654     0.00314     0.00000     0.00000
1961     23     1938      0.15670     0.10456     0.04670     0.00533     0.00009     0.00002
1961     24     1937      0.15959     0.09373     0.05598     0.00824     0.00136     0.00028
1961     25     1936      0.15927     0.07888     0.06401     0.01224     0.00336     0.00078
1961     26     1935      0.14600     0.06107     0.06388     0.01606     0.00389     0.00110
1961     27     1934      0.12850     0.04642     0.05744     0.01833     0.00475     0.00156
