Ukraine, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 13/11/2015
Year    Age        Total
1959     12-        0.05
1959     13         0.96
1959     14        12.09
1959     15       110.15
1959     16       582.42
1959     17      3682.32
1959     18     15169.82
1959     19     32348.83
1959     20     55539.94
1959     21     74042.13
1959     22     77328.55
1959     23     68577.37
1959     24     56579.56
1959     25     46474.55
1959     26     43464.24
1959     27     42752.40
1959     28     46243.37
1959     29     48820.75
1959     30     46563.65
1959     31     40049.56
1959     32     34204.28
1959     33     31350.38
1959     34     27759.88
1959     35     23228.82
1959     36     18348.81
1959     37     13238.70
1959     38      9591.92
1959     39      6922.78
1959     40      5830.18
1959     41      3771.04
1959     42      2184.66
1959     43      1688.02
1959     44      1333.38
1959     45       934.74
1959     46       635.50
1959     47       400.06
1959     48       268.41
1959     49       172.05
1959     50       102.11
1959     51        66.65
1959     52        46.59
1959     53        36.88
1959     54        29.33
1959     55+       64.12
1960     12-        0.06
1960     13         1.05
1960     14        12.60
1960     15        96.49
1960     16       459.86
1960     17      2834.91
1960     18     13733.38
1960     19     33304.15
1960     20     52903.64
1960     21     70568.58
1960     22     79525.20
1960     23     75664.88
1960     24     66241.11
1960     25     52750.84
1960     26     39935.66
1960     27     38091.10
1960     28     39049.93
1960     29     43921.65
1960     30     43554.28
1960     31     39602.20
1960     32     35022.48
1960     33     30705.23
1960     34     28430.25
1960     35     23576.03
1960     36     19277.84
1960     37     14833.06
1960     38     10551.52
1960     39      7514.90
1960     40      5570.90
1960     41      4285.19
1960     42      2435.75
1960     43      1251.07
1960     44       862.51
1960     45       699.82
1960     46       510.11
1960     47       341.19
1960     48       215.01
1960     49       145.10
1960     50        87.26
1960     51        53.88
1960     52        39.10
1960     53        29.78
1960     54        24.37
1960     55+       54.09
1961     12-        0.06
1961     13         1.10
1961     14        14.58
1961     15       111.49
1961     16       471.50
1961     17      2819.18
1961     18     11833.47
1961     19     30397.88
1961     20     50258.81
1961     21     63986.94
1961     22     74378.33
1961     23     78430.57
1961     24     75102.92
1961     25     61355.90
1961     26     44008.90
1961     27     33464.92
1961     28     32915.22
1961     29     35084.70
1961     30     38135.81
1961     31     35900.22
1961     32     33203.01
1961     33     29547.50
1961     34     25652.07
1961     35     21387.83
1961     36     17103.53
1961     37     13788.45
1961     38     10655.34
1961     39      7695.02
1961     40      5605.24
1961     41      3970.90
1961     42      2637.23
1961     43      1323.66
1961     44       615.85
1961     45       485.62
1961     46       391.28
1961     47       275.78
1961     48       176.23
1961     49       105.63
1961     50        58.70
1961     51        37.03
1961     52        24.72
1961     53        18.97
1961     54        14.86
1961     55+       35.06
1962     12-        0.06
1962     13         1.16
1962     14        14.73
1962     15       122.31
1962     16       595.51
1962     17      2822.70
1962     18     11056.33
1962     19     24379.74
1962     20     39057.61
1962     21     56202.46
1962     22     65042.63
1962     23     73439.15
1962     24     80049.78
1962     25     72693.92
1962     26     54814.96
1962     27     40057.57
1962     28     31197.78
1962     29     31434.19
1962     30     33020.34
1962     31     32628.13
1962     32     31102.78
1962     33     28953.25
1962     34     25873.70
1962     35     20533.32
1962     36     16785.02
1962     37     13769.10
1962     38     11358.79
1962     39      8900.84
1962     40      6689.50
1962     41      4582.99
1962     42      2628.78
1962     43      1456.48
1962     44       623.16
1962     45       345.26
1962     46       257.39
1962     47       208.63
1962     48       147.14
1962     49        93.49
1962     50        45.81
1962     51        29.04
1962     52        22.36
1962     53        20.38
1962     54        21.65
1962     55+       71.12
1963     12-        0.06
1963     13         1.33
1963     14        19.39
1963     15       150.54
1963     16       868.48
1963     17      3684.16
1963     18     11018.01
1963     19     23072.50
1963     20     29676.85
1963     21     47668.68
1963     22     62451.25
1963     23     69271.17
1963     24     77242.73
1963     25     76054.64
1963     26     61945.82
1963     27     46104.90
1963     28     34451.24
1963     29     27802.59
1963     30     28589.95
1963     31     27187.10
1963     32     27392.68
1963     33     26698.90
1963     34     25056.29
1963     35     20541.50
1963     36     16381.63
1963     37     13711.57
1963     38     11277.25
1963     39      9046.84
1963     40      6727.27
1963     41      4550.03
1963     42      2663.40
1963     43      1484.56
1963     44       856.30
1963     45       509.51
1963     46       265.20
1963     47       184.02
1963     48       136.41
1963     49        86.02
1963     50        43.62
1963     51        26.27
1963     52        18.19
1963     53        13.70
1963     54        10.44
1963     55+       26.04
1964     12-        0.06
1964     13         1.29
1964     14        20.32
1964     15       171.63
1964     16       996.50
1964     17      4292.63
1964     18     11648.73
1964     19     19948.94
1964     20     24559.70
1964     21     34896.45
1964     22     51128.30
1964     23     63227.06
1964     24     68622.79
1964     25     71209.44
1964     26     64166.44
1964     27     52547.98
1964     28     40312.38
1964     29     31604.86
1964     30     25611.77
1964     31     23365.51
1964     32     22644.74
1964     33     23018.92
1964     34     22535.49
1964     35     19233.19
1964     36     15734.34
1964     37     12810.11
1964     38     10745.50
1964     39      8768.49
1964     40      6733.93
1964     41      4792.63
1964     42      2778.36
1964     43      1454.81
1964     44       756.70
1964     45       524.11
1964     46       293.10
1964     47       145.07
1964     48        91.27
1964     49        52.17
1964     50        20.96
1964     51        11.87
1964     52         8.63
1964     53        10.85
1964     54        16.80
1964     55+      153.23
1965     12-        0.05
1965     13         1.20
1965     14        18.31
1965     15       162.77
1965     16      1064.56
1965     17      4361.99
1965     18     13334.71
1965     19     22134.36
1965     20     22878.74
1965     21     31140.91
1965     22     38508.96
1965     23     51310.39
1965     24     59933.82
1965     25     60932.46
1965     26     57171.28
1965     27     52159.28
1965     28     45181.43
1965     29     37347.21
1965     30     29304.23
1965     31     21555.62
1965     32     20160.95
1965     33     19791.12
1965     34     19963.05
1965     35     18259.43
1965     36     15518.72
1965     37     12893.79
1965     38     10504.30
1965     39      8611.98
1965     40      6456.18
1965     41      4694.44
1965     42      2992.36
1965     43      1712.16
1965     44       923.23
1965     45       548.65
1965     46       333.56
1965     47       141.82
1965     48        55.22
1965     49        28.68
1965     50        20.07
1965     51        13.51
1965     52         8.58
1965     53         5.37
1965     54         3.55
1965     55+       10.01
1966     12-        0.06
1966     13         1.32
1966     14        20.38
1966     15       177.45
1966     16      1148.98
1966     17      5241.03
1966     18     14933.53
1966     19     27572.48
1966     20     28796.83
1966     21     31933.71
1966     22     37621.50
1966     23     42135.43
1966     24     53682.19
1966     25     58792.96
1966     26     54465.30
1966     27     52600.76
1966     28     51196.07
1966     29     47871.97
1966     30     37435.88
1966     31     27224.73
1966     32     20003.83
1966     33     18520.06
1966     34     17801.29
1966     35     17339.63
1966     36     15534.26
1966     37     13224.00
1966     38     10839.00
1966     39      8583.14
1966     40      6320.36
1966     41      4652.11
1966     42      3202.26
1966     43      2028.92
1966     44      1189.15
1966     45       671.69
1966     46       378.71
1966     47       196.70
1966     48        76.06
1966     49        28.23
1966     50        19.75
1966     51        13.89
1966     52         7.81
1966     53         3.86
1966     54         1.74
1966     55+        3.00
1967     12-        0.06
1967     13         1.27
1967     14        19.06
1967     15       168.76
1967     16      1055.97
1967     17      5305.07
1967     18     17458.28
1967     19     30289.78
1967     20     37010.55
1967     21     39025.20
1967     22     37332.63
1967     23     39540.20
1967     24     41671.76
1967     25     48700.16
1967     26     48016.91
1967     27     45914.83
1967     28     47644.55
1967     29     50401.78
1967     30     43586.81
1967     31     32538.81
1967     32     23540.27
1967     33     16945.23
1967     34     15285.46
1967     35     14953.16
1967     36     13705.61
1967     37     12370.21
1967     38     10436.67
1967     39      8390.92
1967     40      6094.55
1967     41      4467.06
1967     42      3080.40
1967     43      1956.58
1967     44      1144.45
1967     45       617.23
1967     46       329.43
1967     47       176.87
1967     48        98.82
1967     49        43.62
1967     50        27.68
1967     51        16.74
1967     52         9.65
1967     53         4.33
1967     54         1.64
1967     55+        2.00
1968     12-        0.06
1968     13         1.43
1968     14        22.01
1968     15       192.67
1968     16      1139.47
1968     17      5576.38
1968     18     19320.48
1968     19     36540.15
1968     20     42002.37
1968     21     48599.53
1968     22     43250.18
1968     23     37077.26
1968     24     37393.08
1968     25     37020.93
1968     26     40015.16
1968     27     41056.49
1968     28     42531.93
1968     29     47622.85
1968     30     45036.05
1968     31     37800.89
1968     32     27517.54
1968     33     19451.82
1968     34     13584.80
1968     35     12753.04
1968     36     11395.90
1968     37     10574.07
1968     38      9664.09
1968     39      8120.57
1968     40      6046.81
1968     41      4404.53
1968     42      3006.08
1968     43      1948.32
1968     44      1161.10
1968     45       628.56
1968     46       330.40
1968     47       145.81
1968     48        64.25
1968     49        29.91
1968     50        15.62
1968     51         7.39
1968     52         4.69
1968     53         3.36
1968     54         1.97
1968     55+        4.00
1969     12-        0.06
1969     13         1.49
1969     14        23.42
1969     15       203.27
1969     16      1125.82
1969     17      5356.89
1969     18     17547.81
1969     19     35495.43
1969     20     47617.08
1969     21     51928.66
1969     22     53377.55
1969     23     43743.33
1969     24     36091.62
1969     25     34174.88
1969     26     30780.62
1969     27     34711.75
1969     28     38044.38
1969     29     42184.60
1969     30     42089.82
1969     31     38626.59
1969     32     31661.27
1969     33     22694.89
1969     34     16013.67
1969     35     11843.62
1969     36     10190.98
1969     37      9265.25
1969     38      8473.53
1969     39      7501.82
1969     40      5669.29
1969     41      4195.95
1969     42      2869.74
1969     43      1866.02
